batch_id,batch_index,total_batches,item_count,ready_count,blocked_count,first_rank,last_rank,manifest_path,command_path
batch_001,1,24,25,25,0,28,52,batches/batch_001.csv,batches/batch_001_commands.ps1
batch_002,2,24,25,25,0,53,77,batches/batch_002.csv,batches/batch_002_commands.ps1
batch_003,3,24,25,25,0,78,102,batches/batch_003.csv,batches/batch_003_commands.ps1
batch_004,4,24,25,25,0,103,127,batches/batch_004.csv,batches/batch_004_commands.ps1
batch_005,5,24,25,25,0,128,152,batches/batch_005.csv,batches/batch_005_commands.ps1
batch_006,6,24,25,25,0,153,177,batches/batch_006.csv,batches/batch_006_commands.ps1
batch_007,7,24,25,25,0,178,202,batches/batch_007.csv,batches/batch_007_commands.ps1
batch_008,8,24,25,25,0,203,227,batches/batch_008.csv,batches/batch_008_commands.ps1
batch_009,9,24,25,25,0,228,252,batches/batch_009.csv,batches/batch_009_commands.ps1
batch_010,10,24,25,25,0,253,277,batches/batch_010.csv,batches/batch_010_commands.ps1
batch_011,11,24,25,25,0,278,302,batches/batch_011.csv,batches/batch_011_commands.ps1
batch_012,12,24,25,25,0,303,327,batches/batch_012.csv,batches/batch_012_commands.ps1
batch_013,13,24,25,25,0,328,352,batches/batch_013.csv,batches/batch_013_commands.ps1
batch_014,14,24,25,25,0,353,377,batches/batch_014.csv,batches/batch_014_commands.ps1
batch_015,15,24,25,25,0,378,402,batches/batch_015.csv,batches/batch_015_commands.ps1
batch_016,16,24,25,25,0,403,427,batches/batch_016.csv,batches/batch_016_commands.ps1
batch_017,17,24,25,25,0,428,452,batches/batch_017.csv,batches/batch_017_commands.ps1
batch_018,18,24,25,25,0,453,477,batches/batch_018.csv,batches/batch_018_commands.ps1
batch_019,19,24,25,25,0,478,502,batches/batch_019.csv,batches/batch_019_commands.ps1
batch_020,20,24,25,25,0,503,527,batches/batch_020.csv,batches/batch_020_commands.ps1
batch_021,21,24,25,25,0,528,552,batches/batch_021.csv,batches/batch_021_commands.ps1
batch_022,22,24,25,25,0,553,577,batches/batch_022.csv,batches/batch_022_commands.ps1
batch_023,23,24,25,25,0,578,602,batches/batch_023.csv,batches/batch_023_commands.ps1
batch_024,24,24,23,23,0,603,625,batches/batch_024.csv,batches/batch_024_commands.ps1
