family,mechanism,role,variant,instrument,session,entry_model,orb_minutes,rr_target,k_family,n_is,exp_r_is,t_stat,p_value,q_value,wfe,era_dead,n_oos,exp_r_oos,mean_cost_to_risk,classification
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E2,30,1.0,594,848,-0.08613643867924528,-4.211654146611486,2.806606640394561e-05,0.0002829374744185594,,True,45,0.01593333333333331,0.1186647228602924,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E2,15,1.0,594,1231,-0.0992110479285134,-5.595991957424191,2.7019325792978735e-08,7.012003344346529e-07,,True,58,0.04507241379310346,0.13349613151729556,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E2,15,1.5,594,1231,-0.10256409423233143,-4.940542324021196,8.864934599446641e-07,1.5276055301766453e-05,,True,58,0.10011551724137932,0.13349613151729556,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E2,30,1.5,594,848,-0.11563714622641509,-4.7777421898946075,2.0890229062102604e-06,3.198878203775048e-05,,True,45,-0.01833111111111113,0.1186647228602924,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E2,5,1.0,594,1488,-0.12280665322580644,-7.04460069374498,2.834536645824802e-12,1.9277942294983032e-10,,True,86,-0.12350581395348835,0.15110862741516726,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E2,15,2.0,594,1231,-0.12338017871649068,-5.348528306670901,1.056445975116031e-07,2.362198578269824e-06,,True,58,0.00856896551724139,0.13349613151729556,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E2,30,2.0,594,848,-0.12339209905660377,-4.514778145923145,7.235433681426997e-06,9.258489593936882e-05,,True,45,-0.13581333333333337,0.1186647228602924,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E1,30,1.0,594,838,-0.13120739856801908,-6.396552590718375,2.64106531138814e-10,1.0940105155250104e-08,,True,44,-0.03246363636363637,0.11468447139952208,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E2,5,2.0,594,1488,-0.1320359543010753,-5.908519366860592,4.272326266621408e-09,1.343217480377329e-07,,True,86,-0.06806976744186044,0.15110862741516726,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E2,5,1.5,594,1488,-0.13573373655913978,-6.736776371093522,2.3079025161732882e-11,1.2532492486984697e-09,,True,86,-0.11523837209302325,0.15110862741516726,UNSUPPORTED_NULL_OR_NEGATIVE
