family,mechanism,role,instrument,session,cells,median_exp_r,mean_exp_r,best_exp_r,bh_pass_cells,t3_cells,deployable_candidates,provisional_cells,unsupported_cells,min_n_is,max_n_is,median_oos
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,NYSE_PREOPEN,18,-0.008768260609683203,-0.009916662342199602,0.14879743130227002,7,3,0,3,15,1673,1674,-0.03550416666666669
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,SINGAPORE_OPEN,18,-0.002336757951790048,-0.007246601162498482,0.10135198830409356,6,1,1,1,16,1710,1722,0.12006162790697675
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,TOKYO_OPEN,18,-0.013951961179387348,-0.004155496559535394,0.07003443670150987,4,0,0,2,16,1713,1722,0.08803020721925137
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,US_DATA_1000,18,0.06616100767326531,0.06189320752052786,0.13077099592312175,9,9,7,2,9,1708,1718,0.05442612859097128
baseline_orb,ORB continuation / stop cascade,standalone,MNQ,US_DATA_830,18,-0.04022550048590865,-0.0362949918184711,0.021387521865889214,8,0,0,0,18,1715,1717,-0.23870523255813952
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,CME_PRECLOSE,36,-0.005392214253697891,-0.0019956623063731374,0.09615529411764705,4,0,0,0,36,200,1375,-0.10368434175531915
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,CME_REOPEN,36,-0.11145780624919345,-0.11249146986351513,-0.02653225806451612,29,0,0,0,36,309,1130,-0.041833571428571414
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,COMEX_SETTLE,36,-0.09007412698412698,-0.08206254184869106,0.006973977086743054,17,0,0,0,36,611,1575,-0.05935672268907566
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,EUROPE_FLOW,36,-0.10663501433781204,-0.10294171484509464,-0.020780152671755724,21,0,0,0,36,538,1579,-0.1553
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,LONDON_METALS,36,-0.06639386554613672,-0.07072376226745196,0.00017057387057387645,15,0,0,0,36,628,1644,-0.08534069444444442
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,NYSE_CLOSE,36,-0.04181105292765099,-0.03557289858662242,0.027286423841059605,8,0,0,0,36,213,1088,0.1297125
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,NYSE_OPEN,36,0.013330852272727272,0.00473203104067992,0.09621488636363638,3,0,0,1,35,778,1707,0.004314864864864864
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,SINGAPORE_OPEN,36,-0.09819541630148991,-0.09873854566846914,-0.01880472541507023,19,0,0,0,36,489,1505,-0.11401888888888888
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,TOKYO_OPEN,36,-0.07081571218795889,-0.07080780174918824,0.015126062846580406,14,0,0,0,36,541,1542,0.03463040579710146
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,US_DATA_1000,36,-0.00656305668329873,-0.002627808151182636,0.06065026769779893,2,0,0,0,36,787,1684,-0.010208160469667334
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MES,US_DATA_830,36,-0.1007433611227436,-0.10205894211905016,-0.03994278996865204,25,0,0,0,36,708,1627,-0.11476799999999998
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MGC,CME_REOPEN,36,-0.19369911504424775,-0.1953587006292829,-0.127135593220339,29,0,0,0,36,80,609,0.3050792857142857
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MGC,COMEX_SETTLE,36,-0.14462890756718527,-0.13795774861741208,-0.006480564263322882,24,0,0,0,36,307,875,-0.030612697541703246
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MGC,EUROPE_FLOW,36,-0.09022032746310275,-0.09579619768519293,-0.0005764508928571386,15,0,0,0,36,251,896,-0.04336180555555555
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MGC,LONDON_METALS,36,-0.08287645739910314,-0.07700600382229153,0.060765088757396446,10,0,0,0,36,299,908,-0.14316209349593495
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MGC,NYSE_OPEN,36,-0.0665090909090909,-0.0680230944668972,0.04253815937149271,10,0,0,0,36,330,912,0.11506111111111114
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MGC,SINGAPORE_OPEN,36,-0.09081835979379602,-0.09141798526090357,0.020184117647058835,10,0,0,0,36,170,823,0.18334999999999999
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MGC,TOKYO_OPEN,36,-0.11710075352817215,-0.11608272092261893,-0.039817682926829266,18,0,0,0,36,233,862,0.11065204081632653
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MGC,US_DATA_1000,36,-0.024825223880597012,-0.02279804375476059,0.09538961424332343,2,0,0,0,36,331,905,-0.1429841477436045
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MGC,US_DATA_830,36,-0.06372941550134154,-0.0692751498305491,0.06427613762486126,10,0,0,0,36,301,901,-0.10123869047619047
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,CME_PRECLOSE,36,0.07369589026503423,0.09156735519247959,0.2616446866485014,18,15,0,18,18,181,835,0.09290542210020591
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,CME_REOPEN,36,-0.02306934635149023,-0.017900107625479337,0.06954342857142858,1,0,0,0,36,224,537,0.13357994505494505
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,COMEX_SETTLE,36,0.05526425863319796,0.05717721727471933,0.23242664576802505,6,4,0,6,30,319,1281,0.01046884057971016
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,EUROPE_FLOW,36,-0.012371499384847388,-0.015223791542605633,0.07209558558558558,1,0,0,1,35,227,1110,0.06512640182648402
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,LONDON_METALS,36,-0.017758888530258508,-0.0247073351591679,0.07527684288905435,3,0,0,0,36,328,1343,-0.015664189189189184
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,NYSE_CLOSE,36,0.07066582222222223,0.06296468716284334,0.16007425742574258,11,8,0,11,25,153,462,0.3569588235294118
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,NYSE_OPEN,36,0.07586507059844944,0.0653368334156574,0.13804518072289154,14,11,0,14,22,655,1657,0.14361307707355242
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,SINGAPORE_OPEN,36,0.06396433982683983,0.0557689614008599,0.18631524822695034,5,4,0,5,31,240,924,0.06821549295774648
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,TOKYO_OPEN,36,0.06098335532918833,0.07108708923995312,0.22592735426008967,8,5,0,8,28,223,956,0.09872568438003221
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,US_DATA_1000,36,0.05765430495777257,0.0533717103721102,0.12113427230046948,12,8,0,12,24,626,1594,0.025753755868544607
cross_market_flow,cross-market peer ORB size/volatility state,confluence_allocator,MNQ,US_DATA_830,36,-0.04427025401069519,-0.042185938478312895,0.03864918276374443,6,0,0,0,36,481,1346,-0.22136448537578673
session_participation,ORB-window participation/liquidity,conditioner,MES,CME_PRECLOSE,36,-0.038891948232363555,-0.027069946083571203,0.08038232044198895,4,0,0,0,36,187,544,-0.09321645833333336
session_participation,ORB-window participation/liquidity,conditioner,MES,CME_REOPEN,36,-0.1268176391511281,-0.12232782260454643,-0.034402846975088976,23,0,0,0,36,278,495,-0.10790468749999998
session_participation,ORB-window participation/liquidity,conditioner,MES,COMEX_SETTLE,36,-0.11399104735614489,-0.113036581405283,0.02055722120658135,19,0,0,0,36,547,551,-0.02734440993788819
session_participation,ORB-window participation/liquidity,conditioner,MES,EUROPE_FLOW,36,-0.18603583916083916,-0.16429746280279175,0.017361228070175438,24,0,0,0,36,570,572,-0.15109062500000003
session_participation,ORB-window participation/liquidity,conditioner,MES,LONDON_METALS,36,-0.0969161946902655,-0.10508455237212631,-0.004956283185840706,16,0,0,0,36,565,572,-0.16069822361546499
session_participation,ORB-window participation/liquidity,conditioner,MES,NYSE_CLOSE,36,-0.11214978468779731,-0.10582867892932264,0.00022832618025751608,19,0,0,0,36,247,466,0.005039676113360331
session_participation,ORB-window participation/liquidity,conditioner,MES,NYSE_OPEN,36,0.008767838312829526,0.007961818402877852,0.1084189141856392,1,0,0,0,36,569,572,-0.05044251207729469
session_participation,ORB-window participation/liquidity,conditioner,MES,SINGAPORE_OPEN,36,-0.126522465034965,-0.14220860325234227,0.04134674868189807,26,0,0,0,36,569,572,-0.1783588235294118
session_participation,ORB-window participation/liquidity,conditioner,MES,TOKYO_OPEN,36,-0.14900150078794444,-0.12600656254445866,0.03436566901408449,21,0,0,0,36,568,572,0.05676542130365661
session_participation,ORB-window participation/liquidity,conditioner,MES,US_DATA_1000,36,-0.02121290098790099,-0.023358551969019717,0.08271926444833627,5,0,0,0,36,567,572,-0.018969023569023573
session_participation,ORB-window participation/liquidity,conditioner,MES,US_DATA_830,36,-0.1238000710322952,-0.13502009115981314,-0.036483712784588444,23,0,0,0,36,571,572,-0.28707678571428574
session_participation,ORB-window participation/liquidity,conditioner,MGC,CME_REOPEN,36,-0.18303523307790548,-0.2000212802579452,-0.04438237547892722,25,0,0,0,36,144,261,0.3692786549707603
session_participation,ORB-window participation/liquidity,conditioner,MGC,COMEX_SETTLE,36,-0.14898139097744362,-0.16648036681340403,0.001821428571428562,19,0,0,0,36,293,304,-0.11268012422360249
session_participation,ORB-window participation/liquidity,conditioner,MGC,EUROPE_FLOW,36,-0.09653569078947366,-0.08909827347866366,0.09181947194719473,11,0,0,0,36,303,304,0.07649592307692307
session_participation,ORB-window participation/liquidity,conditioner,MGC,LONDON_METALS,36,-0.0742983552631579,-0.08132339181286549,0.025674013157894724,7,0,0,0,36,304,304,-0.04353850000000001
