rank,strategy_id,factory_status,bridge_status,source_draft_path,active_hypothesis_path,result_md_path,runner_command,note
21,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O30_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
22,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
23,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER_O15_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
24,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O15_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
25,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER_O15_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
26,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_NO_FILTER_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
27,MNQ_SINGAPORE_OPEN_E2_RR3.0_CB1_COST_LT12_O30_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
28,MNQ_TOKYO_OPEN_E2_RR2.5_CB1_ORB_VOL_4K_O15_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
29,MNQ_SINGAPORE_OPEN_E2_RR3.0_CB1_ATR_P70_O30_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
30,MNQ_SINGAPORE_OPEN_E2_RR3.0_CB1_ATR_P50_O30_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
31,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_ORB_VOL_2K_O30,PREREG_DRAFT_READY,READY_TO_ACTIVATE,artifacts/research/chordia_evidence_factory_after_broad_batch_001_apply_2026_05_31_p5/prereg_drafts/2026-05-31-mnq-singapore-open-e2-rr2-0-cb1-orb-vol-2k-o30-chordia-unlock-v1.draft.yaml,docs/audit/hypotheses/2026-05-31-mnq-singapore-open-e2-rr2-0-cb1-orb-vol-2k-o30-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-singapore-open-e2-rr2-0-cb1-orb-vol-2k-o30-chordia-unlock-v1.md,python research/chordia_strict_unlock_v1.py --hypothesis-file docs/audit/hypotheses/2026-05-31-mnq-singapore-open-e2-rr2-0-cb1-orb-vol-2k-o30-chordia-unlock-v1.yaml,Ready for activation and strict replay.
32,MNQ_TOKYO_OPEN_E2_RR3.0_CB1_ORB_VOL_4K_O15_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
33,MNQ_TOKYO_OPEN_E2_RR2.0_CB1_ORB_VOL_4K_O15_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
34,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P30_O30_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
