batch_id,batch_index,total_batches,item_count,ready_count,blocked_count,first_rank,last_rank,manifest_path,command_path
batch_001,1,19,25,25,0,63,87,batches/batch_001.csv,batches/batch_001_commands.ps1
batch_002,2,19,25,25,0,88,112,batches/batch_002.csv,batches/batch_002_commands.ps1
batch_003,3,19,25,25,0,113,137,batches/batch_003.csv,batches/batch_003_commands.ps1
batch_004,4,19,25,25,0,138,162,batches/batch_004.csv,batches/batch_004_commands.ps1
batch_005,5,19,25,25,0,163,187,batches/batch_005.csv,batches/batch_005_commands.ps1
batch_006,6,19,25,25,0,188,212,batches/batch_006.csv,batches/batch_006_commands.ps1
batch_007,7,19,25,25,0,213,237,batches/batch_007.csv,batches/batch_007_commands.ps1
batch_008,8,19,25,25,0,238,262,batches/batch_008.csv,batches/batch_008_commands.ps1
batch_009,9,19,25,25,0,263,287,batches/batch_009.csv,batches/batch_009_commands.ps1
batch_010,10,19,25,25,0,288,312,batches/batch_010.csv,batches/batch_010_commands.ps1
batch_011,11,19,25,25,0,313,337,batches/batch_011.csv,batches/batch_011_commands.ps1
batch_012,12,19,25,25,0,338,362,batches/batch_012.csv,batches/batch_012_commands.ps1
batch_013,13,19,25,25,0,363,387,batches/batch_013.csv,batches/batch_013_commands.ps1
batch_014,14,19,25,25,0,388,412,batches/batch_014.csv,batches/batch_014_commands.ps1
batch_015,15,19,25,25,0,413,437,batches/batch_015.csv,batches/batch_015_commands.ps1
batch_016,16,19,25,25,0,438,462,batches/batch_016.csv,batches/batch_016_commands.ps1
batch_017,17,19,25,25,0,463,487,batches/batch_017.csv,batches/batch_017_commands.ps1
batch_018,18,19,25,25,0,488,512,batches/batch_018.csv,batches/batch_018_commands.ps1
batch_019,19,19,23,23,0,513,535,batches/batch_019.csv,batches/batch_019_commands.ps1
