session,om,rr,dir,filter,n_full,t_full,expr_full,is_t,oos_n,oos_expr,oos_t,oos_pw,tier,dir_match,p_full,bh_rank,bh_crit,bh_pass_Kfamily
SINGAPORE_OPEN,5,2.0,long,none,515,-0.2,-0.0106,-2.34,155,0.2824,2.54,0.33,STATISTICALLY_USELESS,False,0.8415596827525644,1745,0.043800200803212855,False
NYSE_OPEN,30,1.5,short,none,468,0.2,0.0087,-0.19,141,0.0507,0.58,0.05,STATISTICALLY_USELESS,False,0.8415676415262671,1746,0.043825301204819284,False
LONDON_METALS,30,1.5,long,atr_20_pct>=60,311,0.2,0.0127,0.19,94,0.0091,0.07,0.05,STATISTICALLY_USELESS,True,0.8416117149904643,1747,0.043850401606425705,False
US_DATA_830,5,1.5,short,garch_forecast_vol_pct>=70,151,-0.2,-0.0179,-0.98,46,0.1753,1.0,0.1,STATISTICALLY_USELESS,False,0.8417514697099204,1748,0.043875502008032134,False
EUROPE_FLOW,5,1.0,short,overnight_range_pct>=80,115,0.2,0.0149,-1.28,35,0.2879,2.05,0.13,STATISTICALLY_USELESS,False,0.841836915108133,1749,0.043900602409638556,False
SINGAPORE_OPEN,15,2.0,long,garch_forecast_vol_pct<=30,111,-0.2,-0.023,-0.83,34,0.1673,0.71,0.08,STATISTICALLY_USELESS,False,0.8418498572187058,1750,0.043925702811244985,False
SINGAPORE_OPEN,5,1.0,long,day_of_week==1,107,0.2,0.0148,-0.4,33,0.1222,0.76,0.06,STATISTICALLY_USELESS,False,0.8418637748661716,1751,0.043950803212851414,False
NYSE_OPEN,15,1.0,short,day_of_week==1,97,0.2,0.0176,0.12,30,0.0291,0.17,0.05,STATISTICALLY_USELESS,True,0.8419036360801921,1752,0.04397590361445783,False
TOKYO_OPEN,15,2.0,long,none,512,-0.19,-0.0102,-2.03,154,0.2401,2.17,0.26,STATISTICALLY_USELESS,False,0.8493845817305471,1753,0.04400100401606426,False
SINGAPORE_OPEN,30,1.0,long,atr_20_pct>=60,303,-0.19,-0.01,-1.64,91,0.1977,2.04,0.19,STATISTICALLY_USELESS,False,0.849436775637566,1754,0.044026104417670686,False
US_DATA_1000,15,2.0,short,atr_20_pct>=60,288,0.19,0.0125,-0.58,87,0.1392,1.03,0.07,STATISTICALLY_USELESS,False,0.8494434439778736,1755,0.04405120481927711,False
CME_REOPEN,15,1.0,long,atr_20_pct>=60,232,0.19,0.0088,-1.26,70,0.1806,1.91,0.13,STATISTICALLY_USELESS,False,0.8494759865588307,1756,0.04407630522088354,False
US_DATA_830,5,1.0,short,atr_20_pct>=75,225,-0.19,-0.011,-0.84,68,0.0944,0.84,0.08,STATISTICALLY_USELESS,False,0.8494811977912834,1757,0.04410140562248996,False
LONDON_METALS,30,2.0,short,atr_20_pct>=75,218,-0.19,-0.0171,-0.82,66,0.1363,0.79,0.08,STATISTICALLY_USELESS,False,0.849486745030181,1758,0.04412650602409639,False
NYSE_OPEN,30,1.5,short,atr_20_pct>=75,212,-0.19,-0.0125,-1.16,64,0.1558,1.2,0.12,STATISTICALLY_USELESS,False,0.8494917925734791,1759,0.044151606425702816,False
US_DATA_1000,5,2.0,short,atr_20_pct>=75,201,-0.19,-0.0167,-0.39,61,0.0332,0.19,0.06,STATISTICALLY_USELESS,False,0.8495018324647425,1760,0.04417670682730924,False
CME_REOPEN,5,1.5,long,atr_20_pct>=75,200,0.19,0.0124,-1.34,60,0.253,1.81,0.14,STATISTICALLY_USELESS,False,0.8495028001842264,1761,0.04420180722891567,False
NYSE_OPEN,5,2.0,long,garch_forecast_vol_pct>=70,153,0.19,0.02,-0.5,46,0.2032,0.99,0.06,STATISTICALLY_USELESS,False,0.8495626336207386,1762,0.04422690763052209,False
LONDON_METALS,5,1.5,short,garch_forecast_vol_pct>=70,143,0.19,0.0172,-0.81,43,0.2443,1.36,0.08,STATISTICALLY_USELESS,False,0.8495804695523564,1763,0.04425200803212852,False
LONDON_METALS,30,1.5,short,overnight_range_pct>=80,129,0.19,0.0185,-0.64,39,0.2303,1.18,0.07,STATISTICALLY_USELESS,False,0.8496101169700033,1764,0.044277108433734946,False
US_DATA_830,30,1.5,long,atr_20_pct<=40,118,0.19,0.0171,-0.99,36,0.2857,1.66,0.1,STATISTICALLY_USELESS,False,0.8496383831874246,1765,0.04430220883534137,False
TOKYO_OPEN,15,1.5,short,day_of_week==0,104,0.19,0.02,-0.8,32,0.2784,1.37,0.08,STATISTICALLY_USELESS,False,0.8496830789830724,1766,0.0443273092369478,False
LONDON_METALS,30,1.5,short,day_of_week==0,100,-0.19,-0.0208,0.43,30,-0.1952,-0.96,0.06,STATISTICALLY_USELESS,False,0.8496981679538831,1767,0.04435240963855422,False
COMEX_SETTLE,15,1.5,long,day_of_week==4,99,-0.19,-0.0177,-1.4,30,0.2949,1.7,0.14,STATISTICALLY_USELESS,False,0.8497021323964781,1768,0.04437751004016065,False
US_DATA_830,30,1.0,long,day_of_week==3,97,0.19,0.0153,0.46,30,-0.0442,-0.26,0.06,STATISTICALLY_USELESS,False,0.8497103087153992,1769,0.044402610441767076,False
COMEX_SETTLE,15,1.0,short,day_of_week==2,93,0.19,0.015,-0.32,28,0.1175,0.73,0.05,STATISTICALLY_USELESS,False,0.8497277262835193,1770,0.04442771084337349,False
EUROPE_FLOW,5,2.0,short,day_of_week==2,87,-0.19,-0.0239,-0.43,27,0.059,0.23,0.06,STATISTICALLY_USELESS,False,0.8497568858641783,1771,0.04445281124497992,False
