strategy,session,filter,n_is,mean_is,annual_r,sharpe,skewness,kurtosis_excess,t,p,wfe,era_ok,years_positive,years_eligible,dd,tail5,start,end,n_2026,mean_2026,trades_per_year,era_detail,year_detail,orb_minutes,rr,null_pnl_is,null_pnl_total,p_for_bh,q_global,q_session,sr0,dsr,strict_pass,research_shortlist
MNQ_BRISBANE_1025_O30_E2_RR2_COST_LT15,BRISBANE_1025,COST_LT15,1547,0.02480245636716224,5.762509601151313,0.01845448264957357,0.5557203446550429,-1.6825840759683326,0.7258502514284183,0.46804044111434306,0.1506119782631921,True,5,7,42.09060000000002,-1.0,2019-05-06,2025-12-31,86,0.18254767441860467,232.3362458881579,2019:94:+0.029;2020_2022:731:+0.031;2023:225:-0.028;2024_2025:497:+0.038,2019:94:+0.029;2020:240:+0.113;2021:236:+0.031;2022:255:-0.046;2023:225:-0.028;2024:240:+0.077;2025:257:+0.003,30,2.0,0,0,0.46804044111434306,0.6275102934726295,0.871897601078615,0.1841826006474741,2.8791302675301722e-11,False,False
MNQ_NYSE_OPEN_O5_E2_RR2_ATR_VEL_GE105,NYSE_OPEN,ATR_VEL_GE105,363,0.10217162534435259,5.757119241393963,0.0745604153078979,0.5004629345219809,-1.7058134815268815,1.42056670301387,0.15630349519518894,1.6875373516034824,False,4,6,20.2505,-1.0,2019-06-20,2025-11-27,15,0.7223933333333333,56.347535061623454,2019:LOW_N=25;2020_2022:192:-0.040;2023:LOW_N=33;2024_2025:113:+0.202,2019:LOW_N=25;2020:75:-0.113;2021:77:+0.187;2022:40:-0.341;2023:33:+0.217;2024:58:+0.178;2025:55:+0.229,5,2.0,0,0,0.15630349519518894,0.29324742837792644,0.18252096780111657,0.1841826006474741,0.01678117603177509,False,False
MNQ_BRISBANE_1025_O15_E2_RR1_COST_LT12,BRISBANE_1025,COST_LT12,1069,0.03584527595884004,5.754880201480263,0.03886470463175474,-0.23030640068088423,-1.9431821109290748,1.270703493925854,0.20411087159767918,1.4728640681182898,True,5,7,14.196200000000001,-1.0,2019-05-06,2025-12-31,86,0.21955348837209301,160.54780016447367,2019:LOW_N=37;2020_2022:535:+0.041;2023:112:-0.009;2024_2025:385:+0.037,2019:37:+0.085;2020:179:-0.010;2021:143:+0.031;2022:213:+0.090;2023:112:-0.009;2024:159:+0.083;2025:226:+0.004,15,1.0,0,0,0.20411087159767918,0.34457114532837857,0.7834870663437744,0.1841826006474741,1.1344616909214622e-06,False,False
MNQ_NYSE_OPEN_O30_E2_RR2_ORB_SIZE_Q67,NYSE_OPEN,ORB_SIZE_Q67,563,0.06521509769094139,5.74820211101586,0.06687277069942948,0.49406883223226644,-0.8811542679313447,1.5867317607438884,0.11313585699994744,1.2102373952789975,False,5,6,14.891399999999997,-1.0,2019-08-13,2025-12-31,73,0.12808904109589042,88.14219888555508,2019:LOW_N=1;2020_2022:281:+0.057;2023:LOW_N=40;2024_2025:241:+0.080,2019:LOW_N=1;2020:61:-0.192;2021:56:+0.024;2022:164:+0.161;2023:40:+0.042;2024:87:+0.113;2025:154:+0.061,30,2.0,0,0,0.11313585699994744,0.23750410171639685,0.13884855177266275,0.1841826006474741,0.0023544917141399835,False,False
MNQ_NYSE_CLOSE_O5_E2_RR2_ATR_P50,NYSE_CLOSE,ATR_P50,778,0.048981105398457576,5.7467759393063576,0.05585737889572196,0.5255400079751291,-0.6137817874671181,1.5580103955314264,0.11963797615605952,0.38010071522824174,False,3,7,11.928899999999988,-1.0,2019-05-08,2025-12-23,59,0.2715542372881356,117.32638315441784,2019:LOW_N=43;2020_2022:403:+0.073;2023:LOW_N=39;2024_2025:293:+0.052,2019:43:-0.051;2020:176:+0.146;2021:90:-0.000;2022:137:+0.028;2023:39:-0.114;2024:172:+0.115;2025:121:-0.038,5,2.0,1,1,0.11963797615605952,0.24573745964421875,0.33744250119742025,0.1841826006474741,0.00014242803545444493,False,False
MNQ_CME_PRECLOSE_O15_E2_RR2_ORB_SIZE_Q67,CME_PRECLOSE,ORB_SIZE_Q67,378,0.08879629629629629,5.734151660430309,0.15372464994680374,0.743550172967811,1.7904069410425754,2.9887487857762585,0.0029847633000818063,0.705264872872764,False,4,5,6.596700000000013,-1.0,2020-02-24,2025-12-31,29,0.024110344827586224,64.5764733395697,2019:LOW_N=0;2020_2022:185:+0.113;2023:LOW_N=22;2024_2025:171:+0.066,2020:58:+0.194;2021:38:-0.024;2022:89:+0.119;2023:LOW_N=22;2024:71:+0.012;2025:100:+0.104,15,2.0,0,0,0.0029847633000818063,0.016267886930570092,0.005675254162127379,0.1841826006474741,0.26743382368942203,False,False
MNQ_US_DATA_1000_O30_E2_RR1_ORB_SIZE_Q80,US_DATA_1000,ORB_SIZE_Q80,345,0.09631101449275362,5.719260756361922,0.1165768321889645,-0.2148881254730789,-1.6081206570447404,2.1653185544184548,0.0310502273323131,0.8929922695778978,False,4,4,7.045099999999998,-1.0,2020-02-27,2025-12-18,49,0.07570816326530612,59.383246936852025,2019:LOW_N=0;2020_2022:155:+0.108;2023:LOW_N=28;2024_2025:162:+0.096,2020:34:+0.003;2021:LOW_N=25;2022:96:+0.140;2023:LOW_N=28;2024:62:+0.162;2025:100:+0.055,30,1.0,0,0,0.0310502273323131,0.09748327185726205,0.03992172085583113,0.1841826006474741,0.10791736725454837,False,False
MNQ_EUROPE_FLOW_O15_E2_RR1_5_ORB_SIZE_Q67,EUROPE_FLOW,ORB_SIZE_Q67,569,0.06430333919156415,5.715990654405475,0.05379876838756338,0.23276163613131176,-1.9505828109110706,1.2833008050066181,0.19991004298539405,6.895580552877744,True,5,6,17.7739,-1.0,2019-08-08,2025-12-31,57,0.2747070175438596,88.89103934987169,2019:LOW_N=4;2020_2022:285:-0.015;2023:54:+0.020;2024_2025:226:+0.162,2019:LOW_N=4;2020:85:+0.047;2021:60:-0.157;2022:140:+0.009;2023:54:+0.020;2024:81:+0.189;2025:145:+0.146,15,1.5,0,0,0.19991004298539405,0.3399632998443474,0.32108433430498184,0.1841826006474741,0.0008830317570542867,False,False
MNQ_TOKYO_OPEN_O30_E2_RR1_ATR_P70,TOKYO_OPEN,ATR_P70,618,0.061121197411003234,5.708130626810095,0.06479535802715845,-0.2327213280063811,-1.9431410064720722,1.610787057532499,0.10773756842817682,0.6669746784897925,False,4,5,17.370600000000003,-1.0,2019-05-08,2025-12-18,49,0.1533,93.39035995035168,2019:LOW_N=25;2020_2022:310:+0.073;2023:LOW_N=7;2024_2025:276:+0.044,2019:LOW_N=25;2020:149:+0.084;2021:69:-0.018;2022:92:+0.123;2023:LOW_N=7;2024:151:+0.079;2025:125:+0.002,30,1.0,0,0,0.10773756842817682,0.23002364062220232,0.13593057698882122,0.1841826006474741,0.0016235530484232652,False,False
MNQ_NYSE_PREOPEN_O30_E2_RR1_ORB_SIZE_Q80,NYSE_PREOPEN,ORB_SIZE_Q80,337,0.10858635014836794,5.7070078565328775,0.11291579971189676,-0.2682859330308338,-1.92146213250384,2.0728585400076174,0.03894742241181637,1.251364979840749,False,3,4,6.632200000000001,-1.0,2019-08-02,2025-12-29,55,-0.06026,52.55732280102477,2019:LOW_N=2;2020_2022:147:+0.100;2023:LOW_N=26;2024_2025:162:+0.107,2019:LOW_N=2;2020:34:+0.082;2021:LOW_N=22;2022:91:+0.161;2023:LOW_N=26;2024:51:-0.050;2025:111:+0.179,30,1.0,0,0,0.03894742241181637,0.11508672216468113,0.12824151281939536,0.1841826006474741,0.09907551176362123,False,False
MNQ_COMEX_SETTLE_O15_E2_RR2_ORB_SIZE_Q80,COMEX_SETTLE,ORB_SIZE_Q80,332,0.10952801204819278,5.697852992277992,0.08875044365064036,0.5007349105640344,-1.4678819444022515,1.6171100439974957,0.10680710253055102,0.3260214410085405,False,2,4,10.943499999999997,-1.0,2019-08-01,2025-12-17,42,0.26328095238095234,52.02187902187902,2019:LOW_N=1;2020_2022:142:+0.160;2023:LOW_N=27;2024_2025:162:+0.045,2019:LOW_N=1;2020:43:-0.013;2021:LOW_N=23;2022:76:+0.208;2023:LOW_N=27;2024:57:-0.038;2025:105:+0.089,15,2.0,0,0,0.10680710253055102,0.228745882628828,0.23248833805747135,0.1841826006474741,0.037934261894434995,False,False
MNQ_NYSE_PREOPEN_O30_E2_RR2_ATR_VEL_GE105,NYSE_PREOPEN,ATR_VEL_GE105,357,0.10275182072829132,5.696533418367347,0.07478634394830744,0.4877456412970304,-1.7383705860187932,1.4130463598524188,0.15851579451690012,0.9435093601489882,False,4,6,16.8216,-1.0,2019-06-20,2025-11-26,15,-0.02903999999999997,55.43973214285714,2019:LOW_N=25;2020_2022:189:+0.013;2023:LOW_N=32;2024_2025:111:+0.111,2019:LOW_N=25;2020:73:-0.171;2021:76:+0.341;2022:40:-0.274;2023:32:+0.445;2024:57:+0.021;2025:54:+0.207,30,2.0,0,0,0.15851579451690012,0.29520576738470433,0.3962894862922503,0.1841826006474741,0.01775942728708413,False,False
MNQ_NYSE_PREOPEN_O5_E2_RR1_ATR_P70,NYSE_PREOPEN,ATR_P70,605,0.06212314049586776,5.679660167563093,0.06871404627304073,-0.3108588689993232,-1.888102607061224,1.6901420632314368,0.09151676161460923,0.851435957832306,False,5,5,17.048500000000004,-1.0,2019-05-08,2025-12-18,47,-0.11468936170212765,91.42583781547373,2019:LOW_N=24;2020_2022:304:+0.117;2023:LOW_N=7;2024_2025:270:+0.010,2019:LOW_N=24;2020:144:+0.067;2021:71:+0.068;2022:89:+0.236;2023:LOW_N=7;2024:148:+0.017;2025:122:+0.003,5,1.0,0,0,0.09151676161460923,0.20501639856851245,0.268581800390701,0.1841826006474741,0.002494137521951656,False,False
