trading_day,pnl_r,pnl_r0,outcome,is_scratch,is_is,is_oos,year,feature_fire,prev_day_low,prev_day_high,orb_mid,break_dir
2019-08-29,0.5805,0.5805,win,0,True,False,2019,0,7503.75,7605.75,7711.875,long
2019-09-10,-1.0,-1.0,loss,0,True,False,2019,0,7798.5,7887.25,7793.25,long
2019-09-12,-1.0,-1.0,loss,0,True,False,2019,0,7786.5,7899.75,7953.5,long
2019-09-17,0.4652,0.4652,win,0,True,False,2019,1,7798.25,7897.0,7882.375,long
2019-09-18,-1.0,-1.0,loss,0,True,False,2019,1,7850.5,7921.5,7864.5,long
2019-09-19,,0.0,scratch,1,True,False,2019,1,7813.25,7929.0,7920.375,long
2019-09-23,-1.0,-1.0,loss,0,True,False,2019,1,7834.5,7897.0,7852.375,long
2019-09-24,-1.0,-1.0,loss,0,True,False,2019,0,7807.75,7889.0,7722.5,long
2019-09-25,0.6913,0.6913,win,0,True,False,2019,1,7701.75,7904.25,7767.375,long
2019-09-26,0.6332,0.6332,win,0,True,False,2019,1,7663.75,7844.25,7759.625,long
2019-09-27,-1.0,-1.0,loss,0,True,False,2019,0,7735.0,7842.5,7689.875,long
2019-09-30,0.5648,0.5648,win,0,True,False,2019,0,7705.5,7759.0,7770.5,long
2019-10-01,0.8199,0.8199,win,0,True,False,2019,0,7707.25,7791.0,7698.75,long
2019-10-04,-1.0,-1.0,loss,0,True,False,2019,0,7474.75,7660.0,7741.375,long
2019-10-09,0.5648,0.5648,win,0,True,False,2019,1,7607.25,7784.5,7699.5,long
2019-10-10,0.8253,0.8253,win,0,True,False,2019,0,7583.5,7731.75,7734.0,long
2019-10-11,0.8499,0.8499,win,0,True,False,2019,0,7583.0,7815.0,7887.875,long
2019-10-15,0.4886,0.4886,win,0,True,False,2019,0,7807.0,7894.5,7955.25,long
2019-10-16,-1.0,-1.0,loss,0,True,False,2019,1,7861.5,7971.75,7920.5,long
2019-10-17,-1.0,-1.0,loss,0,True,False,2019,1,7907.75,7959.75,7951.25,long
2019-10-22,-1.0,-1.0,loss,0,True,False,2019,1,7883.25,7951.25,7932.5,long
2019-10-23,-1.0,-1.0,loss,0,True,False,2019,1,7837.5,7988.5,7884.125,long
2019-10-25,-1.0,-1.0,loss,0,True,False,2019,0,7912.75,7985.0,8026.5,long
2019-10-31,-1.0,-1.0,loss,0,True,False,2019,1,8020.75,8142.0,8075.875,long
2019-11-01,0.4652,0.4652,win,0,True,False,2019,0,8046.0,8139.0,8139.625,long
2019-11-04,0.3064,0.3064,win,0,True,False,2019,0,8085.25,8167.75,8219.5,long
2019-11-05,-1.0,-1.0,loss,0,True,False,2019,1,8164.0,8233.75,8228.375,long
2019-11-06,0.5101,0.5101,win,0,True,False,2019,0,8193.25,8248.25,8189.875,long
2019-11-11,0.2129,0.2129,win,0,True,False,2019,1,8190.25,8264.25,8248.0,long
2019-11-14,-1.0,-1.0,loss,0,True,False,2019,1,8220.0,8281.75,8252.625,long
2019-11-15,-1.0,-1.0,loss,0,True,False,2019,0,8216.5,8285.25,8309.375,long
2019-11-18,0.38,0.38,win,0,True,False,2019,0,8261.5,8323.75,8326.5,long
2019-11-20,0.7908,0.7908,win,0,True,False,2019,0,8312.75,8379.75,8246.125,long
2019-11-25,-1.0,-1.0,loss,0,True,False,2019,0,8233.25,8313.25,8363.875,long
2019-11-27,0.1561,0.1561,win,0,True,False,2019,0,8366.5,8421.0,8441.625,long
2019-12-02,0.6741,0.6741,win,0,True,False,2019,0,8406.25,8450.5,8315.375,long
2019-12-03,-1.0,-1.0,loss,0,True,False,2019,0,8276.0,8456.75,8232.0,long
2019-12-04,0.5298,0.5298,win,0,True,False,2019,1,8168.5,8337.25,8300.25,long
2019-12-05,0.7452,0.7452,win,0,True,False,2019,1,8220.75,8319.5,8294.125,long
2019-12-06,0.0903,0.0903,win,0,True,False,2019,0,8273.25,8340.0,8402.5,long
2019-12-09,0.38,0.38,win,0,True,False,2019,1,8307.5,8409.25,8389.25,long
2019-12-17,0.38,0.38,win,0,True,False,2019,1,8522.25,8618.0,8604.0,long
2019-12-19,0.38,0.38,win,0,True,False,2019,0,8595.25,8641.0,8653.75,long
2019-12-26,0.3064,0.3064,win,0,True,False,2019,0,8707.5,8736.0,8785.0,long
2019-12-27,0.6648,0.6648,win,0,True,False,2019,1,8726.0,8805.75,8790.5,long
2019-12-30,0.2626,0.2626,win,0,True,False,2019,0,8769.75,8843.25,8744.125,long
2019-12-31,0.3453,0.3453,win,0,True,False,2019,1,8691.0,8809.75,8723.125,long
2020-01-08,-1.0,-1.0,loss,0,True,False,2020,0,8825.0,8894.5,8940.0,long
2020-01-10,-1.0,-1.0,loss,0,True,False,2020,1,8932.5,9022.25,9012.625,long
2020-01-16,0.7395,0.7395,win,0,True,False,2020,0,9023.0,9096.0,9096.5,long
2020-01-22,-1.0,-1.0,loss,0,True,False,2020,0,9114.5,9199.75,9242.25,long
2020-01-23,0.6086,0.6086,win,0,True,False,2020,1,9174.5,9254.0,9198.625,long
2020-01-30,0.8278,0.8278,win,0,True,False,2020,0,9072.25,9158.75,9054.375,long
2020-02-03,0.779,0.779,win,0,True,False,2020,1,8965.0,9249.0,9112.25,long
2020-02-04,0.6548,0.6548,win,0,True,False,2020,0,8975.0,9155.75,9321.625,long
2020-02-05,-1.0,-1.0,loss,0,True,False,2020,1,9073.25,9369.0,9352.625,long
2020-02-12,-1.0,-1.0,loss,0,True,False,2020,1,9501.5,9609.5,9607.0,long
2020-02-13,0.6648,0.6648,win,0,True,False,2020,1,9524.25,9628.0,9621.25,long
2020-02-14,-1.0,-1.0,loss,0,True,False,2020,1,9511.25,9644.75,9603.125,long
2020-02-19,-1.0,-1.0,loss,0,True,False,2020,0,9534.0,9654.25,9734.625,long
2020-02-24,-1.0,-1.0,loss,0,True,False,2020,0,9411.5,9623.5,9090.375,long
2020-03-02,0.9017,0.9017,win,0,True,False,2020,0,8124.25,8447.25,8646.5,long
2020-03-05,-1.0,-1.0,loss,0,True,False,2020,1,8507.25,8950.0,8712.0,long
2020-03-17,0.963,0.963,win,0,True,False,2020,1,6906.0,7543.75,7300.625,long
2020-03-18,-1.0,-1.0,loss,0,True,False,2020,0,6931.25,7537.0,6894.625,long
2020-03-19,0.9269,0.9269,win,0,True,False,2020,1,6810.0,7377.0,7341.125,long
2020-03-25,0.9404,0.9404,win,0,True,False,2020,0,7034.75,7633.5,7674.875,long
2020-03-26,0.9358,0.9358,win,0,True,False,2020,1,7372.5,7762.25,7668.875,long
2020-03-27,0.9492,0.9492,win,0,True,False,2020,1,7310.0,7900.25,7656.375,long
2020-03-31,-1.0,-1.0,loss,0,True,False,2020,1,7430.75,7886.0,7837.125,long
2020-04-01,0.8806,0.8806,win,0,True,False,2020,0,7707.25,7995.0,7516.375,long
2020-04-02,0.8755,0.8755,win,0,True,False,2020,1,7403.75,7744.25,7502.625,long
2020-04-06,0.7831,0.7831,win,0,True,False,2020,0,7531.0,7649.25,7928.125,long
2020-04-13,0.8768,0.8768,win,0,True,False,2020,1,8075.0,8309.0,8206.0,long
2020-04-14,0.8374,0.8374,win,0,True,False,2020,0,8085.25,8374.0,8660.375,long
2020-04-16,-1.0,-1.0,loss,0,True,False,2020,1,8486.5,8696.5,8679.25,long
2020-04-17,0.7559,0.7559,win,0,True,False,2020,1,8500.5,8932.0,8739.875,long
2020-04-20,0.7395,0.7395,win,0,True,False,2020,1,8733.0,8801.5,8795.0,long
2020-04-21,0.8519,0.8519,win,0,True,False,2020,0,8686.25,8846.0,8446.0,long
2020-04-22,0.8278,0.8278,win,0,True,False,2020,1,8342.0,8763.0,8633.125,long
2020-04-23,-1.0,-1.0,loss,0,True,False,2020,1,8399.5,8699.25,8672.125,long
2020-04-24,0.7395,0.7395,win,0,True,False,2020,1,8531.75,8787.0,8678.5,long
2020-04-30,-1.0,-1.0,loss,0,True,False,2020,1,8737.25,9119.25,8935.875,long
2020-05-04,0.8048,0.8048,win,0,True,False,2020,0,8591.75,8654.25,8726.125,long
2020-05-05,0.6332,0.6332,win,0,True,False,2020,0,8556.75,8827.5,8989.125,long
2020-05-06,0.7506,0.7506,win,0,True,False,2020,0,8802.25,9019.75,9036.0,long
2020-05-11,0.6913,0.6913,win,0,True,False,2020,0,9173.0,9221.0,9310.625,long
2020-05-12,0.8253,0.8253,win,0,True,False,2020,1,9118.75,9338.75,9268.25,long
2020-05-13,-1.0,-1.0,loss,0,True,False,2020,0,9025.0,9345.75,8939.375,long
2020-05-19,-1.0,-1.0,loss,0,True,False,2020,0,9155.0,9361.5,9401.75,long
2020-05-20,-1.0,-1.0,loss,0,True,False,2020,0,9273.25,9417.25,9451.625,long
2020-05-27,0.8983,0.8983,win,0,True,False,2020,0,9373.0,9604.0,9322.25,long
2020-05-28,-1.0,-1.0,loss,0,True,False,2020,0,9173.25,9508.0,9557.75,long
2020-06-01,-1.0,-1.0,loss,0,True,False,2020,0,9450.0,9541.0,9600.75,long
2020-06-02,0.7452,0.7452,win,0,True,False,2020,1,9479.0,9606.0,9595.125,long
2020-06-04,0.8278,0.8278,win,0,True,False,2020,0,9639.75,9728.25,9636.125,long
2020-06-08,0.8555,0.8555,win,0,True,False,2020,1,9808.0,9862.25,9833.75,long
2020-06-09,-1.0,-1.0,loss,0,True,False,2020,0,9746.75,9901.0,9992.5,long
2020-06-15,0.8048,0.8048,win,0,True,False,2020,0,9490.5,9573.0,9679.125,long
2020-06-17,-1.0,-1.0,loss,0,True,False,2020,0,9786.0,10002.25,10040.875,long
2020-06-18,-1.0,-1.0,loss,0,True,False,2020,1,9915.0,10047.5,9987.375,long
2020-06-19,-1.0,-1.0,loss,0,True,False,2020,1,9867.0,10029.25,9965.125,long
2020-06-23,-1.0,-1.0,loss,0,True,False,2020,0,9875.75,10147.0,10285.125,long
2020-06-25,0.8328,0.8328,win,0,True,False,2020,1,9927.25,10241.75,10001.875,long
2020-06-26,-1.0,-1.0,loss,0,True,False,2020,1,9885.5,10107.25,9935.125,long
2020-06-29,0.787,0.787,win,0,True,False,2020,0,9777.75,9835.5,9911.75,long
2020-07-01,0.6548,0.6548,win,0,True,False,2020,0,9940.0,10043.0,10251.375,long
2020-07-07,-1.0,-1.0,loss,0,True,False,2020,1,10380.75,10623.75,10618.875,long
2020-07-08,-1.0,-1.0,loss,0,True,False,2020,1,10506.0,10694.5,10602.125,long
2020-07-10,0.8639,0.8639,win,0,True,False,2020,1,10560.25,10774.25,10756.875,long
2020-07-14,0.9079,0.9079,win,0,True,False,2020,0,10562.0,11058.25,10558.0,long
2020-07-15,-1.0,-1.0,loss,0,True,False,2020,1,10358.75,10740.0,10655.875,long
2020-07-20,0.7068,0.7068,win,0,True,False,2020,0,10612.0,10657.0,10837.625,long
2020-07-21,0.848,0.848,win,0,True,False,2020,1,10545.5,10980.0,10879.75,long
2020-07-24,0.8573,0.8573,win,0,True,False,2020,0,10514.5,10938.5,10423.875,long
2020-07-28,-1.0,-1.0,loss,0,True,False,2020,1,10400.5,10705.75,10635.625,long
2020-07-29,-1.0,-1.0,loss,0,True,False,2020,1,10513.75,10758.5,10622.5,long
2020-08-04,-1.0,-1.0,loss,0,True,False,2020,1,10882.5,11073.0,11049.0,long
2020-08-05,-1.0,-1.0,loss,0,True,False,2020,0,10982.75,11094.75,11110.125,long
2020-08-06,0.7831,0.7831,win,0,True,False,2020,0,11055.75,11143.5,11177.875,long
2020-08-07,-1.0,-1.0,loss,0,True,False,2020,1,11051.5,11271.5,11106.125,long
2020-08-12,0.8199,0.8199,win,0,True,False,2020,1,10845.25,11157.5,11125.75,long
2020-08-13,-1.0,-1.0,loss,0,True,False,2020,0,10878.25,11184.5,11197.125,long
2020-08-18,0.6086,0.6086,win,0,True,False,2020,0,11148.25,11300.5,11378.875,long
2020-08-19,-1.0,-1.0,loss,0,True,False,2020,1,11268.5,11444.75,11424.25,long
2020-08-20,-1.0,-1.0,loss,0,True,False,2020,1,11298.75,11437.75,11418.0,long
2020-08-21,-1.0,-1.0,loss,0,True,False,2020,0,11221.5,11498.75,11525.25,long
2020-08-24,-1.0,-1.0,loss,0,True,False,2020,0,11572.5,11589.0,11600.5,long
2020-08-26,0.7452,0.7452,win,0,True,False,2020,0,11574.75,11744.25,11927.625,long
2020-08-28,0.8519,0.8519,win,0,True,False,2020,1,11834.5,12046.25,11934.75,long
2020-08-31,-1.0,-1.0,loss,0,True,False,2020,0,11995.0,12034.5,12128.375,long
2020-09-01,0.714,0.714,win,0,True,False,2020,0,11988.25,12165.0,12255.75,long
2020-09-04,0.9165,0.9165,win,0,True,False,2020,0,11626.25,12438.5,11390.375,long
2020-09-08,-1.0,-1.0,loss,0,True,False,2020,0,11371.0,11585.5,11241.25,long
2020-09-11,0.9241,0.9241,win,0,True,False,2020,0,11087.75,11567.0,10955.875,long
2020-09-14,0.9509,0.9509,win,0,True,False,2020,0,11094.75,11193.75,11202.625,long
2020-09-15,-1.0,-1.0,loss,0,True,False,2020,0,11142.0,11349.25,11458.0,long
2020-09-17,-1.0,-1.0,loss,0,True,False,2020,0,11223.25,11536.75,10999.25,long
2020-09-18,0.9476,0.9476,win,0,True,False,2020,0,10903.5,11285.25,10769.0,long
2020-09-21,-1.0,-1.0,loss,0,True,False,2020,1,10852.0,10939.75,10866.25,long
2020-09-22,0.859,0.859,win,0,True,False,2020,0,10656.75,11010.0,11061.5,long
2020-09-25,0.8537,0.8537,win,0,True,False,2020,0,10657.75,11011.75,11028.625,long
2020-09-28,-1.0,-1.0,loss,0,True,False,2020,0,11136.0,11181.0,11314.875,long
2020-09-29,0.7657,0.7657,win,0,True,False,2020,1,11140.75,11413.75,11331.375,long
2020-09-30,0.8875,0.8875,win,0,True,False,2020,0,11289.75,11449.0,11455.625,long
2020-10-01,0.8111,0.8111,win,0,True,False,2020,0,11167.5,11525.25,11547.125,long
2020-10-06,0.787,0.787,win,0,True,False,2020,1,11268.0,11496.75,11445.25,long
2020-10-07,0.683,0.683,win,0,True,False,2020,1,11197.5,11524.25,11471.25,long
2020-10-12,-1.0,-1.0,loss,0,True,False,2020,0,11691.75,11747.75,12139.375,long
2020-10-14,0.9159,0.9159,win,0,True,False,2020,0,12018.0,12249.0,11923.0,long
2020-10-15,0.8768,0.8768,win,0,True,False,2020,0,11901.75,12177.75,11794.0,long
2020-10-16,-1.0,-1.0,loss,0,True,False,2020,1,11737.0,11978.0,11930.125,long
2020-10-20,0.779,0.779,win,0,True,False,2020,1,11592.0,11950.75,11769.75,long
2020-10-22,0.8655,0.8655,win,0,True,False,2020,1,11581.25,11779.25,11637.5,long
2020-10-26,0.8864,0.8864,win,0,True,False,2020,0,11574.0,11651.0,11355.25,long
2020-10-27,-1.0,-1.0,loss,0,True,False,2020,1,11343.25,11695.75,11589.125,long
2020-10-28,0.8573,0.8573,win,0,True,False,2020,0,11478.0,11623.0,11202.875,long
2020-11-02,-1.0,-1.0,loss,0,True,False,2020,1,10944.25,11281.25,10991.125,long
2020-11-04,-1.0,-1.0,loss,0,True,False,2020,0,11065.0,11347.25,11795.5,long
2020-11-05,0.8607,0.8607,win,0,True,False,2020,0,11230.0,11845.25,12042.375,long
2020-11-09,-1.0,-1.0,loss,0,True,False,2020,1,11869.5,12109.0,12095.0,long
2020-11-10,0.9381,0.9381,win,0,True,False,2020,0,11812.75,12408.0,11598.75,long
2020-11-11,0.7981,0.7981,win,0,True,False,2020,1,11503.0,11901.25,11864.125,long
2020-11-12,0.9246,0.9246,win,0,True,False,2020,1,11575.0,11919.5,11805.75,long
2020-11-18,-1.0,-1.0,loss,0,True,False,2020,1,11954.25,12093.0,11987.625,long
2020-11-19,0.7395,0.7395,win,0,True,False,2020,1,11862.5,12027.75,11939.5,long
2020-11-20,-1.0,-1.0,loss,0,True,False,2020,1,11804.5,12000.0,11992.5,long
2020-11-24,0.8048,0.8048,win,0,True,False,2020,0,11808.25,12001.75,12050.125,long
2020-11-25,-1.0,-1.0,loss,0,True,False,2020,0,11872.5,12105.25,12125.5,long
2020-11-30,0.8015,0.8015,win,0,True,False,2020,1,12137.0,12307.75,12222.25,long
2020-12-01,0.6913,0.6913,win,0,True,False,2020,0,12085.75,12336.75,12490.875,long
2020-12-04,-1.0,-1.0,loss,0,True,False,2020,1,12443.5,12540.25,12518.5,long
2020-12-08,0.6993,0.6993,win,0,True,False,2020,0,12475.0,12612.25,12623.0,long
2020-12-11,0.8607,0.8607,win,0,True,False,2020,1,12218.0,12449.0,12300.125,long
2020-12-14,-1.0,-1.0,loss,0,True,False,2020,0,12233.75,12413.5,12496.375,long
2020-12-15,-1.0,-1.0,loss,0,True,False,2020,1,12388.75,12549.75,12549.5,long
2020-12-16,-1.0,-1.0,loss,0,True,False,2020,0,12423.5,12609.0,12641.125,long
2020-12-17,0.7452,0.7452,win,0,True,False,2020,0,12571.25,12704.75,12718.375,long
2020-12-21,-1.0,-1.0,loss,0,True,False,2020,1,12610.0,12789.25,12676.375,long
2020-12-22,0.6741,0.6741,win,0,True,False,2020,1,12461.0,12783.5,12696.375,long
2020-12-23,0.6213,0.6213,win,0,True,False,2020,1,12593.75,12760.0,12720.5,long
2020-12-28,-1.0,-1.0,loss,0,True,False,2020,0,12631.5,12724.0,12842.625,long
2020-12-30,-1.0,-1.0,loss,0,True,False,2020,1,12807.75,12918.25,12862.875,long
2021-01-04,-1.0,-1.0,loss,0,True,False,2021,0,12796.25,12895.5,12642.625,long
2021-01-05,0.8439,0.8439,win,0,True,False,2021,1,12522.0,12960.0,12733.25,long
2021-01-06,0.7657,0.7657,win,0,True,False,2021,1,12611.75,12808.5,12748.875,long
2021-01-07,0.8519,0.8519,win,0,True,False,2021,0,12491.25,12844.5,12902.5,long
2021-01-12,-1.0,-1.0,loss,0,True,False,2021,1,12872.0,13105.5,12883.375,long
2021-01-13,-1.0,-1.0,loss,0,True,False,2021,0,12767.0,12959.0,12976.875,long
2021-01-14,-1.0,-1.0,loss,0,True,False,2021,1,12820.5,13003.0,12949.125,long
2021-01-19,0.7703,0.7703,win,0,True,False,2021,0,12727.0,12816.75,12966.75,long
2021-01-21,0.595,0.595,win,0,True,False,2021,0,13018.0,13327.25,13374.5,long
2021-01-22,0.7208,0.7208,win,0,True,False,2021,1,13283.0,13423.75,13362.625,long
2021-01-26,-1.0,-1.0,loss,0,True,False,2021,1,13189.0,13555.0,13499.75,long
2021-01-28,-1.0,-1.0,loss,0,True,False,2021,1,12882.5,13586.75,13365.875,long
2021-01-29,-1.0,-1.0,loss,0,True,False,2021,1,12906.25,13394.0,12919.125,long
2021-02-02,0.846,0.846,win,0,True,False,2021,0,12726.75,13271.75,13449.125,long
2021-02-03,0.808,0.808,win,0,True,False,2021,1,13230.0,13509.0,13468.75,long
2021-02-05,-1.0,-1.0,loss,0,True,False,2021,0,13345.75,13572.0,13612.0,long
2021-02-08,-1.0,-1.0,loss,0,True,False,2021,0,13519.25,13638.5,13645.0,long
2021-02-09,-1.0,-1.0,loss,0,True,False,2021,1,13596.0,13692.5,13676.75,long
2021-02-11,-1.0,-1.0,loss,0,True,False,2021,1,13517.25,13769.25,13703.375,long
2021-02-12,-1.0,-1.0,loss,0,True,False,2021,1,13613.5,13744.0,13734.0,long
2021-02-16,-1.0,-1.0,loss,0,True,False,2021,0,13819.0,13879.25,13782.5,long
2021-02-18,-1.0,-1.0,loss,0,True,False,2021,1,13543.0,13785.5,13605.75,long
2021-02-19,0.8992,0.8992,win,0,True,False,2021,1,13468.75,13724.75,13563.875,long
2021-02-22,0.787,0.787,win,0,True,False,2021,0,13534.25,13729.0,13364.5,long
2021-02-24,-1.0,-1.0,loss,0,True,False,2021,1,12757.5,13335.75,13244.0,long
2021-03-01,0.7657,0.7657,win,0,True,False,2021,0,12663.25,13089.75,13203.125,long
2021-03-02,-1.0,-1.0,loss,0,True,False,2021,1,12946.75,13318.0,13195.25,long
2021-03-05,-1.0,-1.0,loss,0,True,False,2021,1,12306.25,12797.0,12586.0,long
2021-03-09,-1.0,-1.0,loss,0,True,False,2021,0,12283.75,12761.25,12834.625,long
2021-03-15,0.787,0.787,win,0,True,False,2021,1,12914.75,12965.25,12949.0,long
2021-03-18,-1.0,-1.0,loss,0,True,False,2021,1,12934.25,13271.0,12952.125,long
2021-03-22,0.7747,0.7747,win,0,True,False,2021,0,12789.5,12845.5,13124.625,long
2021-04-01,0.8111,0.8111,win,0,True,False,2021,0,12860.25,13158.25,13268.125,long
2021-04-06,0.8853,0.8853,win,0,True,False,2021,1,13311.25,13621.0,13560.125,long
2021-04-07,0.846,0.846,win,0,True,False,2021,1,13524.5,13654.25,13577.875,long
2021-04-09,-1.0,-1.0,loss,0,True,False,2021,1,13614.75,13793.75,13779.625,long
2021-04-13,0.6332,0.6332,win,0,True,False,2021,0,13731.75,13833.0,13932.875,long
2021-04-16,-1.0,-1.0,loss,0,True,False,2021,1,13789.5,14034.25,14009.375,long
2021-04-19,-1.0,-1.0,loss,0,True,False,2021,0,13973.25,13998.0,13873.0,long
2021-04-20,0.817,0.817,win,0,True,False,2021,0,13821.0,14052.5,13754.625,long
2021-04-23,0.6741,0.6741,win,0,True,False,2021,0,13701.75,13944.0,13951.625,long
2021-04-26,0.7831,0.7831,win,0,True,False,2021,0,13908.75,13928.0,13976.875,long
2021-04-27,-1.0,-1.0,loss,0,True,False,2021,1,13865.75,14038.0,13959.5,long
2021-05-03,-1.0,-1.0,loss,0,True,False,2021,0,13867.5,13889.0,13781.875,long
2021-05-04,-1.0,-1.0,loss,0,True,False,2021,0,13771.5,13947.5,13448.0,long
2021-05-06,-1.0,-1.0,loss,0,True,False,2021,1,13462.5,13665.5,13535.0,long
2021-05-12,-1.0,-1.0,loss,0,True,False,2021,0,13065.5,13375.75,13026.75,long
2021-05-14,0.883,0.883,win,0,True,False,2021,0,12914.75,13225.0,13359.125,long
2021-05-17,-1.0,-1.0,loss,0,True,False,2021,0,13376.25,13452.5,13208.125,long
2021-05-21,-1.0,-1.0,loss,0,True,False,2021,1,13151.25,13524.0,13442.125,long
2021-05-24,0.7559,0.7559,win,0,True,False,2021,0,13356.25,13393.75,13656.375,long
2021-05-27,-1.0,-1.0,loss,0,True,False,2021,1,13656.0,13728.25,13696.125,long
2021-06-02,-1.0,-1.0,loss,0,True,False,2021,1,13592.75,13773.0,13635.25,long
2021-06-04,0.7395,0.7395,win,0,True,False,2021,0,13462.25,13707.0,13763.75,long
2021-06-08,-1.0,-1.0,loss,0,True,False,2021,1,13691.5,13826.5,13799.75,long
2021-06-10,0.8499,0.8499,win,0,True,False,2021,0,13806.5,13904.0,13930.125,long
2021-06-11,0.714,0.714,win,0,True,False,2021,1,13726.5,13980.0,13952.75,long
2021-06-14,0.6648,0.6648,win,0,True,False,2021,0,13989.5,14015.0,14045.5,long
2021-06-15,-1.0,-1.0,loss,0,True,False,2021,1,13957.0,14125.75,14033.125,long
2021-06-16,-1.0,-1.0,loss,0,True,False,2021,1,14000.5,14155.25,14024.125,long
2021-06-17,-1.0,-1.0,loss,0,True,False,2021,0,13830.0,14095.5,14166.5,long
2021-06-18,-1.0,-1.0,loss,0,True,False,2021,1,13842.0,14199.25,14077.75,long
2021-06-21,0.7274,0.7274,win,0,True,False,2021,0,14013.25,14047.25,14116.25,long
2021-06-22,-1.0,-1.0,loss,0,True,False,2021,0,13958.75,14144.0,14215.625,long
2021-06-28,0.714,0.714,win,0,True,False,2021,0,14337.0,14366.25,14462.75,long
2021-06-29,0.7452,0.7452,win,0,True,False,2021,0,14333.25,14519.5,14543.125,long
2021-06-30,-1.0,-1.0,loss,0,True,False,2021,1,14468.75,14591.0,14543.625,long
