trading_day,pnl_r,pnl_r0,outcome,is_scratch,is_is,is_oos,year,feature_fire,prev_day_low,prev_day_high,orb_mid,break_dir
2019-05-09,0.7908,0.7908,win,0,True,False,2019,0,7600.75,7697.75,7581.875,long
2019-05-10,0.7657,0.7657,win,0,True,False,2019,1,7481.25,7644.25,7551.125,long
2019-05-13,0.7981,0.7981,win,0,True,False,2019,0,7525.25,7601.0,7327.125,long
2019-05-15,0.7452,0.7452,win,0,True,False,2019,0,7304.75,7459.5,7513.625,long
2019-05-17,0.7747,0.7747,win,0,True,False,2019,1,7473.25,7641.25,7564.125,long
2019-05-20,-1.0,-1.0,loss,0,True,False,2019,0,7512.25,7530.5,7405.375,long
2019-05-21,0.595,0.595,win,0,True,False,2019,1,7361.5,7559.5,7465.5,long
2019-05-22,0.6213,0.6213,win,0,True,False,2019,1,7400.75,7485.25,7425.5,long
2019-05-24,0.6648,0.6648,win,0,True,False,2019,1,7268.25,7428.5,7329.75,long
2019-05-28,0.6213,0.6213,win,0,True,False,2019,1,7293.0,7338.25,7334.5,long
2019-05-29,-1.0,-1.0,loss,0,True,False,2019,0,7280.75,7371.5,7230.375,long
2019-06-05,-1.0,-1.0,loss,0,True,False,2019,1,6981.5,7211.25,7210.75,long
2019-06-06,0.5101,0.5101,win,0,True,False,2019,1,7150.0,7245.25,7237.375,long
2019-06-07,-1.0,-1.0,loss,0,True,False,2019,0,7196.0,7299.5,7431.0,long
2019-06-11,0.7506,0.7506,win,0,True,False,2019,1,7431.5,7578.25,7501.0,long
2019-06-17,0.5805,0.5805,win,0,True,False,2019,0,7508.0,7522.0,7563.875,long
2019-06-18,0.7452,0.7452,win,0,True,False,2019,0,7509.5,7577.5,7671.125,long
2019-06-19,-1.0,-1.0,loss,0,True,False,2019,1,7541.25,7721.75,7651.125,long
2019-06-24,-1.0,-1.0,loss,0,True,False,2019,1,7716.75,7772.5,7762.25,long
2019-06-25,-1.0,-1.0,loss,0,True,False,2019,0,7746.0,7794.0,7668.875,long
2019-06-27,-1.0,-1.0,loss,0,True,False,2019,1,7616.0,7719.0,7693.0,long
2019-06-28,-1.0,-1.0,loss,0,True,False,2019,1,7643.75,7716.75,7687.0,long
2019-07-02,0.6741,0.6741,win,0,True,False,2019,1,7758.75,7850.25,7788.875,long
2019-07-05,-1.0,-1.0,loss,0,True,False,2019,0,7881.75,7909.25,7860.375,long
2019-07-08,-1.0,-1.0,loss,0,True,False,2019,0,7851.25,7864.25,7799.25,long
2019-07-09,0.2626,0.2626,win,0,True,False,2019,1,7777.75,7857.25,7837.875,long
2019-07-10,0.6213,0.6213,win,0,True,False,2019,0,7743.25,7858.75,7926.5,long
2019-07-15,0.5298,0.5298,win,0,True,False,2019,0,7955.5,7966.75,7971.5,long
2019-07-18,0.4395,0.4395,win,0,True,False,2019,1,7868.0,7966.5,7871.25,long
2019-07-22,0.548,0.548,win,0,True,False,2019,0,7825.5,7847.25,7909.375,long
2019-07-23,0.548,0.548,win,0,True,False,2019,1,7833.25,7936.25,7933.625,long
2019-07-25,-1.0,-1.0,loss,0,True,False,2019,1,7925.75,8051.75,7947.25,long
2019-07-30,0.5648,0.5648,win,0,True,False,2019,1,7951.5,8031.75,7965.75,long
2019-08-05,0.7609,0.7609,win,0,True,False,2019,0,7678.5,7706.0,7440.0,long
2019-08-06,-1.0,-1.0,loss,0,True,False,2019,1,7245.0,7705.5,7501.875,long
2019-08-07,0.9009,0.9009,win,0,True,False,2019,1,7225.0,7548.75,7513.875,long
2019-08-08,0.7452,0.7452,win,0,True,False,2019,0,7387.75,7577.25,7689.875,long
2019-08-13,0.7908,0.7908,win,0,True,False,2019,0,7534.75,7709.75,7733.625,long
2019-08-14,-1.0,-1.0,loss,0,True,False,2019,1,7513.75,7789.25,7532.25,long
2019-08-22,-1.0,-1.0,loss,0,True,False,2019,1,7664.25,7782.25,7722.25,long
2019-08-23,-1.0,-1.0,loss,0,True,False,2019,0,7653.75,7777.25,7495.25,long
2019-08-27,0.7208,0.7208,win,0,True,False,2019,1,7390.25,7626.0,7556.625,long
2019-08-28,0.7703,0.7703,win,0,True,False,2019,1,7536.75,7648.75,7578.0,long
