candidate,book_shape,book,overlay,us_data_rr,us_data_filter,stop_multiplier,risk_cap_dollars,realized_loss_throttle,n_is_days,active_trade_days_is,trades_before_throttle,trades_after_overlay,skipped_trades,null_pnl_count,annual_dollars,max_dd_dollars,worst_day_dollars,hist_daily_belt_breaches,operational_survival,trailing_dd_breach_mc,daily_loss_breach_mc,mean_2026_dollars,profile_safe,verdict
CURRENT_RR2_COST_LT10__STOP_075_RISK_CAP_225,CURRENT_RR2_COST_LT10,NYOPEN_USDATA_RR2_COST_LT10,STOP_075_RISK_CAP_225,2.0,COST_LT10,0.75,225.0,False,1719,1679,3342,3342,0,0,6639.416260942407,3300.395733999925,-401.13,0,0.7559,0.2441,0.0,52.81200609302325,False,KILL
RAW_ANNUAL_RR2_NO_FILTER__STOP_075_RISK_CAP_225,RAW_ANNUAL_RR2_NO_FILTER,NYOPEN_USDATA_RR2_NO_FILTER,STOP_075_RISK_CAP_225,2.0,NO_FILTER,0.75,225.0,False,1719,1694,3397,3397,0,0,6635.731331643979,3300.395733999925,-401.13,0,0.7556,0.2444,0.0,52.81200609302325,False,KILL
LOW_DD_RR1_NO_FILTER__STOP_075_RISK_CAP_225,LOW_DD_RR1_NO_FILTER,NYOPEN_USDATA_RR1_NO_FILTER,STOP_075_RISK_CAP_225,1.0,NO_FILTER,0.75,225.0,False,1719,1694,3397,3397,0,0,6411.127295999999,3076.6111579999415,-401.13,0,0.848,0.152,0.0,54.84225248837209,False,KILL
COMPROMISE_RR1_5_NO_FILTER__STOP_075_RISK_CAP_300,COMPROMISE_RR1_5_NO_FILTER,NYOPEN_USDATA_RR1_5_NO_FILTER,STOP_075_RISK_CAP_300,1.5,NO_FILTER,0.75,300.0,False,1719,1714,3532,3532,0,0,5930.840699476439,5143.574141999765,-537.63,11,0.4203,0.1866,0.3931,66.93295630232556,False,KILL
CURRENT_RR2_COST_LT10__STOP_075_RISK_CAP_300,CURRENT_RR2_COST_LT10,NYOPEN_USDATA_RR2_COST_LT10,STOP_075_RISK_CAP_300,2.0,COST_LT10,0.75,300.0,False,1719,1699,3477,3477,0,0,5879.0300577172775,4521.21245199984,-537.63,12,0.3784,0.2094,0.4122,63.49654451162791,False,KILL
RAW_ANNUAL_RR2_NO_FILTER__STOP_075_RISK_CAP_300,RAW_ANNUAL_RR2_NO_FILTER,NYOPEN_USDATA_RR2_NO_FILTER,STOP_075_RISK_CAP_300,2.0,NO_FILTER,0.75,300.0,False,1719,1714,3532,3532,0,0,5875.345128418848,4539.902451999835,-537.63,12,0.3785,0.2097,0.4118,63.49654451162791,False,KILL
COMPROMISE_RR1_5_NO_FILTER__STOP_075,COMPROMISE_RR1_5_NO_FILTER,NYOPEN_USDATA_RR1_5_NO_FILTER,STOP_075,1.5,NO_FILTER,0.75,,False,1719,1719,3587,3587,0,0,5725.313638492146,7038.575455999802,-937.0049999999999,26,0.1978,0.1101,0.6921,47.94041090697672,False,KILL
CURRENT_RR2_COST_LT10__STOP_075,CURRENT_RR2_COST_LT10,NYOPEN_USDATA_RR2_COST_LT10,STOP_075,2.0,COST_LT10,0.75,,False,1719,1704,3532,3532,0,0,5703.812268146597,6286.41674399982,-937.0049999999999,28,0.1721,0.1239,0.704,44.503999116279076,False,KILL
RAW_ANNUAL_RR2_NO_FILTER__STOP_075,RAW_ANNUAL_RR2_NO_FILTER,NYOPEN_USDATA_RR2_NO_FILTER,STOP_075,2.0,NO_FILTER,0.75,,False,1719,1719,3587,3587,0,0,5700.127338848166,6305.106743999815,-937.0049999999999,28,0.1724,0.1238,0.7038,44.503999116279076,False,KILL
LOW_DD_RR1_NO_FILTER__STOP_075_RISK_CAP_300,LOW_DD_RR1_NO_FILTER,NYOPEN_USDATA_RR1_NO_FILTER,STOP_075_RISK_CAP_300,1.0,NO_FILTER,0.75,300.0,False,1719,1714,3532,3532,0,0,5457.735959581152,5579.230857999872,-537.63,10,0.4682,0.1583,0.3735,74.85878232558139,False,KILL
LOW_DD_RR1_NO_FILTER__STOP_075,LOW_DD_RR1_NO_FILTER,NYOPEN_USDATA_RR1_NO_FILTER,STOP_075,1.0,NO_FILTER,0.75,,False,1719,1719,3587,3587,0,0,5340.334568418849,6417.184645999841,-937.0049999999999,24,0.2356,0.0883,0.6761,55.866236930232546,False,KILL
