session,orb_minutes,rr_target,entry_model,n,mean_r,sd_r,naive_t,win_rate
NYSE_PREOPEN,5,1.0,E1,8446,-0.089424946720341,0.924479603729316,-8.889695690971548,0.492896045465309
NYSE_PREOPEN,5,1.0,E2,1757,-0.024147125782583958,0.896374579564544,-1.12917640147431,0.5463858850313034
NYSE_PREOPEN,5,1.5,E1,8446,-0.10713308074828319,1.122728372043841,-8.769491967911112,0.3847975372957613
NYSE_PREOPEN,5,1.5,E2,1757,-0.015803016505406973,1.1157525822013914,-0.5936875940838812,0.4410927717700626
NYSE_PREOPEN,5,2.0,E1,8446,-0.10028656168600517,1.2920220665612958,-7.133429103284697,0.32121714421027703
NYSE_PREOPEN,5,2.0,E2,1757,-0.03457177006260673,1.2923170958911196,-1.1213428210440886,0.3614114968696642
NYSE_PREOPEN,5,2.5,E1,8446,-0.09543992422448494,1.4392387788903,-6.09428516921969,0.27350224958560265
NYSE_PREOPEN,5,2.5,E2,1757,-0.051864143426294834,1.441087920840656,-1.5085600845541898,0.3039271485486625
NYSE_PREOPEN,5,3.0,E1,8446,-0.08576779540610939,1.573645962825625,-5.0089045250155815,0.23857447312337202
NYSE_PREOPEN,5,3.0,E2,1757,-0.04378793397837225,1.584851223032679,-1.1581153982684564,0.26807057484348323
NYSE_PREOPEN,5,4.0,E1,8446,-0.07887795406109398,1.8041181173116037,-4.01805806150602,0.18529481411318968
NYSE_PREOPEN,5,4.0,E2,1757,0.0029046101309049724,1.867162289931817,0.06520661578419835,0.2242458736482641
NYSE_PREOPEN,15,1.0,E1,8427,-0.05057200664530668,0.9466238462684327,-4.904212080300583,0.4972113444879554
NYSE_PREOPEN,15,1.0,E2,1757,0.002014684120660206,0.9284280384654781,0.09095877368669766,0.5401252134319864
NYSE_PREOPEN,15,1.5,E1,8427,-0.04913622878841814,1.1532189114649596,-3.9113489443431657,0.39147976741426366
NYSE_PREOPEN,15,1.5,E2,1757,0.013625156516789999,1.1538446768850221,0.49497131353796575,0.4371087080250427
NYSE_PREOPEN,15,2.0,E1,8427,-0.043551524860567195,1.323105420773391,-3.021658734766541,0.3200427198291207
NYSE_PREOPEN,15,2.0,E2,1757,0.0058854297097324865,1.3388498965591757,0.18426046746477526,0.3608423449060899
NYSE_PREOPEN,15,2.5,E1,8427,-0.037261967485463364,1.4649559806568773,-2.3349506411999723,0.2637949448202207
NYSE_PREOPEN,15,2.5,E2,1757,0.013495446784291406,1.501215366182557,0.37681670412098583,0.30848036425725667
NYSE_PREOPEN,15,3.0,E1,8427,-0.029084430995609287,1.5886654916867506,-1.6806009573654437,0.2214311142755429
NYSE_PREOPEN,15,3.0,E2,1757,-0.002948434832100166,1.6370364436055154,-0.07549515240822242,0.2640865110984633
NYSE_PREOPEN,15,4.0,E1,8427,0.008187231517740588,1.8099565143810508,0.41524597139063396,0.16423400973062774
NYSE_PREOPEN,15,4.0,E2,1757,0.01610722822993739,1.8900303186089198,0.35722177349534595,0.20774046670461013
NYSE_PREOPEN,30,1.0,E1,8414,-0.001424459234608992,0.9529535113413863,-0.13711329394570995,0.5034466365581174
NYSE_PREOPEN,30,1.0,E2,1758,0.09546058020477817,0.9356395890403074,4.277843728066633,0.5767918088737202
NYSE_PREOPEN,30,1.5,E1,8414,0.02916180175897317,1.1621476689520238,2.30172954164334,0.39731400047539817
NYSE_PREOPEN,30,1.5,E2,1758,0.12091467576791806,1.1785339062469944,4.301761906146316,0.46985210466439137
NYSE_PREOPEN,30,2.0,E1,8414,0.05983632041835035,1.3322507637789145,4.119838151770938,0.3179225101022106
NYSE_PREOPEN,30,2.0,E2,1758,0.1364899317406143,1.3818662638565486,4.141370042540849,0.3924914675767918
NYSE_PREOPEN,30,2.5,E1,8414,0.08360128357499404,1.4700057943506475,5.216691477180293,0.25350606132636083
NYSE_PREOPEN,30,2.5,E2,1758,0.13422417519908983,1.5457294140570816,3.6408828735582643,0.32707622298065986
NYSE_PREOPEN,30,3.0,E1,8414,0.10514989303541718,1.5867760039706296,6.078472620698033,0.20323270739244118
NYSE_PREOPEN,30,3.0,E2,1758,0.18064226393629126,1.7144978612653086,4.417655598722991,0.29180887372013653
NYSE_PREOPEN,30,4.0,E1,8414,0.131800843831709,1.7495065345730296,6.910410962350676,0.12550511053006894
NYSE_PREOPEN,30,4.0,E2,1758,0.22880352673492602,1.9860077715224578,4.830490207786823,0.2224118316268487
