sample,n_universe,n_fired,fire_rate,expr,policy_ev,sharpe,t,p_two_sided,long_n,long_expr,long_t,short_n,short_expr,short_t,max_IS_trading_day,min_OOS_trading_day,holdout_boundary_value,holdout_boundary_proof
IS,1547,409,0.26438267614738203,0.21223838630806846,0.05611215255332902,0.1554931768093308,3.144654888220875,0.0016628286186825645,203,0.20423546798029554,2.1262617609784678,206,0.22012475728155337,2.3151619564040864,2025-12-31,2026-01-02,2026-01-01,True
OOS,87,18,0.20689655172413793,-0.07152777777777776,-0.01479885057471264,-0.052876105213898295,-0.22433431535688506,0.822497176769228,7,0.21739999999999998,0.37847835773268607,11,-0.25539090909090906,-0.6635561697598916,2025-12-31,2026-01-02,2026-01-01,True
