trading_day,pnl_r,pnl_r0,outcome,is_is,is_oos,is_scratch,orb_US_DATA_1000_break_dir,orb_US_DATA_1000_size,o5_open,o5_close,o5_high,o5_low,o5_size,o5_volume,o5_clv,feature_fire,lane_fire
2019-05-07,-1.0,-1.0,loss,True,False,0,short,25.25,7709.0,7689.5,7710.5,7687.0,23.5,1971.0,0.10638297872340426,1,1
2019-05-09,-1.0,-1.0,loss,True,False,0,short,27.5,7524.0,7501.25,7524.25,7498.75,25.5,3966.0,0.09803921568627451,1,1
2019-05-10,1.3876,1.3876,win,True,False,0,short,30.75,7550.75,7533.75,7551.5,7533.75,17.75,1674.0,0.0,1,1
2019-05-14,1.3607,1.3607,win,True,False,0,long,24.5,7362.75,7372.5,7385.25,7362.5,22.75,1682.0,0.43956043956043955,0,1
2019-05-15,1.4193,1.4193,win,True,False,0,long,43.5,7408.0,7415.5,7424.5,7407.75,16.75,2896.0,0.4626865671641791,0,1
2019-05-16,1.26,1.26,win,True,False,0,long,13.5,7580.0,7579.5,7582.25,7573.75,8.5,2884.0,0.6764705882352942,0,1
2019-05-22,-1.0,-1.0,loss,True,False,0,long,18.0,7450.0,7445.5,7452.25,7443.5,8.75,1595.0,0.22857142857142856,0,1
2019-05-23,-1.0,-1.0,loss,True,False,0,short,30.75,7322.5,7330.5,7337.75,7316.75,21.0,3349.0,0.6547619047619048,0,1
2019-06-04,1.3717,1.3717,win,True,False,0,long,26.75,7039.75,7039.5,7048.25,7032.5,15.75,3796.0,0.4444444444444444,0,1
2019-06-05,-1.0,-1.0,loss,True,False,0,short,36.5,7211.75,7199.75,7223.0,7194.0,29.0,5485.0,0.19827586206896552,1,1
2019-06-06,-1.0,-1.0,loss,True,False,0,short,15.75,7211.75,7219.75,7224.0,7210.75,13.25,1953.0,0.6792452830188679,0,1
2019-06-07,1.2783,1.2783,win,True,False,0,long,14.75,7372.75,7380.0,7382.25,7372.0,10.25,2608.0,0.7804878048780488,1,1
2019-06-10,1.3683,1.3683,win,True,False,0,long,26.0,7512.0,7512.0,7515.25,7505.5,9.75,2455.0,0.6666666666666666,0,1
2019-06-18,-1.0,-1.0,loss,True,False,0,long,20.75,7693.5,7706.5,7711.75,7691.0,20.75,2938.0,0.7469879518072289,0,1
2019-06-19,-1.0,-1.0,loss,True,False,0,short,11.25,7660.25,7660.25,7663.0,7652.5,10.5,1757.0,0.7380952380952381,0,1
2019-06-21,1.2939,1.2939,win,True,False,0,long,16.0,7754.75,7760.25,7764.25,7750.25,14.0,4408.0,0.7142857142857143,0,1
2019-06-25,1.3492,1.3492,win,True,False,0,short,22.5,7726.5,7720.25,7731.5,7719.5,12.0,2138.0,0.0625,1,1
2019-07-02,-1.0,-1.0,loss,True,False,0,long,13.0,7786.75,7795.5,7796.5,7785.0,11.5,2310.0,0.9130434782608695,1,1
2019-07-04,0.9122,0.9122,win,True,False,0,long,4.5,7898.75,7896.5,7898.75,7895.5,3.25,103.0,0.3076923076923077,0,1
2019-07-05,-1.0,-1.0,loss,True,False,0,short,20.5,7809.0,7814.5,7815.0,7805.5,9.5,2697.0,0.9473684210526315,0,1
2019-07-09,1.2968,1.2968,win,True,False,0,long,16.25,7797.75,7806.25,7812.0,7797.25,14.75,5249.0,0.6101694915254238,0,1
2019-07-11,-1.0,-1.0,loss,True,False,0,short,21.75,7946.5,7940.75,7954.25,7940.5,13.75,5746.0,0.01818181818181818,1,1
2019-07-16,1.2184,1.2184,win,True,False,0,short,11.25,7985.0,7979.25,7985.5,7978.25,7.25,2280.0,0.13793103448275862,1,1
2019-07-17,1.3124,1.3124,win,True,False,0,short,17.75,7957.25,7957.75,7959.75,7955.75,4.0,2847.0,0.5,0,1
2019-07-18,-1.0,-1.0,loss,True,False,0,long,19.5,7889.25,7884.75,7890.0,7880.0,10.0,4731.0,0.475,0,1
2019-07-19,1.358,1.358,win,True,False,0,short,24.0,7949.5,7953.5,7954.5,7947.75,6.75,3207.0,0.8518518518518519,0,1
