orb_label,rr_target,direction,signal,n_on_is,n_off_is,expr_on_is,expr_off_is,delta_is,winrate_on_is,winrate_off_is,welch_t,welch_p,n_on_oos,n_off_oos,expr_on_oos,expr_off_oos,delta_oos,same_sign_oos,role,bh_p,abs_delta_is,priority_rank
NYSE_OPEN,1.5,short,F2_NEAR_PDL_15__AND__F5_BELOW_PDL,40,779,0.49997500000000006,0.08499088575096277,0.4149841142490373,0.625,0.45057766367137353,2.1704709691803075,0.03550637932798406,2,38,0.22970000000000002,-0.03077894736842104,0.26047894736842103,True,TAKE,0.30772195417586184,0.4149841142490373,10384
US_DATA_1000,1.0,long,F5_BELOW_PDL,136,745,0.3258463235294118,-0.011164161073825502,0.3370104846032373,0.6911764705882353,0.5234899328859061,4.017600108163664,8.393468085646035e-05,8,27,-0.024262500000000006,-0.061744444444444394,0.03748194444444439,True,TAKE,0.008729206809071875,0.3370104846032373,10336
NYSE_OPEN,1.5,long,F3_NEAR_PIVOT_15,216,614,-0.10915416666666668,0.15164332247557002,-0.2607974891422367,0.37037037037037035,0.4788273615635179,-2.806230512105049,0.0052653147855927,4,24,-0.382675,0.3331,-0.715775,True,AVOID,0.0912654562836068,0.2607974891422367,10252
US_DATA_1000,1.0,long,F3_NEAR_PIVOT_50,618,263,-0.034404207119741105,0.21771711026615967,-0.25212131738590077,0.511326860841424,0.6387832699619772,-3.6937439015462066,0.0002449330827512183,19,16,-0.17712631578947366,0.0940125,-0.27113881578947363,True,AVOID,0.01156150517216029,0.25212131738590077,10251
US_DATA_1000,1.0,long,F2_NEAR_PDL_15__AND__F5_BELOW_PDL,41,840,0.3036853658536585,0.028031785714285724,0.2756535801393728,0.6829268292682927,0.5428571428571428,1.9068944117037478,0.0630172340017129,2,33,-0.024950000000000028,-0.05488787878787878,0.02993787878787875,True,TAKE,0.4223249543643279,0.2756535801393728,10234
US_DATA_1000,1.0,long,F3_NEAR_PIVOT_50__AND__F6_INSIDE_PDR,482,399,-0.061234024896265574,0.16419197994987467,-0.22542600484614023,0.495850622406639,0.6140350877192983,-3.5563683620108235,0.0003966595710056434,17,18,-0.08031764705882351,-0.02754444444444442,-0.05277320261437909,True,AVOID,0.01156150517216029,0.22542600484614023,10224
NYSE_OPEN,1.5,short,F2_NEAR_PDL_15__AND__F6_INSIDE_PDR,77,742,-0.1304012987012987,0.12971401617250675,-0.26011531487380546,0.36363636363636365,0.46900269541778977,-1.8673662028768954,0.06497306990220429,1,39,-1.0,0.007430769230769232,-1.0074307692307691,True,AVOID,0.4223249543643279,0.26011531487380546,10218
US_DATA_1000,1.5,short,F2_NEAR_PDL_15__AND__F5_BELOW_PDL,46,761,-0.12793260869565218,0.14063219448094613,-0.2685648031765983,0.3695652173913043,0.48226018396846254,-1.5279647022214293,0.13271404284841468,3,30,-1.0,0.05381666666666665,-1.0538166666666666,True,AVOID,0.6000982807058751,0.2685648031765983,10209
US_DATA_1000,1.5,short,F3_NEAR_PIVOT_50__AND__F5_BELOW_PDL,51,756,-0.12340980392156864,0.14210330687830686,-0.2655131107998755,0.37254901960784315,0.4828042328042328,-1.5888480019843516,0.11759189393502542,1,32,-1.0,-0.012046875000000012,-0.987953125,True,AVOID,0.5823598556782211,0.2655131107998755,10208
NYSE_OPEN,1.5,long,F3_NEAR_PIVOT_15__AND__F6_INSIDE_PDR,200,630,-0.08554999999999997,0.13752650793650795,-0.2230765079365079,0.38,0.473015873015873,-2.3314284070017806,0.020310649417644717,4,24,-0.382675,0.3331,-0.715775,True,AVOID,0.21408733993573303,0.2230765079365079,10202
