candidate_id,family,role,trigger_rule,parent_population,lane_id,selectable,n_is,date_start_is,date_end_is,parent_ev_is,modified_ev_is,delta_ev_is,parent_max_dd_is,modified_max_dd_is,delta_max_dd_is,parent_tail5_is,modified_tail5_is,delta_tail5_is,t_delta_is,p_delta_is,delta_sharpe_is,policy_sharpe_is,bh_k_declared,bh_q_family,bh_q_lane,bh_q_global,dsr,sr0,wfe_delta_proxy,era_stable,era_detail,year_outlier_share,year_outlier,action_count_total,action_count_is,action_rate_is,fire_rate_guard,n_2026,parent_ev_2026,modified_ev_2026,delta_ev_2026,verdict
same_dir_reentry__US_DATA_1000__rr1__wait2,same_direction_reentry_after_stop,execution,"After parent E2 full stop, wait 2 bars, then re-enter original direction on fresh ORB boundary touch; max one re-entry.",MNQ US_DATA_1000 O5 E2 CB1 RR1,US_DATA_1000_rr1,True,1718,2019-05-06,2025-12-31,0.08635977881257277,0.09527927823050057,0.008919499417927823,20.513200000000005,18.978800000000007,-1.534399999999998,-1.0,-2.0,-1.0,0.7186069792549449,0.47248088763282636,0.017337235605381432,0.09003391087620347,114,0.7054398400474479,0.515433695599447,0.5280668744131589,0.0,0.2190404789107936,0.38652050227484347,True,launch_2019:+0.0091/N=171; covid_2020_2022:+0.0190/N=774; transition_2023:-0.0334/N=257; recent_2024_2025:+0.0147/N=516,0.5595384926616939,2023:-8.57R,561,529,0.30791618160651923,True,86,0.0631546511627907,0.06576627906976742,0.0026116279069767394,KILL
same_dir_reentry__US_DATA_1000__rr1__wait5,same_direction_reentry_after_stop,execution,"After parent E2 full stop, wait 5 bars, then re-enter original direction on fresh ORB boundary touch; max one re-entry.",MNQ US_DATA_1000 O5 E2 CB1 RR1,US_DATA_1000_rr1,True,1718,2019-05-06,2025-12-31,0.08635977881257277,0.10322520372526192,0.01686542491268917,20.513200000000005,17.9242,-2.5890000000000057,-1.0,-2.0,-1.0,1.3644036288696133,0.1726193621064437,0.03291783667210622,0.09840074126975656,114,0.29129517355462375,0.23015914947525828,0.20934688595887854,6.2727600891321345e-15,0.2190404789107936,0.41523031977147873,True,launch_2019:+0.0199/N=171; covid_2020_2022:+0.0281/N=774; transition_2023:-0.0262/N=257; recent_2024_2025:+0.0204/N=516,0.42415133150185674,2020:+12.29R,559,528,0.3073341094295693,True,86,0.0631546511627907,0.0773941860465116,0.014239534883720926,KILL
same_dir_reentry__US_DATA_1000__rr1.5__wait0,same_direction_reentry_after_stop,execution,"After parent E2 full stop, wait 0 bars, then re-enter original direction on fresh ORB boundary touch; max one re-entry.",MNQ US_DATA_1000 O5 E2 CB1 RR1.5,US_DATA_1000_rr1.5,True,1718,2019-05-06,2025-12-31,0.09853771827706635,0.10595244470314319,0.007414726426076837,24.264699999999976,41.321799999999996,17.05710000000002,-1.0,-2.0,-1.0,0.443538527241686,0.6574321415030242,0.01070088681134958,0.07827996770055093,114,0.7717681661122459,0.6574321415030242,0.6939561493643033,0.0,0.2190404789107936,-0.05213539083366855,True,launch_2019:+0.0573/N=171; covid_2020_2022:+0.0266/N=774; transition_2023:-0.0349/N=257; recent_2024_2025:-0.0167/N=516,1.0804097813714328,2021:+13.76R,682,646,0.3760186263096624,True,86,0.031000000000000003,0.025767441860465104,-0.005232558139534882,KILL
same_dir_reentry__US_DATA_1000__rr1.5__wait2,same_direction_reentry_after_stop,execution,"After parent E2 full stop, wait 2 bars, then re-enter original direction on fresh ORB boundary touch; max one re-entry.",MNQ US_DATA_1000 O5 E2 CB1 RR1.5,US_DATA_1000_rr1.5,True,1718,2019-05-06,2025-12-31,0.09853771827706635,0.10926577415599537,0.01072805587892899,24.264699999999976,36.62950000000001,12.36480000000003,-1.0,-2.0,-1.0,0.6415340085969742,0.521261420427326,0.015477759856218376,0.08088215018419148,114,0.7054398400474479,0.5686488222843556,0.5713827108530305,0.0,0.2190404789107936,0.10784754864947356,True,launch_2019:+0.0573/N=171; covid_2020_2022:+0.0278/N=774; transition_2023:-0.0349/N=257; recent_2024_2025:-0.0076/N=516,0.8009853072031597,2021:+14.76R,681,645,0.37543655413271243,True,86,0.031000000000000003,0.05370465116279068,0.0227046511627907,KILL
same_dir_reentry__US_DATA_1000__rr1.5__wait5,same_direction_reentry_after_stop,execution,"After parent E2 full stop, wait 5 bars, then re-enter original direction on fresh ORB boundary touch; max one re-entry.",MNQ US_DATA_1000 O5 E2 CB1 RR1.5,US_DATA_1000_rr1.5,True,1718,2019-05-06,2025-12-31,0.09853771827706635,0.11374353899883587,0.015205820721769502,24.264699999999976,35.629500000000036,11.36480000000006,-1.0,-2.0,-1.0,0.9090771301903843,0.3634369979487371,0.02193255123393828,0.08441918707325378,114,0.5772234673303471,0.48458266393164945,0.41850320975915184,1.6653345369377348e-16,0.2190404789107936,0.22397638551214916,True,launch_2019:+0.0573/N=171; covid_2020_2022:+0.0335/N=774; transition_2023:-0.0259/N=257; recent_2024_2025:-0.0057/N=516,0.6552159732961766,2021:+17.12R,679,644,0.37485448195576254,True,86,0.031000000000000003,0.06533255813953487,0.03433255813953489,KILL
same_dir_reentry__US_DATA_1000__rr2__wait0,same_direction_reentry_after_stop,execution,"After parent E2 full stop, wait 0 bars, then re-enter original direction on fresh ORB boundary touch; max one re-entry.",MNQ US_DATA_1000 O5 E2 CB1 RR2,US_DATA_1000_rr2,True,1718,2019-05-06,2025-12-31,0.11104220023282885,0.10614365541327124,-0.004898544819557629,30.061800000000005,49.17460000000008,19.112800000000078,-1.0,-2.0,-1.0,-0.24647523382030023,0.8053438363465231,-0.00594650389294089,0.06658441009882654,114,0.8614952466517448,0.9050051075937522,0.8346290667591238,0.0,0.2190404789107936,-1.277397407679044,False,launch_2019:+0.0507/N=171; covid_2020_2022:+0.0122/N=774; transition_2023:-0.0717/N=257; recent_2024_2025:-0.0157/N=516,2.1910120370260344,2023:-18.44R,758,718,0.4179278230500582,True,86,0.05735813953488372,0.02497093023255815,-0.03238720930232559,KILL
same_dir_reentry__US_DATA_1000__rr2__wait2,same_direction_reentry_after_stop,execution,"After parent E2 full stop, wait 2 bars, then re-enter original direction on fresh ORB boundary touch; max one re-entry.",MNQ US_DATA_1000 O5 E2 CB1 RR2,US_DATA_1000_rr2,True,1718,2019-05-06,2025-12-31,0.11104220023282885,0.11007933643771826,-0.0009628637951105986,30.061800000000005,43.4131000000001,13.351300000000094,-1.0,-2.0,-1.0,-0.04836211224470897,0.9614332785813204,-0.0011667926398790985,0.06913976091126939,114,0.9614332785813204,0.9614332785813205,0.9614332785813204,0.0,0.2190404789107936,-0.8728200596518528,False,launch_2019:+0.0507/N=171; covid_2020_2022:+0.0135/N=774; transition_2023:-0.0717/N=257; recent_2024_2025:-0.0046/N=516,11.14671744649981,2023:-18.44R,757,717,0.41734575087310827,True,86,0.05735813953488372,0.05849534883720932,0.001137209302325584,KILL
same_dir_reentry__US_DATA_1000__rr2__wait5,same_direction_reentry_after_stop,execution,"After parent E2 full stop, wait 5 bars, then re-enter original direction on fresh ORB boundary touch; max one re-entry.",MNQ US_DATA_1000 O5 E2 CB1 RR2,US_DATA_1000_rr2,True,1718,2019-05-06,2025-12-31,0.11104220023282885,0.1153362048894063,0.004294004656577413,30.061800000000005,42.4131000000001,12.351300000000094,-1.0,-2.0,-1.0,0.21526277605299982,0.8295880152942728,0.005193466767284583,0.07257146378604401,114,0.8614952466517448,0.9050051075937522,0.8520093130049289,0.0,0.2190404789107936,-0.44540413294133296,False,launch_2019:+0.0507/N=171; covid_2020_2022:+0.0203/N=774; transition_2023:-0.0609/N=257; recent_2024_2025:-0.0026/N=516,2.123327594854346,2023:-15.66R,755,716,0.4167636786961583,True,86,0.05735813953488372,0.07012325581395347,0.012765116279069766,KILL
same_dir_reentry__CME_PRECLOSE__rr1__wait0,same_direction_reentry_after_stop,execution,"After parent E2 full stop, wait 0 bars, then re-enter original direction on fresh ORB boundary touch; max one re-entry.",MNQ CME_PRECLOSE O5 E2 CB1 RR1,CME_PRECLOSE_rr1,True,1643,2019-05-06,2025-12-31,0.07603956177723675,0.0487548995739501,-0.027284662203286673,31.66929999999999,53.56269999999994,21.893399999999954,-1.0,-2.0,-1.0,-2.868702214859728,0.004174287849935159,-0.07077285034988384,0.050036102835935896,114,0.034622992910153826,0.006812872704530364,0.006518750888939838,0.0,0.2190404789107936,,False,launch_2019:-0.1312/N=164; covid_2020_2022:-0.0241/N=741; transition_2023:-0.0346/N=245; recent_2024_2025:+0.0062/N=493,0.47995145966757913,2019:-21.52R,369,342,0.20815581253804016,True,83,-0.060809638554216894,-0.08164096385542172,-0.020831325301204823,KILL
same_dir_reentry__CME_PRECLOSE__rr1__wait2,same_direction_reentry_after_stop,execution,"After parent E2 full stop, wait 2 bars, then re-enter original direction on fresh ORB boundary touch; max one re-entry.",MNQ CME_PRECLOSE O5 E2 CB1 RR1,CME_PRECLOSE_rr1,True,1643,2019-05-06,2025-12-31,0.07603956177723675,0.0703700547778454,-0.005669506999391358,31.66929999999999,43.70219999999995,12.032899999999959,-1.0,-2.0,-1.0,-0.6161153709952107,0.5379037757997798,-0.015199988595483882,0.0744502780432113,114,0.7054398400474479,0.5379037757997798,0.5840098137254751,0.0,0.2190404789107936,,False,launch_2019:-0.0795/N=164; covid_2020_2022:-0.0078/N=741; transition_2023:-0.0162/N=245; recent_2024_2025:+0.0274/N=493,1.3991304347826086,2019:-13.03R,360,333,0.20267802799756543,True,83,-0.060809638554216894,-0.11966987951807227,-0.05886024096385542,KILL
