trading_day,split,context_state,context_pass,touched_long_stop,entry_ts,pnl_r,outcome
2020-01-02,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-01-03 04:47:00+10:00,0.38,win
2020-01-07,IS,TAKE_CLEAR_OF_CONGESTION,True,False,,,
2020-01-08,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-01-09 04:36:00+10:00,-1.0,loss
2020-01-09,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-01-10 04:42:00+10:00,0.4113,win
2020-01-13,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-01-14 05:07:00+10:00,0.4886,win
2020-01-22,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-01-23 04:35:00+10:00,-1.0,loss
2020-01-27,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-01-28 04:36:00+10:00,-1.0,loss
2020-01-29,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-01-30 04:49:00+10:00,-1.0,loss
2020-02-04,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-02-05 04:35:00+10:00,0.6548,win
2020-02-11,IS,TAKE_CLEAR_OF_CONGESTION,True,False,,,
2020-02-19,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-02-20 04:45:00+10:00,-1.0,loss
2020-02-20,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-02-21 05:04:00+10:00,0.787,win
2020-02-21,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-02-22 06:54:00+10:00,-1.0,loss
2020-02-24,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-02-25 04:36:00+10:00,-1.0,loss
2020-02-25,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-02-26 04:46:00+10:00,-1.0,loss
2020-02-27,IS,TAKE_CLEAR_OF_CONGESTION,True,False,,,
2020-03-02,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-03-03 04:35:00+10:00,0.9017,win
2020-03-06,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-03-07 06:45:00+10:00,0.9159,win
2020-03-09,IS,TAKE_CLEAR_OF_CONGESTION,True,False,,,
2020-03-12,IS,TAKE_CLEAR_OF_CONGESTION,True,False,,,
2020-03-16,IS,TAKE_CLEAR_OF_CONGESTION,True,True,2020-03-17 04:34:00+10:00,0.9416,win
