orb_label,rr_target,direction,family,members,n_on_is,n_off_is,expr_on_is,expr_off_is,delta_is,welch_t,welch_p,n_on_oos,n_off_oos,expr_on_oos,expr_off_oos,delta_oos,same_sign_oos,role,bh_p,abs_delta_is
US_DATA_1000,1.0,long,TAKE_DOWNSIDE_DISPLACEMENT,F2_NEAR_PDL_15 OR F5_BELOW_PDL,205,676,0.2319668292682927,-0.01709378698224852,0.2490606162505412,3.3741648082767535,0.0008246270882186296,10,25,0.17453000000000002,-0.14425999999999997,0.31879,True,TAKE,0.00402725399109446,0.2490606162505412
US_DATA_1000,1.0,long,AVOID_CONGESTION,F3_NEAR_PIVOT_50 OR F6_INSIDE_PDR,649,232,-0.02157734976887519,0.2155237068965517,-0.23710105666542688,-3.345685881329818,0.0008949453313543244,22,13,-0.20052727272727272,0.1961846153846154,-0.3967118881118881,True,AVOID,0.00402725399109446,0.23710105666542688
NYSE_OPEN,1.5,long,TAKE_OVERHEAD_BREAK,F1_NEAR_PDH_15 OR F4_ABOVE_PDH,320,510,0.17053374999999998,0.02933509803921569,0.1411986519607843,1.6546970554672857,0.0984485316103491,7,21,0.7529714285714286,0.05680476190476188,0.6961666666666667,True,TAKE,0.29534559483104733,0.1411986519607843
NYSE_OPEN,1.5,long,AVOID_CONGESTION,F3_NEAR_PIVOT_50 OR F6_INSIDE_PDR,633,197,0.05199684044233808,0.1858766497461929,-0.13387980930385482,-1.3622677551118418,0.17405926531842625,21,7,0.05526666666666665,0.7575857142857144,-0.7023190476190477,True,AVOID,0.3515212202211926,0.13387980930385482
US_DATA_1000,1.0,long,TAKE_OVERHEAD_BREAK,F1_NEAR_PDH_15 OR F4_ABOVE_PDH,329,552,0.08518145896656534,0.014444021739130437,0.0707374372274349,1.0810222125366689,0.28005857991664346,9,26,0.28938888888888886,-0.1717576923076923,0.46114658119658114,True,TAKE,0.36007531703568446,0.0707374372274349
CME_PRECLOSE,1.0,long,TAKE_DOWNSIDE_DISPLACEMENT,F2_NEAR_PDL_15 OR F5_BELOW_PDL,221,522,0.07388371040723983,0.16066858237547893,-0.0867848719682391,-1.1910407969036942,0.2343474801474617,6,25,0.26071666666666665,-0.020371999999999967,0.2810886666666666,False,AVOID,0.3515212202211926,0.0867848719682391
CME_PRECLOSE,1.0,long,TAKE_OVERHEAD_BREAK,F1_NEAR_PDH_15 OR F4_ABOVE_PDH,326,417,0.18099263803680982,0.09878585131894486,0.08220678671786495,1.255175739524793,0.2098259896047638,15,16,-0.37704000000000004,0.41941249999999997,-0.7964525,False,TAKE,0.3515212202211926,0.08220678671786495
NYSE_OPEN,1.5,long,TAKE_DOWNSIDE_DISPLACEMENT,F2_NEAR_PDL_15 OR F5_BELOW_PDL,184,646,0.056078804347826076,0.09166130030959753,-0.03558249596177145,-0.35333673926882686,0.7240900080255879,5,23,0.48213999999999996,0.17621739130434783,0.30592260869565213,False,AVOID,0.764473052321933,0.03558249596177145
CME_PRECLOSE,1.0,long,AVOID_CONGESTION,F3_NEAR_PIVOT_50 OR F6_INSIDE_PDR,421,322,0.12626959619952494,0.1460801242236025,-0.019810528024077567,-0.2997305224325924,0.764473052321933,21,10,0.07877142857142859,-0.05992000000000004,0.13869142857142863,False,AVOID,0.764473052321933,0.019810528024077567
