sample,n_universe,n_fired,fire_rate,expr,policy_ev,sharpe,t,p_two_sided,long_n,long_expr,long_t,short_n,short_expr,short_t,max_IS_trading_day,min_OOS_trading_day,holdout_boundary_value,holdout_boundary_proof
IS,1001,286,0.2857142857142857,0.07342482517482517,0.020978521478521476,0.15077975866905471,2.549917094446276,0.010774853852287847,128,0.14729609375,3.3458808019750657,158,0.013579746835443033,0.36248199993660457,2025-12-31,2026-01-02,2026-01-01,True
OOS,53,17,0.32075471698113206,-0.02170588235294116,-0.006962264150943392,-0.03861647363394095,-0.15921979968161798,0.8734957049589833,7,0.11094285714285713,0.5119003718382185,10,-0.11456,-0.6411965736985703,2025-12-31,2026-01-02,2026-01-01,True
