sample,n_universe,n_fired,fire_rate,expr,policy_ev,sharpe,t,p_two_sided,long_n,long_expr,long_t,short_n,short_expr,short_t,max_IS_trading_day,min_OOS_trading_day,holdout_boundary_value,holdout_boundary_proof
IS,1540,1539,0.9993506493506493,0.08739077322936972,0.08733402597402598,0.07528201892333555,2.9533204147728274,0.0031437546707653594,818,0.1314531784841076,3.2270012748912835,721,0.037400416088765605,0.8696238523603168,2025-12-31,2026-01-02,2026-01-01,True
OOS,86,86,1.0,0.15141627906976743,0.15141627906976743,0.12475297155482773,1.1569114643788998,0.24730853433760056,47,0.07906382978723404,0.44651414315687055,39,0.2386102564102564,1.2178753526972321,2025-12-31,2026-01-02,2026-01-01,True
