instrument,session,orb_minutes,n_e_aligned,n_e_opposed,n_c_aligned,n_c_opposed,delta_e,delta_c,interaction,welch_t,welch_p_oneside,welch_df,powered,note
MES,SINGAPORE_OPEN,30,176,173,202,190,0.040986,0.005590,0.035396,0.221629,0.412333,718.422416,True,
MES,LONDON_METALS,5,174,184,184,217,-0.020578,-0.036017,0.015439,0.101492,0.459594,724.711242,True,
MES,LONDON_METALS,15,173,185,194,201,0.023414,-0.064167,0.087581,0.547508,0.292099,727.147896,True,
MES,LONDON_METALS,30,183,166,192,195,0.165483,0.117141,0.048342,0.291876,0.385234,706.479421,True,
MES,EUROPE_FLOW,5,179,180,192,206,0.092525,-0.106365,0.198891,1.361194,0.086938,723.407415,True,
MES,EUROPE_FLOW,15,182,177,183,215,0.137792,-0.150417,0.288210,1.859349,0.031691,725.491787,True,
MES,EUROPE_FLOW,30,181,177,179,215,0.113453,-0.084400,0.197853,1.227091,0.110093,725.672023,True,
MES,US_DATA_830,5,153,193,187,200,0.173833,0.064492,0.109341,0.704030,0.240828,679.540865,True,
MES,US_DATA_830,15,160,183,193,187,0.027149,0.201403,-0.174254,-1.069591,0.857413,694.529185,True,
MES,US_DATA_830,30,165,170,180,188,-0.041244,0.333443,-0.374687,-2.255484,0.987790,681.405555,True,
MES,NYSE_OPEN,5,179,185,222,194,-0.267792,0.092068,-0.359860,-2.218012,0.986574,753.541365,True,
MES,NYSE_OPEN,15,164,165,186,190,-0.039335,0.144774,-0.184109,-1.043833,0.851534,683.196933,True,
MES,NYSE_OPEN,30,138,126,156,152,-0.172347,0.022169,-0.194516,-0.984088,0.837245,544.925024,True,
MES,US_DATA_1000,5,181,188,199,214,0.078348,0.138284,-0.059936,-0.375367,0.646253,752.148528,True,
MES,US_DATA_1000,15,187,159,193,195,0.204059,0.100412,0.103646,0.604403,0.272886,702.928056,True,
MES,US_DATA_1000,30,143,141,165,165,0.126776,0.229596,-0.102820,-0.541750,0.705902,591.300102,True,
MES,COMEX_SETTLE,5,170,187,182,222,0.055969,0.055261,0.000708,0.004626,0.498155,719.972302,True,
MES,COMEX_SETTLE,15,167,163,192,182,0.111598,0.066502,0.045096,0.271743,0.392951,681.893249,True,
MES,COMEX_SETTLE,30,152,129,160,162,0.159668,0.000522,0.159147,0.866975,0.193159,574.357641,True,
MES,CME_PRECLOSE,5,115,143,145,165,0.133496,-0.009182,0.142678,0.786790,0.215887,503.760167,True,
MES,CME_PRECLOSE,15,15,12,10,18,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=10 < 30)
MES,CME_PRECLOSE,30,4,4,1,6,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=1 < 30)
MES,NYSE_CLOSE,5,67,63,73,73,0.029206,0.084648,-0.055441,-0.219455,0.586768,264.997145,True,
MES,NYSE_CLOSE,15,30,18,35,20,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=18 < 30)
MES,NYSE_CLOSE,30,18,10,21,17,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=10 < 30)
MES,BRISBANE_1025,5,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MES,BRISBANE_1025,15,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MES,BRISBANE_1025,30,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MGC,CME_REOPEN,5,16,12,14,15,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=12 < 30)
MGC,CME_REOPEN,15,7,5,1,5,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=1 < 30)
MGC,CME_REOPEN,30,2,2,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MGC,TOKYO_OPEN,5,87,77,88,96,0.148687,-0.046050,0.194737,0.950353,0.171315,329.743179,True,
MGC,TOKYO_OPEN,15,97,66,88,94,0.029498,0.043794,-0.014296,-0.064562,0.525718,303.966154,True,
MGC,TOKYO_OPEN,30,85,77,88,92,-0.318952,-0.015820,-0.303132,-1.329836,0.907748,325.454431,True,
MGC,SINGAPORE_OPEN,5,82,89,71,110,-0.049359,0.135498,-0.184857,-0.826689,0.795480,314.198558,True,
MGC,SINGAPORE_OPEN,15,88,82,89,89,-0.210293,-0.240916,0.030623,0.132869,0.447188,337.899498,True,
MGC,SINGAPORE_OPEN,30,81,82,78,97,-0.087004,-0.202164,0.115159,0.480554,0.315579,324.007564,True,
MGC,LONDON_METALS,5,92,76,95,87,-0.094095,-0.089824,-0.004271,-0.019727,0.507863,327.857989,True,
MGC,LONDON_METALS,15,91,77,86,95,-0.001344,-0.172039,0.170695,0.729351,0.233150,332.909114,True,
MGC,LONDON_METALS,30,80,86,85,95,0.392095,-0.048672,0.440767,1.835773,0.033640,334.287854,True,
MGC,EUROPE_FLOW,5,74,91,93,92,0.049796,-0.058600,0.108396,0.517403,0.302612,326.546403,True,
MGC,EUROPE_FLOW,15,85,79,87,97,-0.190186,0.071927,-0.262112,-1.151471,0.874815,331.129047,True,
MGC,EUROPE_FLOW,30,78,83,88,95,-0.018094,-0.119163,0.101069,0.423079,0.336256,331.324595,True,
MGC,US_DATA_830,5,68,84,78,95,0.231788,-0.011132,0.242919,1.008117,0.157109,297.114812,True,
MGC,US_DATA_830,15,72,72,69,94,0.076142,0.350151,-0.274010,-1.059680,0.854905,284.509922,True,
MGC,US_DATA_830,30,67,60,60,77,-0.172401,0.141743,-0.314144,-1.103622,0.864583,246.527955,True,
MGC,NYSE_OPEN,5,88,76,95,92,-0.071151,0.295553,-0.366704,-1.578503,0.942300,333.020218,True,
MGC,NYSE_OPEN,15,78,60,86,69,0.263669,0.203029,0.060640,0.228662,0.409652,271.147078,True,
MGC,NYSE_OPEN,30,64,41,55,55,0.187968,0.411707,-0.223740,-0.705275,0.759250,190.616240,True,
MGC,US_DATA_1000,5,76,79,87,83,0.081226,0.200622,-0.119396,-0.492768,0.688740,314.623556,True,
MGC,US_DATA_1000,15,61,61,63,65,-0.084059,0.276503,-0.360562,-1.267751,0.896946,241.669368,True,
MGC,US_DATA_1000,30,38,47,39,46,-0.309947,0.064280,-0.374227,-1.091768,0.861720,161.570302,True,
MGC,COMEX_SETTLE,5,72,84,86,90,-0.273159,-0.227463,-0.045695,-0.218211,0.586295,308.968483,True,
MGC,COMEX_SETTLE,15,60,67,67,67,-0.267992,-0.327031,0.059039,0.238094,0.406003,246.372603,True,
MGC,COMEX_SETTLE,30,54,41,41,50,-0.081463,-0.308157,0.226693,0.757424,0.224928,168.143906,True,
MGC,CME_PRECLOSE,5,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MGC,CME_PRECLOSE,15,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MGC,CME_PRECLOSE,30,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MGC,NYSE_CLOSE,5,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MGC,NYSE_CLOSE,15,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MGC,NYSE_CLOSE,30,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MGC,BRISBANE_1025,5,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MGC,BRISBANE_1025,15,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
MGC,BRISBANE_1025,30,0,0,0,0,nan,nan,nan,nan,nan,nan,False,underpowered (min sub-cell N=0 < 30)
