cell_id,orb_minutes,rr_target,split,n_is_on,expr_is,sharpe_is,t_is,p_one_sided,bh_q,bh_reject,n_oos_on,expr_oos,dir_match_oos,oos_power,oos_power_tier,n_est_is,n_edt_is,dst_balance_verdict,pass_chordia_strict,verdict_label,verdict_reason
O15_RR2.0_non_nfp_days,15,2.0,non_nfp_days,1599,-0.0091,-0.0068,-0.272,0.392881,0.433943,False,81,-0.0033,True,0.050,STATISTICALLY_USELESS,530,1069,BALANCED,False,FAIL_CHORDIA_STRICT,t_IS=-0.272<3.79; ExpR_IS=-0.0091<=0; BH q=0.4339>=0.05
O30_RR1.0_all_days,30,1.0,all_days,1674,0.1034,0.1108,4.534,0.000003,0.000042,True,84,-0.0635,False,0.171,STATISTICALLY_USELESS,556,1118,BALANCED,True,CONDITIONAL_OOS_UNDERPOWERED,IS clears strict gate; OOS dir_match=False at tier=STATISTICALLY_USELESS (power=0.17); RULE 3.3 forbids hard kill
O30_RR1.0_nfp_days_only,30,1.0,nfp_days_only,74,0.3198,0.3577,3.077,0.001473,0.004971,True,3,-1.0000,False,0.068,STATISTICALLY_USELESS,26,48,EST_THIN,False,UNVERIFIED_DST_IMBALANCE,EST_THIN: N_EST=26 N_EDT=48 (floor 30)
O30_RR1.0_non_nfp_days,30,1.0,non_nfp_days,1600,0.0934,0.1000,4.001,0.000033,0.000178,True,81,-0.0288,False,0.144,STATISTICALLY_USELESS,530,1070,BALANCED,True,CONDITIONAL_OOS_UNDERPOWERED,IS clears strict gate; OOS dir_match=False at tier=STATISTICALLY_USELESS (power=0.14); RULE 3.3 forbids hard kill
O30_RR1.5_all_days,30,1.5,all_days,1674,0.1339,0.1136,4.649,0.000002,0.000042,True,84,-0.1384,False,0.177,STATISTICALLY_USELESS,556,1118,BALANCED,True,CONDITIONAL_OOS_UNDERPOWERED,IS clears strict gate; OOS dir_match=False at tier=STATISTICALLY_USELESS (power=0.18); RULE 3.3 forbids hard kill
O30_RR1.5_nfp_days_only,30,1.5,nfp_days_only,74,0.4488,0.3816,3.283,0.000790,0.003046,True,3,-1.0000,False,0.070,STATISTICALLY_USELESS,26,48,EST_THIN,False,UNVERIFIED_DST_IMBALANCE,EST_THIN: N_EST=26 N_EDT=48 (floor 30)
O30_RR1.5_non_nfp_days,30,1.5,non_nfp_days,1600,0.1194,0.1014,4.057,0.000026,0.000176,True,81,-0.1065,False,0.147,STATISTICALLY_USELESS,530,1070,BALANCED,True,CONDITIONAL_OOS_UNDERPOWERED,IS clears strict gate; OOS dir_match=False at tier=STATISTICALLY_USELESS (power=0.15); RULE 3.3 forbids hard kill
O30_RR2.0_all_days,30,2.0,all_days,1674,0.1488,0.1076,4.401,0.000006,0.000052,True,84,-0.1088,False,0.164,STATISTICALLY_USELESS,556,1118,BALANCED,True,CONDITIONAL_OOS_UNDERPOWERED,IS clears strict gate; OOS dir_match=False at tier=STATISTICALLY_USELESS (power=0.16); RULE 3.3 forbids hard kill
O30_RR2.0_nfp_days_only,30,2.0,nfp_days_only,74,0.4755,0.3370,2.899,0.002470,0.007410,True,3,-1.0000,False,0.066,STATISTICALLY_USELESS,26,48,EST_THIN,False,UNVERIFIED_DST_IMBALANCE,EST_THIN: N_EST=26 N_EDT=48 (floor 30)
O30_RR2.0_non_nfp_days,30,2.0,non_nfp_days,1600,0.1337,0.0968,3.873,0.000056,0.000252,True,81,-0.0758,False,0.138,STATISTICALLY_USELESS,530,1070,BALANCED,True,CONDITIONAL_OOS_UNDERPOWERED,IS clears strict gate; OOS dir_match=False at tier=STATISTICALLY_USELESS (power=0.14); RULE 3.3 forbids hard kill
