rank,strategy_id,state,primary_blocker,next_action,instrument,session,orb_minutes,entry_model,rr_target,filter_type,confirm_bars,trailing_expr,trailing_n,annual_r_estimate,status,status_reason,chordia_verdict,chordia_audit_age_days,c8_oos_status,family,family_role,family_priority,active_in_profile
215,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_COST_LT10_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,SINGAPORE_OPEN,15,E2,2.0,COST_LT10,1,0.1142,217,22.9,DEPLOY,"Session HOT (+0.2253), ExpR=+0.1142, N=217",MISSING,,,UNSPECIFIED,unknown,5,False
216,MNQ_US_DATA_1000_E2_RR1.5_CB1_VWAP_MID_ALIGNED_O15_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,15,E2,1.5,VWAP_MID_ALIGNED,1,0.2073,119,22.8,DEPLOY,"Session HOT (+0.0615), ExpR=+0.2073, N=119",MISSING,,,UNSPECIFIED,unknown,5,False
217,MNQ_TOKYO_OPEN_E2_RR1.0_CB1_ATR_VEL_GE105_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,5,E2,1.0,ATR_VEL_GE105,1,0.2639,43,22.7,DEPLOY,"Session HOT (+0.0456), ExpR=+0.2639, N=43",MISSING,,,UNSPECIFIED,unknown,5,False
218,MNQ_COMEX_SETTLE_E2_RR1.5_CB1_X_MGC_ATR70,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.5,X_MGC_ATR70,1,0.1261,165,22.7,DEPLOY,"Session HOT (+0.0837), ExpR=+0.1261, N=165",MISSING,,,UNSPECIFIED,unknown,5,False
219,MNQ_SINGAPORE_OPEN_E2_RR1.0_CB1_ATR_P70_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,SINGAPORE_OPEN,30,E2,1.0,ATR_P70,1,0.148,89,22.6,DEPLOY,"Session HOT (+0.2253), ExpR=+0.1480, N=89",MISSING,,,UNSPECIFIED,unknown,5,False
220,MNQ_EUROPE_FLOW_E2_RR1.0_CB1_OVNRNG_100_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,EUROPE_FLOW,5,E2,1.0,OVNRNG_100,1,0.1436,170,22.5,DEPLOY,"Session HOT (+0.1892), ExpR=+0.1436, N=170",MISSING,,,UNSPECIFIED,unknown,5,False
221,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_G8_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,ORB_G8,1,0.0991,245,22.4,DEPLOY,"Session HOT (+0.0837), ExpR=+0.0991, N=245",MISSING,,,UNSPECIFIED,unknown,5,False
222,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ATR_P70_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,ATR_P70,1,0.1512,86,22.3,DEPLOY,"Session HOT (+0.0837), ExpR=+0.1512, N=86",MISSING,,,UNSPECIFIED,unknown,5,False
223,MNQ_TOKYO_OPEN_E2_RR1.0_CB1_COST_LT10_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,15,E2,1.0,COST_LT10,1,0.0975,248,22.3,DEPLOY,"Session HOT (+0.0456), ExpR=+0.0975, N=248",MISSING,,,UNSPECIFIED,unknown,5,False
224,MNQ_EUROPE_FLOW_E2_RR1.0_CB1_CROSS_SGP_MOMENTUM_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,EUROPE_FLOW,5,E2,1.0,CROSS_SGP_MOMENTUM,1,0.1515,158,22.1,DEPLOY,"Session HOT (+0.1892), ExpR=+0.1515, N=158",MISSING,,,UNSPECIFIED,unknown,5,False
225,MNQ_US_DATA_1000_E2_RR1.0_CB1_COST_LT08_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,COST_LT08,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",MISSING,,,UNSPECIFIED,unknown,5,False
226,MNQ_US_DATA_1000_E2_RR1.0_CB1_COST_LT10_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,COST_LT10,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",MISSING,,,UNSPECIFIED,unknown,5,False
227,MNQ_US_DATA_1000_E2_RR1.0_CB1_COST_LT12_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,COST_LT12,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",MISSING,,,UNSPECIFIED,unknown,5,False
228,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G4_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,ORB_G4,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",MISSING,,,UNSPECIFIED,unknown,5,False
229,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G6_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,ORB_G6,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",MISSING,,,UNSPECIFIED,unknown,5,False
230,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G8_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,ORB_G8,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",MISSING,,,UNSPECIFIED,unknown,5,False
231,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_4K_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,ORB_VOL_4K,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",MISSING,,,UNSPECIFIED,unknown,5,False
232,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_8K_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,ORB_VOL_8K,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",MISSING,,,UNSPECIFIED,unknown,5,False
233,MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_10_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,OVNRNG_10,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",MISSING,,,UNSPECIFIED,unknown,5,False
234,MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_25_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,OVNRNG_25,1,0.1219,196,22.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1219, N=196",MISSING,,,UNSPECIFIED,unknown,5,False
235,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT12_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,5,E2,1.5,COST_LT12,1,0.1042,230,22.1,DEPLOY,"Session HOT (+0.0456), ExpR=+0.1042, N=230",MISSING,,,UNSPECIFIED,unknown,5,False
236,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ATR_P70,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,ATR_P70,1,0.1489,86,22.0,DEPLOY,"Session HOT (+0.0837), ExpR=+0.1489, N=86",MISSING,,,UNSPECIFIED,unknown,5,False
237,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_VOL_4K,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,ORB_VOL_4K,1,0.0977,244,22.0,DEPLOY,"Session HOT (+0.0837), ExpR=+0.0977, N=244",MISSING,,,UNSPECIFIED,unknown,5,False
238,MNQ_NYSE_OPEN_E2_RR1.0_CB1_ORB_G4_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,5,E2,1.0,ORB_G4,1,0.0928,257,22.0,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0928, N=257",MISSING,,,UNSPECIFIED,unknown,5,False
239,MNQ_NYSE_OPEN_E2_RR1.0_CB1_ORB_G5_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,5,E2,1.0,ORB_G5,1,0.0928,257,22.0,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0928, N=257",MISSING,,,UNSPECIFIED,unknown,5,False
240,MNQ_NYSE_OPEN_E2_RR1.0_CB1_OVNRNG_25_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,5,E2,1.0,OVNRNG_25,1,0.0928,257,22.0,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0928, N=257",MISSING,,,UNSPECIFIED,unknown,5,False
241,MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_50_O30_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,OVNRNG_50,1,0.1257,188,21.8,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1257, N=188",MISSING,,,UNSPECIFIED,unknown,5,False
242,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_COST_LT10_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,5,E2,1.5,COST_LT10,1,0.1178,199,21.6,DEPLOY,"Session HOT (+0.0456), ExpR=+0.1178, N=199",MISSING,,,UNSPECIFIED,unknown,5,False
243,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_DIR_LONG_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,SINGAPORE_OPEN,30,E2,2.0,DIR_LONG,1,0.1614,144,21.5,DEPLOY,"Session HOT (+0.2253), ExpR=+0.1614, N=144",MISSING,,,UNSPECIFIED,unknown,5,False
244,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_COST_LT08,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,COST_LT08,1,0.1348,173,21.5,DEPLOY,"Session HOT (+0.0837), ExpR=+0.1348, N=173",MISSING,,,UNSPECIFIED,unknown,5,False
245,MNQ_NYSE_OPEN_E2_RR1.0_CB1_OVNRNG_50_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,15,E2,1.0,OVNRNG_50,1,0.1079,215,21.4,DEPLOY,"Session HOT (+0.0916), ExpR=+0.1079, N=215",MISSING,,,UNSPECIFIED,unknown,5,False
246,MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_50_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,15,E2,1.0,OVNRNG_50,1,0.1023,227,21.4,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1023, N=227",MISSING,,,UNSPECIFIED,unknown,5,False
247,MNQ_COMEX_SETTLE_E2_RR2.0_CB1_COST_LT10,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,2.0,COST_LT10,1,0.1129,204,21.3,DEPLOY,"Session HOT (+0.0837), ExpR=+0.1129, N=204",MISSING,,,UNSPECIFIED,unknown,5,False
248,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_COST_LT15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,COST_LT15,1,0.0941,245,21.3,DEPLOY,"Session HOT (+0.0837), ExpR=+0.0941, N=245",MISSING,,,UNSPECIFIED,unknown,5,False
249,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ORB_G8,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,ORB_G8,1,0.0941,245,21.3,DEPLOY,"Session HOT (+0.0837), ExpR=+0.0941, N=245",MISSING,,,UNSPECIFIED,unknown,5,False
250,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_OVNRNG_50,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,OVNRNG_50,1,0.095,241,21.1,DEPLOY,"Session HOT (+0.0837), ExpR=+0.0950, N=241",MISSING,,,UNSPECIFIED,unknown,5,False
251,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_ORB_G8_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,SINGAPORE_OPEN,15,E2,2.0,ORB_G8,1,0.0903,253,21.1,DEPLOY,"Session HOT (+0.2253), ExpR=+0.0903, N=253",MISSING,,,UNSPECIFIED,unknown,5,False
252,MNQ_US_DATA_1000_E1_RR1.0_CB3_VWAP_MID_ALIGNED_O15_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,15,E1,1.0,VWAP_MID_ALIGNED,3,0.2053,111,21.0,DEPLOY,"Session HOT (+0.0615), ExpR=+0.2053, N=111",MISSING,,,UNSPECIFIED,unknown,5,False
253,MNQ_NYSE_OPEN_E2_RR1.0_CB1_ATR_P70,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,5,E2,1.0,ATR_P70,1,0.1392,88,21.0,DEPLOY,"Session HOT (+0.0916), ExpR=+0.1392, N=88",MISSING,,,UNSPECIFIED,unknown,5,False
254,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_ATR_P70_O30_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,SINGAPORE_OPEN,30,E2,2.0,ATR_P70,1,0.1374,89,21.0,DEPLOY,"Session HOT (+0.2253), ExpR=+0.1374, N=89",MISSING,,,UNSPECIFIED,unknown,5,False
255,MNQ_CME_PRECLOSE_E2_RR2.0_CB1_ATR_P70_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,2.0,ATR_P70,1,0.1844,66,20.9,DEPLOY,"Session HOT (+0.0100), ExpR=+0.1844, N=66",MISSING,,,UNSPECIFIED,unknown,5,False
256,MNQ_CME_PRECLOSE_E2_RR1.0_CB1_X_MGC_ATR70_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.0,X_MGC_ATR70,1,0.1231,156,20.9,DEPLOY,"Session HOT (+0.0100), ExpR=+0.1231, N=156",MISSING,,,UNSPECIFIED,unknown,5,False
257,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P70_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,SINGAPORE_OPEN,30,E2,1.5,ATR_P70,1,0.1352,89,20.6,DEPLOY,"Session HOT (+0.2253), ExpR=+0.1352, N=89",MISSING,,,UNSPECIFIED,unknown,5,False
258,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_ATR_P70_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.5,ATR_P70,1,0.1683,71,20.5,DEPLOY,"Session HOT (+0.0100), ExpR=+0.1683, N=71",MISSING,,,UNSPECIFIED,unknown,5,False
259,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_ATR_P30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,ATR_P30,1,0.1134,166,20.5,DEPLOY,"Session HOT (+0.0837), ExpR=+0.1134, N=166",MISSING,,,UNSPECIFIED,unknown,5,False
260,MNQ_CME_PRECLOSE_E2_RR1.0_CB1_ATR_P30_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.0,ATR_P30,1,0.119,155,20.1,DEPLOY,"Session HOT (+0.0100), ExpR=+0.1190, N=155",MISSING,,,UNSPECIFIED,unknown,5,False
261,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_16K,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,ORB_VOL_16K,1,0.0939,232,20.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0939, N=232",MISSING,,,UNSPECIFIED,unknown,5,False
262,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_COST_LT15_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,SINGAPORE_OPEN,15,E2,2.0,COST_LT15,1,0.0873,249,20.1,DEPLOY,"Session HOT (+0.2253), ExpR=+0.0873, N=249",MISSING,,,UNSPECIFIED,unknown,5,False
263,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_PDR_R080,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,EUROPE_FLOW,5,E2,1.5,PDR_R080,1,0.141,154,20.0,DEPLOY,"Session HOT (+0.1892), ExpR=+0.1410, N=154",MISSING,,,UNSPECIFIED,unknown,5,False
264,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_COST_LT10_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,5,E2,1.0,COST_LT10,1,0.102,212,20.0,DEPLOY,"Session HOT (+0.0837), ExpR=+0.1020, N=212",MISSING,,,UNSPECIFIED,unknown,5,False
265,MNQ_EUROPE_FLOW_E2_RR2.0_CB1_COST_LT08_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,EUROPE_FLOW,5,E2,2.0,COST_LT08,1,0.1466,147,19.9,DEPLOY,"Session HOT (+0.1892), ExpR=+0.1466, N=147",MISSING,,,UNSPECIFIED,unknown,5,False
266,MNQ_US_DATA_1000_E2_RR1.5_CB1_COST_LT12,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.5,COST_LT12,1,0.0862,249,19.8,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0862, N=249",MISSING,,,UNSPECIFIED,unknown,5,False
267,MNQ_US_DATA_1000_E2_RR1.5_CB1_ORB_G4,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.5,ORB_G4,1,0.0855,251,19.8,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0855, N=251",MISSING,,,UNSPECIFIED,unknown,5,False
268,MNQ_US_DATA_1000_E2_RR1.5_CB1_ORB_G5,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.5,ORB_G5,1,0.0855,251,19.8,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0855, N=251",MISSING,,,UNSPECIFIED,unknown,5,False
269,MNQ_US_DATA_1000_E2_RR1.5_CB1_OVNRNG_10,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.5,OVNRNG_10,1,0.0855,251,19.8,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0855, N=251",MISSING,,,UNSPECIFIED,unknown,5,False
270,MNQ_US_DATA_1000_E2_RR1.5_CB1_OVNRNG_25,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.5,OVNRNG_25,1,0.0855,251,19.8,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0855, N=251",MISSING,,,UNSPECIFIED,unknown,5,False
271,MNQ_US_DATA_1000_E2_RR1.5_CB1_ORB_VOL_4K,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.5,ORB_VOL_4K,1,0.0858,247,19.6,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0858, N=247",MISSING,,,UNSPECIFIED,unknown,5,False
272,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_ATR_P30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,5,E2,1.5,ATR_P30,1,0.1027,174,19.5,DEPLOY,"Session HOT (+0.0456), ExpR=+0.1027, N=174",MISSING,,,UNSPECIFIED,unknown,5,False
273,MNQ_NYSE_OPEN_E2_RR1.0_CB1_OVNRNG_50,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,5,E2,1.0,OVNRNG_50,1,0.0853,247,19.4,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0853, N=247",MISSING,,,UNSPECIFIED,unknown,5,False
274,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_ORB_G6_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,5,E2,1.5,ORB_G6,1,0.0813,259,19.4,DEPLOY,"Session HOT (+0.0456), ExpR=+0.0813, N=259",MISSING,,,UNSPECIFIED,unknown,5,False
275,MNQ_TOKYO_OPEN_E2_RR1.0_CB1_COST_LT10_O15_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,15,E2,1.0,COST_LT10,1,0.0842,248,19.3,DEPLOY,"Session HOT (+0.0456), ExpR=+0.0842, N=248",MISSING,,,UNSPECIFIED,unknown,5,False
276,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_X_MES_ATR70_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.5,X_MES_ATR70,1,0.1627,69,19.2,DEPLOY,"Session HOT (+0.0100), ExpR=+0.1627, N=69",MISSING,,,UNSPECIFIED,unknown,5,False
277,MNQ_EUROPE_FLOW_E2_RR2.0_CB1_PDR_R080,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,EUROPE_FLOW,5,E2,2.0,PDR_R080,1,0.1351,154,19.2,DEPLOY,"Session HOT (+0.1892), ExpR=+0.1351, N=154",MISSING,,,UNSPECIFIED,unknown,5,False
278,MNQ_US_DATA_1000_E2_RR1.0_CB1_CROSS_NYSE_MOMENTUM_O30_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,CROSS_NYSE_MOMENTUM,1,0.1353,153,19.1,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1353, N=153",MISSING,,,UNSPECIFIED,unknown,5,False
279,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_PDR_R080_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,EUROPE_FLOW,5,E2,1.5,PDR_R080,1,0.1346,154,19.1,DEPLOY,"Session HOT (+0.1892), ExpR=+0.1346, N=154",MISSING,,,UNSPECIFIED,unknown,5,False
280,MNQ_EUROPE_FLOW_E2_RR2.0_CB1_COST_LT10_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,EUROPE_FLOW,5,E2,2.0,COST_LT10,1,0.1032,201,19.1,DEPLOY,"Session HOT (+0.1892), ExpR=+0.1032, N=201",MISSING,,,UNSPECIFIED,unknown,5,False
281,MNQ_NYSE_OPEN_E2_RR1.0_CB1_COST_LT08,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,5,E2,1.0,COST_LT08,1,0.0806,257,19.1,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0806, N=257",MISSING,,,UNSPECIFIED,unknown,5,False
282,MNQ_NYSE_OPEN_E2_RR1.0_CB1_COST_LT10,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,5,E2,1.0,COST_LT10,1,0.0806,257,19.1,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0806, N=257",MISSING,,,UNSPECIFIED,unknown,5,False
283,MNQ_NYSE_OPEN_E2_RR1.0_CB1_COST_LT15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,5,E2,1.0,COST_LT15,1,0.0806,257,19.1,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0806, N=257",MISSING,,,UNSPECIFIED,unknown,5,False
284,MNQ_NYSE_OPEN_E2_RR1.0_CB1_ORB_G4,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,NYSE_OPEN,5,E2,1.0,ORB_G4,1,0.0806,257,19.1,DEPLOY,"Session HOT (+0.0916), ExpR=+0.0806, N=257",MISSING,,,UNSPECIFIED,unknown,5,False
