rank,strategy_id,factory_status,bridge_status,source_draft_path,active_hypothesis_path,result_md_path,runner_command,note
21,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O30,PREREG_DRAFT_READY,READY_TO_ACTIVATE,artifacts/research/chordia_evidence_factory_after_apply_2026_05_31_p0/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-o30-chordia-unlock-v1.draft.yaml,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-o30-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-o30-chordia-unlock-v1.md,python research/chordia_strict_unlock_v1.py --hypothesis-file docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-o30-chordia-unlock-v1.yaml,Ready for activation and strict replay.
22,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
23,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER,PREREG_DRAFT_READY,READY_TO_ACTIVATE,artifacts/research/chordia_evidence_factory_after_apply_2026_05_31_p0/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-chordia-unlock-v1.draft.yaml,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-chordia-unlock-v1.md,python research/chordia_strict_unlock_v1.py --hypothesis-file docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-chordia-unlock-v1.yaml,Ready for activation and strict replay.
24,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER,PREREG_DRAFT_READY,READY_TO_ACTIVATE,artifacts/research/chordia_evidence_factory_after_apply_2026_05_31_p0/prereg_drafts/2026-05-31-mnq-nyse-open-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.draft.yaml,docs/audit/hypotheses/2026-05-31-mnq-nyse-open-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-nyse-open-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.md,python research/chordia_strict_unlock_v1.py --hypothesis-file docs/audit/hypotheses/2026-05-31-mnq-nyse-open-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.yaml,Ready for activation and strict replay.
25,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER_O15,PREREG_DRAFT_READY,READY_TO_ACTIVATE,artifacts/research/chordia_evidence_factory_after_apply_2026_05_31_p0/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-o15-chordia-unlock-v1.draft.yaml,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-o15-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-o15-chordia-unlock-v1.md,python research/chordia_strict_unlock_v1.py --hypothesis-file docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-5-cb1-no-filter-o15-chordia-unlock-v1.yaml,Ready for activation and strict replay.
26,MNQ_US_DATA_1000_E2_RR1.5_CB1_NO_FILTER_O15_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
27,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER,PREREG_DRAFT_READY,READY_TO_ACTIVATE,artifacts/research/chordia_evidence_factory_after_apply_2026_05_31_p0/prereg_drafts/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.draft.yaml,docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.md,python research/chordia_strict_unlock_v1.py --hypothesis-file docs/audit/hypotheses/2026-05-31-mnq-us-data-1000-e2-rr1-0-cb1-no-filter-chordia-unlock-v1.yaml,Ready for activation and strict replay.
28,MNQ_US_DATA_1000_E2_RR1.0_CB1_NO_FILTER_O15_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
29,MNQ_NYSE_OPEN_E2_RR1.0_CB1_NO_FILTER_O15_S075,BLOCKED_NON_DEFAULT_STOP,SKIP_FACTORY_STATUS,,,,,Factory status is BLOCKED_NON_DEFAULT_STOP; bridge only activates PREREG_DRAFT_READY rows.
30,MNQ_NYSE_OPEN_E2_RR1.5_CB1_NO_FILTER,PREREG_DRAFT_READY,READY_TO_ACTIVATE,artifacts/research/chordia_evidence_factory_after_apply_2026_05_31_p0/prereg_drafts/2026-05-31-mnq-nyse-open-e2-rr1-5-cb1-no-filter-chordia-unlock-v1.draft.yaml,docs/audit/hypotheses/2026-05-31-mnq-nyse-open-e2-rr1-5-cb1-no-filter-chordia-unlock-v1.yaml,docs/audit/results/2026-05-31-mnq-nyse-open-e2-rr1-5-cb1-no-filter-chordia-unlock-v1.md,python research/chordia_strict_unlock_v1.py --hypothesis-file docs/audit/hypotheses/2026-05-31-mnq-nyse-open-e2-rr1-5-cb1-no-filter-chordia-unlock-v1.yaml,Ready for activation and strict replay.
