rank,strategy_id,instrument,session,orb_minutes,entry_model,rr_target,filter_type,confirm_bars,trailing_expr,trailing_n,annual_r_estimate,status,chordia_verdict,chordia_audit_age_days,c8_oos_status,family,family_role,family_priority,family_median_exp_r,family_oos_median,active_in_profile,action
20,MNQ_SINGAPORE_OPEN_E2_RR2.5_CB1_ORB_VOL_4K_O30,MNQ,SINGAPORE_OPEN,30,E2,2.5,ORB_VOL_4K,1,0.2638,250,60.9,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
21,MNQ_TOKYO_OPEN_E2_RR2.5_CB1_ORB_VOL_4K_O15,MNQ,TOKYO_OPEN,15,E2,2.5,ORB_VOL_4K,1,0.2675,234,57.8,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
22,MNQ_TOKYO_OPEN_E2_RR2.5_CB1_ORB_VOL_4K_O15_S075,MNQ,TOKYO_OPEN,15,E2,2.5,ORB_VOL_4K,1,0.264,234,57.0,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
23,MNQ_SINGAPORE_OPEN_E2_RR3.0_CB1_ATR_P70_O30_S075,MNQ,SINGAPORE_OPEN,30,E2,3.0,ATR_P70,1,0.3388,89,51.7,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
24,MNQ_SINGAPORE_OPEN_E2_RR3.0_CB1_ATR_P50_O30_S075,MNQ,SINGAPORE_OPEN,30,E2,3.0,ATR_P50,1,0.301,123,49.4,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
25,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_ORB_G8,MNQ,EUROPE_FLOW,5,E2,1.5,ORB_G8,1,0.2059,255,48.5,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
26,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_COST_LT15,MNQ,EUROPE_FLOW,5,E2,1.5,COST_LT15,1,0.207,253,48.3,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
27,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_COST_LT15_O30,MNQ,SINGAPORE_OPEN,30,E2,2.0,COST_LT15,1,0.204,255,48.0,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
28,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_ORB_G8_O30,MNQ,SINGAPORE_OPEN,30,E2,2.0,ORB_G8,1,0.204,255,48.0,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
29,MNQ_TOKYO_OPEN_E2_RR2.0_CB1_ORB_VOL_4K_O15,MNQ,TOKYO_OPEN,15,E2,2.0,ORB_VOL_4K,1,0.2218,234,47.9,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
30,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_NO_FILTER_O30,MNQ,SINGAPORE_OPEN,30,E2,2.0,NO_FILTER,1,0.1993,256,47.1,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
31,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_ORB_G4_O30,MNQ,SINGAPORE_OPEN,30,E2,2.0,ORB_G4,1,0.1993,256,47.1,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
32,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_ORB_G5_O30,MNQ,SINGAPORE_OPEN,30,E2,2.0,ORB_G5,1,0.1993,256,47.1,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
33,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_ORB_G6_O30,MNQ,SINGAPORE_OPEN,30,E2,2.0,ORB_G6,1,0.1993,256,47.1,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
34,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_OVNRNG_50,MNQ,EUROPE_FLOW,5,E2,1.5,OVNRNG_50,1,0.1989,250,45.9,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
35,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_ORB_VOL_2K_O30,MNQ,SINGAPORE_OPEN,30,E2,2.0,ORB_VOL_2K,1,0.194,255,45.7,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
36,MNQ_TOKYO_OPEN_E2_RR3.0_CB1_ORB_VOL_4K_O15_S075,MNQ,TOKYO_OPEN,15,E2,3.0,ORB_VOL_4K,1,0.2113,233,45.4,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
37,MNQ_TOKYO_OPEN_E2_RR2.0_CB1_ORB_VOL_4K_O15_S075,MNQ,TOKYO_OPEN,15,E2,2.0,ORB_VOL_4K,1,0.2087,234,45.1,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
38,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ATR_P30_O30_S075,MNQ,SINGAPORE_OPEN,30,E2,1.5,ATR_P30,1,0.2412,169,44.5,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
39,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_COST_LT12,MNQ,EUROPE_FLOW,5,E2,1.5,COST_LT12,1,0.2018,236,44.0,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
40,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_COST_LT12_O30,MNQ,SINGAPORE_OPEN,30,E2,2.0,COST_LT12,1,0.1873,252,43.6,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
