batch_id,batch_index,total_batches,item_count,ready_count,blocked_count,first_rank,last_rank,manifest_path,command_path
batch_001,1,9,25,25,0,131,155,batches/batch_001.csv,batches/batch_001_commands.ps1
batch_002,2,9,25,25,0,156,180,batches/batch_002.csv,batches/batch_002_commands.ps1
batch_003,3,9,25,25,0,181,205,batches/batch_003.csv,batches/batch_003_commands.ps1
batch_004,4,9,25,25,0,206,230,batches/batch_004.csv,batches/batch_004_commands.ps1
batch_005,5,9,25,25,0,231,255,batches/batch_005.csv,batches/batch_005_commands.ps1
batch_006,6,9,25,25,0,256,280,batches/batch_006.csv,batches/batch_006_commands.ps1
batch_007,7,9,25,25,0,281,305,batches/batch_007.csv,batches/batch_007_commands.ps1
batch_008,8,9,25,25,0,306,330,batches/batch_008.csv,batches/batch_008_commands.ps1
batch_009,9,9,23,23,0,331,353,batches/batch_009.csv,batches/batch_009_commands.ps1
