variant,n_on,signals_per_year,avg_on,avg_off,uplift_on_off,delta_vs_base,test2025_delta_vs_base,perm_p,verdict
base,386,64.33333333333333,0.27670673575129534,,,0.0,0.0,,BASELINE
non_nfp_and_non_shock,339,56.5,0.24709793510324482,0.490268085106383,-0.24317015000313816,-0.02960880064805052,-0.014107469342251877,0.8403193612774451,KILL
