instrument,session,dst_regime,hold_minutes,n,avg_r,win_rate,sharpe,pvalue,pvalue_bh,terminal_rate
MES,1000,ALL,120,44,-0.152100,0.295500,-0.114200,0.458099,0.540707,0.977300
MES,1000,ALL,180,44,-0.145500,0.295500,-0.109000,0.478554,0.561781,0.977300
MES,1800,SUMMER,1,35,-0.211000,0.342900,-0.586100,0.001656,0.003888,0.028600
MES,1800,SUMMER,2,35,-0.209200,0.314300,-0.463300,0.010692,0.021584,0.028600
MES,1800,SUMMER,5,35,-0.230500,0.371400,-0.448900,0.013122,0.025767,0.142900
MES,1800,SUMMER,10,35,-0.275600,0.342900,-0.455800,0.011898,0.023578,0.257100
MES,1800,SUMMER,15,35,-0.280400,0.285700,-0.385300,0.031271,0.058735,0.371400
MES,1800,SUMMER,20,35,-0.232500,0.400000,-0.295000,0.094494,0.161770,0.400000
MES,1800,SUMMER,30,35,-0.175400,0.400000,-0.197700,0.257139,0.363020,0.457100
MES,1800,SUMMER,45,35,-0.271400,0.285700,-0.305900,0.083415,0.145587,0.542900
MES,1800,SUMMER,60,35,-0.311100,0.257100,-0.347400,0.050693,0.092014,0.571400
MES,1800,SUMMER,90,35,-0.270000,0.342900,-0.253600,0.148385,0.232255,0.742900
MES,1800,SUMMER,120,35,-0.188800,0.342900,-0.161000,0.354507,0.466912,0.800000
MES,1800,SUMMER,180,35,-0.185100,0.342900,-0.154500,0.373932,0.480770,0.828600
MES,1800,WINTER,1,39,0.041400,0.487200,0.066300,0.684878,0.747140,0.102600
MES,1800,WINTER,2,39,0.104100,0.512800,0.163100,0.321199,0.436346,0.128200
MES,1800,WINTER,5,39,0.162600,0.615400,0.197100,0.231813,0.336051,0.256400
MES,1800,WINTER,10,39,0.204200,0.564100,0.211700,0.199649,0.295371,0.307700
MES,1800,WINTER,15,39,0.192700,0.512800,0.189100,0.251044,0.356747,0.384600
MES,1800,WINTER,20,39,0.137800,0.487200,0.130200,0.427177,0.517859,0.487200
MES,1800,WINTER,30,39,0.108000,0.487200,0.099100,0.544876,0.626028,0.538500
MES,1800,WINTER,45,39,0.085600,0.461500,0.076300,0.640768,0.708011,0.564100
MES,1800,WINTER,60,39,0.168700,0.487200,0.141500,0.388491,0.486077,0.641000
MES,1800,WINTER,90,39,0.118500,0.487200,0.096300,0.556456,0.629291,0.717900
MES,1800,WINTER,120,39,0.065200,0.435900,0.052500,0.748117,0.799967,0.743600
MES,1800,WINTER,180,39,0.059400,0.410300,0.047000,0.773585,0.819090,0.769200
MES,2300,SUMMER,1,33,-0.240700,0.303000,-0.599800,0.001857,0.004178,0.030300
MES,2300,SUMMER,2,33,-0.209900,0.303000,-0.518100,0.006192,0.012738,0.030300
MES,2300,SUMMER,5,33,-0.228300,0.333300,-0.449400,0.016061,0.030701,0.121200
MES,2300,SUMMER,10,33,-0.181800,0.363600,-0.295400,0.104496,0.176337,0.151500
MES,2300,SUMMER,15,33,-0.075500,0.424200,-0.092900,0.602970,0.678341,0.212100
MES,2300,SUMMER,20,33,-0.155000,0.363600,-0.195700,0.276441,0.382730,0.303000
MES,2300,SUMMER,30,33,-0.149600,0.393900,-0.175300,0.328679,0.443717,0.393900
MES,2300,SUMMER,45,33,-0.156900,0.393900,-0.168400,0.347918,0.463891,0.454500
MES,2300,SUMMER,60,33,-0.116700,0.393900,-0.116300,0.515168,0.598260,0.484800
MES,2300,SUMMER,90,33,-0.168100,0.333300,-0.161600,0.367507,0.475338,0.606100
MES,2300,SUMMER,120,33,-0.153900,0.303000,-0.141300,0.430105,0.517859,0.636400
MES,2300,SUMMER,180,33,-0.133300,0.363600,-0.122600,0.492990,0.575599,0.636400
MES,2300,WINTER,1,16,-0.157500,0.312500,-0.478600,0.083578,0.145587,0.000000
MES,2300,WINTER,2,16,-0.173000,0.187500,-0.537500,0.054913,0.098027,0.000000
MES,2300,WINTER,5,16,-0.123100,0.437500,-0.328600,0.222456,0.324666,0.000000
MES,2300,WINTER,10,16,-0.194700,0.375000,-0.391700,0.150011,0.233111,0.125000
