instrument,session,aperture_min,n_days,n_g4,n_breaks,n_trades,avg_r,total_r,win_rate,avg_orb_size,p_value,p_adj_bh,n_winter,avg_r_winter,wr_winter,n_summer,avg_r_summer,wr_summer,sensitivity_verdict,sample_class,delta_vs_5m
MGC,0030,5,2581,463,462,462,0.048155,22.247396,0.281385,6.873650,0.435373,0.483338,206,0.041024,0.281553,256,0.053892,0.281250,SKIP,CORE,0.000000
MGC,0030,10,2581,852,847,847,0.063393,53.693908,0.229044,7.255164,0.137521,0.185725,355,0.045197,0.222535,492,0.076522,0.233740,ROBUST,CORE,0.015239
MGC,0030,15,2581,1112,1094,1094,0.095586,104.571220,0.197441,7.632464,0.006708,0.018802,446,0.096396,0.201794,648,0.095029,0.194444,ROBUST,CORE,0.047432
MGC,0030,20,2581,1329,1291,1291,0.045709,59.010596,0.158792,8.080286,0.131013,0.178778,517,0.006571,0.147002,774,0.071852,0.166667,ROBUST,CORE,-0.002445
MGC,0030,30,2581,1560,1482,1482,0.060205,89.223577,0.125506,8.689167,0.020971,0.044310,572,0.057933,0.120629,910,0.061633,0.128571,ROBUST,CORE,0.012050
MGC,0030,45,2581,1807,1626,1626,0.043555,70.820686,0.086101,9.855562,0.045973,0.076234,634,0.067359,0.077287,992,0.028342,0.091734,ROBUST,CORE,-0.004599
MGC,0030,60,2581,1953,1677,1677,0.019976,33.500380,0.058438,10.648746,0.299223,0.366857,639,0.039245,0.046948,1038,0.008115,0.065511,ROBUST,CORE,-0.028178
MNQ,0900,5,1289,1171,1169,1169,0.089306,104.398650,0.332763,17.472032,0.029724,0.052676,442,0.112229,0.294118,727,0.075369,0.356259,SKIP,CORE,0.000000
MNQ,0900,10,1286,1242,1236,1236,0.070833,87.550076,0.319579,20.689614,0.072038,0.108471,440,0.142476,0.284091,796,0.031232,0.339196,ROBUST,CORE,-0.018473
MNQ,0900,15,1285,1263,1254,1254,0.031121,39.025727,0.301435,22.858868,0.418360,0.472459,438,0.127001,0.273973,816,-0.020344,0.316176,ROBUST,CORE,-0.058185
MNQ,0900,20,1282,1272,1259,1259,0.034598,43.558473,0.297855,24.892492,0.364955,0.415731,435,0.098286,0.259770,824,0.000976,0.317961,ROBUST,CORE,-0.054708
MNQ,0900,30,1276,1275,1258,1258,0.014933,18.786321,0.279014,28.434314,0.690744,0.729737,431,0.083010,0.236659,827,-0.020546,0.301088,FRAGILE,CORE,-0.074372
