bucket,n,wr,avg_r,total_r
baseline,964,0.40767634854771784,-0.062396680497925315,-60.150400000000005
single_m6e,491,0.4684317718940937,0.076491649694501,37.55739999999999
relay_m6e_mes,225,0.4666666666666667,0.07251511111111109,16.315899999999996
