pair,n_total,n_on,n_off,on_rate,avg_r_on,avg_r_off,uplift_on_minus_off,wr_on,wr_off
MES_0900_to_MNQ_1000,482,252,230,0.5228215767634855,0.16234920634920638,-0.1836030434782609,0.3459522498274673,0.35714285714285715,0.25217391304347825
MNQ_0900_to_MES_1000,483,232,251,0.4803312629399586,0.05205905172413792,-0.3542478087649403,0.4063068604890782,0.35344827586206895,0.22310756972111553
