symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift
MES,US_EQUITY_OPEN,E0,2,1.5,fast30_and_q40,735,429,53.625,0.11444941724941725,0.02189836601307191,0.09255105123634534,0.47785547785547783,0.4738562091503268,3,5,0.6,,
MES,0030,E0,2,1.5,short_q60,717,155,19.375,0.11444064516129034,0.04742722419928828,0.06701342096200205,0.4774193548387097,0.48576512455516013,3,5,0.6,,
MES,1000,E0,2,4.0,fast30_and_q60,636,233,29.125,0.11413648068669525,-0.10302704714640198,0.21716352783309723,0.2575107296137339,0.24813895781637718,3,5,0.6,,
MES,US_POST_EQUITY,E0,2,2.0,size_q40_plus,723,425,53.125,0.11394211764705885,0.04986510067114093,0.06407701697591792,0.4023529411764706,0.436241610738255,3,5,0.6,,
MES,1100,E0,2,2.0,long_q60,652,152,19.0,0.11349342105263156,-0.0966596,0.21015302105263156,0.4407894736842105,0.434,2,3,0.6666666666666666,,
MES,1000,E0,2,4.0,size_q40_plus,636,395,49.375,0.1133718987341772,-0.24775103734439832,0.36112293607857554,0.26582278481012656,0.22821576763485477,2,4,0.5,,
MES,0030,E0,2,3.0,fast30_and_q40,675,401,50.125,0.11323815461346631,-0.0916507299270073,0.2048888845404736,0.30423940149625933,0.28102189781021897,5,5,1.0,,
MES,US_POST_EQUITY,E0,1,1.5,short_fast30,1764,735,91.875,0.11314163265306122,0.003696793002915459,0.10944483965014576,0.4993197278911565,0.46258503401360546,5,6,0.8333333333333334,0.10672259545127095,0.2521277254901961
MES,0030,E0,2,1.0,fast30_and_q60,727,295,36.875,0.11293830508474577,0.06864513888888889,0.04429316619585688,0.5966101694915255,0.6388888888888888,4,6,0.6666666666666666,,
MES,1100,E0,2,2.0,size_q60_plus,652,292,36.5,0.11109554794520549,-0.17644083333333335,0.28753638127853887,0.4417808219178082,0.4305555555555556,4,5,0.8,,
MES,1100,E0,2,2.5,size_q60_plus,651,291,36.375,0.11102646048109967,-0.20622027777777777,0.31724673825887745,0.37800687285223367,0.35555555555555557,4,5,0.8,,
MES,LONDON_OPEN,E0,1,4.0,long_q60,1753,375,46.875,0.11091493333333331,-0.1138258345428157,0.224740767876149,0.25066666666666665,0.22423802612481858,5,6,0.8333333333333334,0.20701972160598547,0.31877591522158
MES,1000,E0,2,2.0,fast30_and_q60,637,234,29.25,0.10936153846153847,-0.13232555831265508,0.24168709677419353,0.42735042735042733,0.4044665012406948,5,5,1.0,,
M2K,CME_CLOSE,E0,1,1.0,size_q40_plus,1032,690,115.0,0.1085126086956522,-0.07130087719298243,0.17981348588863463,0.6623188405797101,0.652046783625731,4,5,0.8,0.22231927737387092,-0.02001045112781954
MES,1100,E0,2,2.5,long_q60,651,152,19.0,0.10849013157894735,-0.11707635270541081,0.22556648428435816,0.375,0.3627254509018036,2,3,0.6666666666666666,,
MES,US_POST_EQUITY,E0,1,1.0,short_q60,1786,378,47.25,0.1080568783068783,0.016727485795454546,0.09132939251142375,0.58994708994709,0.5880681818181818,4,6,0.6666666666666666,0.06467480775577558,0.23903326885880077
MES,US_EQUITY_OPEN,E0,1,2.0,long_q60,1735,355,44.375,0.10799746478873239,0.08700623188405798,0.020991232904674403,0.39154929577464787,0.4057971014492754,3,6,0.5,0.0435288172444943,-0.11464643678160921
M2K,CME_CLOSE,E0,1,1.0,fast30_and_q40,1032,689,114.83333333333333,0.10772060957910017,-0.06918571428571427,0.17690632386481442,0.6618287373004355,0.6530612244897959,4,5,0.8,0.21845737130628518,-0.02001045112781954
MES,0030,E0,1,2.0,short_fast30,1751,764,95.5,0.10694214659685866,-0.00595967578520769,0.11290182238206635,0.41492146596858637,0.3839918946301925,4,6,0.6666666666666666,0.10251226377952756,0.19228359476276896
MES,US_POST_EQUITY,E0,1,1.0,fast30_and_q60,1786,718,89.75,0.10642353760445684,-0.011249344569288387,0.11767288217374523,0.5891364902506964,0.5880149812734082,4,6,0.6666666666666666,0.09442005265668225,0.18977801282051282
MES,US_POST_EQUITY,E0,1,1.5,fast30_and_q40,1764,1036,129.5,0.1060207528957529,-0.03142087912087912,0.137441632016632,0.47876447876447875,0.4766483516483517,6,6,1.0,0.1371134538593985,0.031066316831683205
MES,LONDON_OPEN,E0,2,2.0,size_q60_plus,658,268,33.5,0.10583768656716419,-0.08235769230769231,0.1881953788748565,0.4141791044776119,0.4025641025641026,5,6,0.8333333333333334,,
MES,US_POST_EQUITY,E0,1,1.5,size_q60_plus,1764,741,92.625,0.10543549257759785,0.008636754643206254,0.0967987379343916,0.4709851551956815,0.48289345063538613,4,6,0.6666666666666666,0.06981993639260113,0.13484058229352344
MES,0030,E0,2,3.0,fast30_and_q60,675,266,33.25,0.10471165413533835,-0.018477017114914427,0.12318867125025278,0.29699248120300753,0.293398533007335,5,6,0.8333333333333334,,
MES,CME_CLOSE,E0,1,2.0,size_q40_plus,1145,728,91.0,0.10407225274725279,-0.01937961630695443,0.12345186905420721,0.4175824175824176,0.434052757793765,3,6,0.5,,
MES,US_EQUITY_OPEN,E0,1,1.5,fast30_and_q40,1766,1032,129.0,0.10393730620155038,0.027162670299727524,0.07677463590182286,0.4728682170542636,0.4768392370572207,3,5,0.6,0.09700410008702583,-0.11264829268292678
MES,US_POST_EQUITY,E0,2,2.5,size_q60_plus,708,271,33.875,0.1036,0.08514897025171624,0.018451029748283762,0.33579335793357934,0.37299771167048057,2,6,0.3333333333333333,,
