symbol,session,rr_target,confirm_bars,direction,n,avg_r,win_rate,t_stat,p_val,long_pct,p_bh
MES,0900,2.0,1,ALL,1587,-0.2747,0.2854,-11.6185,0.0,0.499,0.0
MES,0900,2.5,1,ALL,1584,-0.2955,0.2361,-11.2934,0.0,0.499,0.0
MES,0900,3.0,1,ALL,1583,-0.2999,0.2085,-10.5038,0.0,0.498,0.0
MES,0900,4.0,1,ALL,1579,-0.2972,0.1672,-8.9996,0.0,0.498,0.0
MES,0900,1.0,1,LONG,793,-0.2692,0.4136,-11.264,0.0,0.499,0.0
MES,0900,1.5,1,LONG,792,-0.3008,0.3308,-10.3906,0.0,0.499,0.0
MES,0900,2.0,1,LONG,792,-0.2727,0.2879,-8.092,0.0,0.499,0.0
MES,0900,2.5,1,LONG,790,-0.3087,0.2329,-8.3557,0.0,0.499,0.0
MES,0900,3.0,1,LONG,789,-0.3136,0.2053,-7.7923,0.0,0.498,0.0
MES,0900,4.0,1,LONG,787,-0.3072,0.1665,-6.6087,0.0,0.498,0.0
MES,0900,1.0,1,SHORT,795,-0.2277,0.4226,-9.7548,0.0,0.499,0.0
MES,0900,1.5,1,SHORT,795,-0.2593,0.3522,-9.0241,0.0,0.499,0.0
MES,0900,2.0,1,SHORT,795,-0.2768,0.283,-8.3355,0.0,0.499,0.0
MES,0900,2.5,1,SHORT,794,-0.2823,0.2393,-7.6152,0.0,0.499,0.0
MES,0900,3.0,1,SHORT,794,-0.2864,0.2116,-7.064,0.0,0.498,0.0
MES,0900,4.0,1,SHORT,792,-0.2873,0.1679,-6.1194,0.0,0.498,0.0
MES,1000,1.0,1,ALL,1661,-0.1517,0.4967,-8.4287,0.0,0.474,0.0
MES,1000,1.5,1,ALL,1660,-0.1706,0.3831,-7.6703,0.0,0.473,0.0
MES,1000,2.0,1,ALL,1659,-0.1639,0.3213,-6.335,0.0,0.473,0.0
MES,1000,2.5,1,ALL,1659,-0.1552,0.2779,-5.3133,0.0,0.473,0.0
MES,1000,3.0,1,ALL,1659,-0.161,0.2411,-5.031,1e-06,0.473,1e-06
MES,1000,4.0,1,ALL,1657,-0.1805,0.1877,-4.9066,1e-06,0.473,1e-06
MES,1000,1.0,1,LONG,787,-0.1519,0.493,-5.8756,0.0,0.474,0.0
MES,1000,1.5,1,LONG,786,-0.1684,0.388,-5.2667,0.0,0.473,0.0
MES,1000,2.0,1,LONG,785,-0.1599,0.3248,-4.2654,2.2e-05,0.473,3e-05
MES,1000,2.5,1,LONG,785,-0.11,0.2968,-2.5627,0.010572,0.473,0.01401
MES,1000,3.0,1,LONG,785,-0.1203,0.2561,-2.55,0.010961,0.473,0.014436
MES,1000,4.0,1,LONG,783,-0.129,0.2031,-2.3631,0.018368,0.473,0.023901
MES,1000,1.0,1,SHORT,859,-0.1515,0.5017,-5.9894,0.0,0.474,0.0
MES,1000,1.5,1,SHORT,859,-0.1708,0.3807,-5.4605,0.0,0.473,0.0
MES,1000,2.0,1,SHORT,859,-0.1649,0.3201,-4.5629,6e-06,0.473,9e-06
MES,1000,2.5,1,SHORT,859,-0.1919,0.2631,-4.7686,2e-06,0.473,3e-06
MES,1000,3.0,1,SHORT,859,-0.191,0.2305,-4.3308,1.7e-05,0.473,2.4e-05
MES,1000,4.0,1,SHORT,859,-0.2163,0.1769,-4.2835,2e-05,0.473,2.8e-05
MES,1800,1.0,1,ALL,1660,-0.2154,0.4904,-10.8805,0.0,0.507,0.0
MES,1800,1.5,1,ALL,1659,-0.223,0.39,-9.2455,0.0,0.507,0.0
MES,1800,2.0,1,ALL,1658,-0.2307,0.3227,-8.3528,0.0,0.507,0.0
MES,1800,2.5,1,ALL,1658,-0.2242,0.2786,-7.2522,0.0,0.507,0.0
MES,1800,3.0,1,ALL,1653,-0.222,0.2456,-6.551,0.0,0.506,0.0
MES,1800,4.0,1,ALL,1650,-0.2271,0.1945,-5.8151,0.0,0.505,0.0
MES,1800,1.0,1,LONG,842,-0.1911,0.5059,-6.8579,0.0,0.507,0.0
MES,1800,1.5,1,LONG,841,-0.1991,0.4007,-5.8324,0.0,0.507,0.0
MES,1800,2.0,1,LONG,840,-0.2066,0.3321,-5.273,0.0,0.507,0.0
MES,1800,2.5,1,LONG,840,-0.1952,0.2881,-4.4293,1.1e-05,0.507,1.6e-05
MES,1800,3.0,1,LONG,837,-0.1712,0.2605,-3.5133,0.000466,0.506,0.000637
MES,1800,4.0,1,LONG,834,-0.19,0.2026,-3.3859,0.000743,0.505,0.001009
MES,1800,1.0,1,SHORT,818,-0.2404,0.4743,-8.5495,0.0,0.507,0.0
MES,1800,1.5,1,SHORT,818,-0.2475,0.379,-7.2658,0.0,0.507,0.0
MES,1800,2.0,1,SHORT,818,-0.2554,0.313,-6.562,0.0,0.507,0.0
MES,1800,2.5,1,SHORT,818,-0.254,0.2689,-5.8595,0.0,0.507,0.0
MES,1800,3.0,1,SHORT,816,-0.274,0.2304,-5.8312,0.0,0.506,0.0
MES,1800,4.0,1,SHORT,816,-0.2651,0.1863,-4.8814,1e-06,0.505,1e-06
MGC,0900,1.0,1,ALL,2277,-0.466,0.1998,-44.0885,0.0,0.543,0.0
MGC,0900,1.5,1,ALL,2277,-0.4786,0.2279,-36.817,0.0,0.543,0.0
MGC,0900,2.0,1,ALL,2276,-0.4872,0.2065,-32.693,0.0,0.543,0.0
MGC,0900,2.5,1,ALL,2276,-0.4808,0.2008,-28.5413,0.0,0.543,0.0
MGC,0900,3.0,1,ALL,2272,-0.4895,0.1915,-26.8722,0.0,0.543,0.0
MGC,0900,4.0,1,ALL,2269,-0.4917,0.1534,-23.7399,0.0,0.544,0.0
MGC,0900,1.0,1,LONG,1236,-0.4552,0.2039,-31.3681,0.0,0.543,0.0
MGC,0900,1.5,1,LONG,1236,-0.4582,0.2419,-25.4291,0.0,0.543,0.0
MGC,0900,2.0,1,LONG,1236,-0.4557,0.2225,-21.7863,0.0,0.543,0.0
MGC,0900,2.5,1,LONG,1236,-0.4383,0.2249,-18.396,0.0,0.543,0.0
MGC,0900,3.0,1,LONG,1234,-0.4556,0.2075,-17.7233,0.0,0.543,0.0
MGC,0900,4.0,1,LONG,1234,-0.463,0.1645,-15.828,0.0,0.544,0.0
MGC,0900,1.0,1,SHORT,1041,-0.4789,0.195,-31.0651,0.0,0.543,0.0
MGC,0900,1.5,1,SHORT,1041,-0.5028,0.2113,-26.8733,0.0,0.543,0.0
MGC,0900,2.0,1,SHORT,1040,-0.5246,0.1875,-24.9089,0.0,0.543,0.0
MGC,0900,2.5,1,SHORT,1040,-0.5312,0.1721,-22.586,0.0,0.543,0.0
MGC,0900,3.0,1,SHORT,1038,-0.5299,0.1724,-20.7224,0.0,0.543,0.0
MGC,0900,4.0,1,SHORT,1035,-0.526,0.1401,-18.0999,0.0,0.544,0.0
MGC,1000,1.0,1,ALL,2356,-0.4044,0.2984,-34.754,0.0,0.483,0.0
MGC,1000,1.5,1,ALL,2356,-0.4259,0.3171,-30.0739,0.0,0.483,0.0
MGC,1000,2.0,1,ALL,2356,-0.4267,0.2848,-26.2626,0.0,0.483,0.0
MGC,1000,2.5,1,ALL,2356,-0.4203,0.2606,-23.1249,0.0,0.483,0.0
MGC,1000,3.0,1,ALL,2356,-0.414,0.2419,-20.7117,0.0,0.483,0.0
MGC,1000,4.0,1,ALL,2354,-0.437,0.1856,-19.2214,0.0,0.483,0.0
MGC,1000,1.0,1,LONG,1137,-0.4138,0.2955,-24.5391,0.0,0.483,0.0
MGC,1000,1.5,1,LONG,1137,-0.4387,0.3113,-21.284,0.0,0.483,0.0
MGC,1000,2.0,1,LONG,1137,-0.4334,0.2806,-18.2481,0.0,0.483,0.0
MGC,1000,2.5,1,LONG,1137,-0.4194,0.2612,-15.7866,0.0,0.483,0.0
MGC,1000,3.0,1,LONG,1137,-0.4132,0.241,-14.1626,0.0,0.483,0.0
MGC,1000,4.0,1,LONG,1136,-0.4327,0.1857,-13.0072,0.0,0.483,0.0
MGC,1000,1.0,1,SHORT,1219,-0.3955,0.3011,-24.6086,0.0,0.483,0.0
MGC,1000,1.5,1,SHORT,1219,-0.4139,0.3224,-21.246,0.0,0.483,0.0
MGC,1000,2.0,1,SHORT,1219,-0.4204,0.2888,-18.8847,0.0,0.483,0.0
MGC,1000,2.5,1,SHORT,1219,-0.4211,0.26,-16.9073,0.0,0.483,0.0
MGC,1000,3.0,1,SHORT,1219,-0.4148,0.2428,-15.1182,0.0,0.483,0.0
MGC,1000,4.0,1,SHORT,1218,-0.441,0.1856,-14.1684,0.0,0.483,0.0
MGC,1800,1.0,1,ALL,2340,-0.368,0.3829,-27.9658,0.0,0.509,0.0
MGC,1800,1.5,1,ALL,2339,-0.3761,0.3762,-23.2773,0.0,0.509,0.0
MGC,1800,2.0,1,ALL,2338,-0.3655,0.3319,-19.4517,0.0,0.509,0.0
MGC,1800,2.5,1,ALL,2335,-0.3741,0.2891,-17.8868,0.0,0.509,0.0
MGC,1800,3.0,1,ALL,2330,-0.3995,0.2455,-17.7031,0.0,0.508,0.0
MGC,1800,4.0,1,ALL,2323,-0.4048,0.1941,-15.6012,0.0,0.508,0.0
MGC,1800,1.0,1,LONG,1191,-0.351,0.3955,-18.7808,0.0,0.509,0.0
MGC,1800,1.5,1,LONG,1191,-0.3392,0.3946,-14.6984,0.0,0.509,0.0
MGC,1800,2.0,1,LONG,1190,-0.319,0.3487,-11.7935,0.0,0.509,0.0
MGC,1800,2.5,1,LONG,1188,-0.3301,0.3064,-10.9469,0.0,0.509,0.0
MGC,1800,3.0,1,LONG,1184,-0.3553,0.2618,-10.8879,0.0,0.508,0.0
MGC,1800,4.0,1,LONG,1179,-0.358,0.2087,-9.5174,0.0,0.508,0.0
MGC,1800,1.0,1,SHORT,1149,-0.3857,0.3699,-20.8317,0.0,0.509,0.0
MGC,1800,1.5,1,SHORT,1148,-0.4145,0.3571,-18.376,0.0,0.509,0.0
MGC,1800,2.0,1,SHORT,1148,-0.4136,0.3145,-15.9252,0.0,0.509,0.0
MGC,1800,2.5,1,SHORT,1147,-0.4197,0.2711,-14.5274,0.0,0.509,0.0
MGC,1800,3.0,1,SHORT,1146,-0.4453,0.2286,-14.3237,0.0,0.508,0.0
MGC,1800,4.0,1,SHORT,1144,-0.453,0.1792,-12.7112,0.0,0.508,0.0
MNQ,0900,1.0,1,ALL,442,-0.088,0.4186,-2.3904,0.017249,0.495,0.022581
MNQ,0900,1.5,1,ALL,442,-0.0994,0.3258,-2.1814,0.029681,0.495,0.038161
MNQ,0900,2.0,1,ALL,442,-0.0951,0.2715,-1.7852,0.074909,0.495,0.09299
