pair,year,n_on,n_off,avg_r_on,avg_r_off,uplift,wr_on,wr_off
MES_0900_to_MNQ_1000,2024,108,111,0.12063148148148149,-0.10994234234234232,0.2305738238238238,0.35185185185185186,0.27927927927927926
MES_0900_to_MNQ_1000,2025,129,114,0.20437519379844965,-0.24886842105263154,0.4532436148510812,0.3643410852713178,0.22807017543859648
MES_0900_to_MNQ_1000,2026,15,5,0.1012933333333334,-0.33082,0.4321133333333334,0.3333333333333333,0.2
MNQ_0900_to_MES_1000,2024,104,117,-0.20198076923076919,-0.26135213675213675,0.05937136752136757,0.28846153846153844,0.26495726495726496
MNQ_0900_to_MES_1000,2025,117,127,0.27300512820512823,-0.42862283464566925,0.7016279628507975,0.41025641025641024,0.1889763779527559
MNQ_0900_to_MES_1000,2026,11,7,0.10382727272727274,-0.5575571428571429,0.6613844155844156,0.36363636363636365,0.14285714285714285
