rule,n_on,on_rate,avg_on,avg_off,uplift_on_off,wr_on,wr_off,years_pos,years_total,train_uplift,test2025_uplift
A_strict_all4,3665,0.0674767559606002,-0.16092534788540247,-0.29210820730503456,0.1311828594196321,0.269849931787176,0.26548864758144125,7,7,0.12118036092123119,0.11775069538531484
C_momentum,3674,0.06764245604345025,-0.16121341861731087,-0.292110621828163,0.13089720321085213,0.26973326075122483,0.2654963369601706,7,7,0.12045103050298203,0.11864053623077153
E_asym_short_ge3,11969,0.22036269907023842,-0.22146375637062413,-0.3007219666556464,0.07925821028502225,0.268109282312641,0.2651253955509375,4,7,0.08596633737818629,0.04620187035238771
B_score_ge3,23868,0.4394366197183099,-0.22603676051617227,-0.3281120208887575,0.10207526037258524,0.2678062678062678,0.2641968009984563,5,7,0.09577027422994791,0.10095875277220087
E_asym_long_ge3,11899,0.21907392064807144,-0.23063666694680224,-0.29801788004526597,0.06738121309846373,0.2675014707118245,0.2653008298755187,6,7,0.054445464729967086,0.08441593259704583
D_veto_bad,43949,0.8091503267973856,-0.25646384218070944,-0.3968495755354042,0.14038573335469473,0.2662859223190516,0.2636503955238279,5,6,0.12698294909480395,0.10965860139867378
