instrument,bris_h,bris_m,time,us_winter_days,us_winter_vol_mean,us_summer_days,us_summer_vol_mean,us_summer_winter_ratio,uk_winter_days,uk_winter_vol_mean,uk_summer_days,uk_summer_vol_mean,uk_summer_winter_ratio,edge_n_trades,edge_avg_r,edge_n_winter,edge_avg_r_winter,edge_n_summer,edge_avg_r_summer,session
MGC,0,0,00:00,892,5235.1,1690,8412.6,1.607,1060,5663.5,1522,8465.0,1.495,70,0.0022,32,-0.2215,38,0.1906,
MGC,0,15,00:15,892,4493.9,1689,5947.7,1.324,1060,4721.9,1521,5949.3,1.260,47,0.1155,21,-0.2857,26,0.4395,
MGC,0,30,00:30,892,7279.7,1689,5637.4,0.774,1060,7022.8,1521,5635.1,0.802,49,0.1590,24,0.0000,25,0.3116,0030 (NYSE winter)
MGC,0,45,00:45,892,6418.8,1689,5206.2,0.811,1060,6219.0,1521,5211.5,0.838,52,0.0962,19,0.1053,33,0.0909,
MGC,1,0,01:00,892,8034.5,1689,5039.3,0.627,1060,7671.7,1521,4961.4,0.647,68,0.3381,24,0.5412,44,0.2273,
MGC,1,15,01:15,892,5669.7,1689,4328.7,0.763,1060,5461.2,1521,4325.9,0.792,62,0.3376,28,0.1786,34,0.4686,
MGC,1,30,01:30,892,5331.9,1689,3881.8,0.728,1060,5160.7,1521,3840.9,0.744,160,0.2169,71,0.0551,89,0.3460,
MGC,1,45,01:45,892,4653.6,1689,3304.8,0.710,1060,4522.1,1521,3247.5,0.718,99,0.1119,44,0.1591,55,0.0741,
MGC,2,0,02:00,892,4646.2,1689,3189.2,0.686,1060,4495.7,1521,3133.1,0.697,133,0.1169,46,0.1590,87,0.0946,
MGC,2,15,02:15,892,4041.9,1689,2776.8,0.687,1060,3933.8,1521,2712.4,0.690,107,0.3169,36,0.3333,71,0.3086,
MGC,2,30,02:30,892,3687.5,1689,2640.8,0.716,1060,3577.3,1521,2602.0,0.727,121,-0.1075,52,0.0037,69,-0.1913,
MGC,2,45,02:45,892,3136.8,1689,2535.1,0.808,1060,3086.4,1521,2503.7,0.811,91,0.2860,38,0.3718,53,0.2245,
MGC,3,0,03:00,892,3000.7,1670,2798.8,0.933,1060,3000.1,1502,2776.7,0.926,161,0.2033,47,0.1652,114,0.2190,
MGC,3,15,03:15,892,2537.2,1670,4004.3,1.578,1060,2831.1,1502,3961.0,1.399,105,0.0590,33,0.0909,72,0.0444,
MGC,3,30,03:30,892,2442.6,1670,2470.2,1.011,1060,2465.9,1502,2456.9,0.996,130,-0.0595,45,-0.0164,85,-0.0824,
MGC,3,45,03:45,892,2378.9,1670,1780.9,0.749,1060,2309.3,1502,1763.1,0.763,125,0.0616,44,-0.2322,81,0.2212,
MGC,4,0,04:00,874,2698.4,1670,2519.5,0.934,1042,2856.5,1502,2389.8,0.837,162,0.1705,75,0.0737,87,0.2539,
MGC,4,15,04:15,874,4017.4,1670,1882.4,0.469,1042,3759.0,1502,1822.8,0.485,111,0.3942,51,0.3412,60,0.4393,
MGC,4,30,04:30,874,2413.1,1655,1829.2,0.758,1042,2453.6,1487,1734.9,0.707,102,-0.1682,48,-0.1387,54,-0.1945,
MGC,4,45,04:45,861,1674.8,1655,1687.8,1.008,1029,1808.6,1487,1596.6,0.883,79,-0.0703,40,-0.0007,39,-0.1417,
MGC,5,0,05:00,861,2107.7,1655,1602.2,0.760,1029,2104.8,1487,1547.0,0.735,133,0.0584,60,0.1976,73,-0.0560,
MGC,5,15,05:15,861,1673.3,1655,1338.5,0.800,1029,1683.0,1487,1293.9,0.769,96,0.0079,46,0.1998,50,-0.1686,
MGC,5,30,05:30,848,1625.9,1655,1310.4,0.806,1016,1621.4,1487,1277.8,0.788,121,-0.0111,40,-0.2431,81,0.1034,
MGC,5,45,05:45,846,1562.1,1655,1650.9,1.057,1014,1612.2,1487,1626.8,1.009,87,0.3051,37,0.1737,50,0.4023,
MGC,6,0,06:00,846,1556.5,1655,835.3,0.537,1014,1454.2,1487,823.6,0.566,113,0.0341,49,-0.1485,64,0.1738,
MGC,6,15,06:15,846,1241.8,1655,469.5,0.378,1014,1119.0,1487,466.0,0.416,84,0.1619,31,-0.0996,53,0.3148,
MGC,6,30,06:30,846,1220.4,1655,491.5,0.403,1014,1106.4,1487,486.8,0.440,101,-0.2083,57,-0.3816,44,0.0162,
MGC,6,45,06:45,846,1606.1,1655,647.8,0.403,1014,1454.3,1487,643.0,0.442,64,0.3940,24,0.3022,40,0.4490,
MGC,7,0,07:00,846,778.1,26,6.7,0.009,846,778.1,26,6.7,0.009,107,0.2407,34,0.2297,73,0.2459,
MGC,7,15,07:15,846,395.9,0,0.0,0.000,846,395.9,0,0.0,0.000,84,0.0661,28,0.0878,56,0.0552,
MGC,7,30,07:30,847,406.2,0,0.0,0.000,847,406.2,0,0.0,0.000,105,0.0779,38,-0.1713,67,0.2193,
MGC,7,45,07:45,846,546.9,1,87.0,0.159,846,546.9,1,87.0,0.159,113,-0.0456,43,-0.1526,70,0.0201,
MGC,8,0,08:00,1,1.0,1688,974.7,974.653,169,1023.3,1520,968.6,0.947,174,0.1064,51,-0.0453,123,0.1694,CME summer
MGC,8,15,08:15,0,0.0,1688,534.9,,168,639.4,1520,523.3,0.818,185,0.0253,40,-0.0308,145,0.0408,
MGC,8,30,08:30,0,0.0,1689,473.0,,168,555.1,1521,463.9,0.836,468,0.0148,38,0.1100,430,0.0064,
MGC,8,45,08:45,0,0.0,1689,420.5,,168,478.2,1521,414.1,0.866,186,-0.0471,30,0.0286,156,-0.0617,
MGC,9,0,09:00,890,1120.0,1689,559.2,0.499,1058,1034.4,1521,556.8,0.538,439,0.0755,125,0.0485,314,0.0863,0900 (CME winter)
MGC,9,15,09:15,890,652.8,1689,495.1,0.758,1058,630.2,1521,493.4,0.783,319,-0.0252,105,0.1954,214,-0.1334,
MGC,9,30,09:30,890,688.6,1689,578.6,0.840,1058,674.7,1521,576.1,0.854,687,0.1643,274,0.1403,413,0.1802,
MGC,9,45,09:45,890,719.8,1689,712.9,0.990,1058,716.2,1521,714.6,0.998,508,0.1059,140,0.0280,368,0.1355,
MGC,10,0,10:00,892,1054.2,1690,1185.4,1.125,1060,1052.1,1522,1201.4,1.142,612,0.0935,127,0.1499,485,0.0787,1000 (Tokyo)
MGC,10,15,10:15,892,893.3,1690,1009.1,1.130,1060,898.1,1522,1018.6,1.134,385,0.0829,112,0.1598,273,0.0513,
MGC,10,30,10:30,892,898.6,1690,1009.0,1.123,1060,910.6,1522,1012.8,1.112,462,0.0481,206,0.0403,256,0.0545,
MGC,10,45,10:45,891,969.0,1690,1044.5,1.078,1059,980.4,1522,1045.0,1.066,402,0.0648,196,-0.0311,206,0.1560,
MGC,11,0,11:00,891,2298.4,1690,2371.1,1.032,1059,2295.8,1522,2380.9,1.037,449,0.0733,245,0.0987,204,0.0428,1100 (Singapore)
MGC,11,15,11:15,891,1593.6,1690,1674.4,1.051,1059,1598.9,1522,1679.6,1.051,259,0.0703,121,0.1345,138,0.0140,
MGC,11,30,11:30,891,1549.1,1690,1740.9,1.124,1059,1545.5,1522,1764.5,1.142,250,-0.0080,129,-0.0874,121,0.0766,1130 (HK/SG equity)
MGC,11,45,11:45,891,1391.6,1690,1500.7,1.078,1059,1401.2,1522,1506.1,1.075,196,0.0670,103,0.2275,93,-0.1108,
MGC,12,0,12:00,890,1446.2,1690,1466.7,1.014,1058,1437.0,1522,1475.3,1.027,215,-0.0162,113,-0.0292,102,-0.0019,
MGC,12,15,12:15,890,1082.1,1690,1057.8,0.978,1058,1072.9,1522,1061.6,0.989,154,0.0713,82,0.0302,72,0.1181,
MGC,12,30,12:30,890,1314.9,1690,1271.1,0.967,1058,1308.4,1522,1270.8,0.971,138,0.0188,72,-0.1475,66,0.2003,
MGC,12,45,12:45,890,1144.4,1690,1138.3,0.995,1058,1149.2,1522,1134.3,0.987,147,0.0549,80,-0.0448,67,0.1738,
MGC,13,0,13:00,889,1146.1,1690,1126.2,0.983,1057,1136.6,1522,1130.6,0.995,147,0.1482,71,0.0853,76,0.2071,
MGC,13,15,13:15,889,1032.7,1690,993.5,0.962,1057,1030.3,1522,990.8,0.962,130,-0.1372,70,-0.2321,60,-0.0265,
MGC,13,30,13:30,890,865.7,1690,800.7,0.925,1058,852.5,1522,802.7,0.942,140,0.1993,60,0.0266,80,0.3288,
MGC,13,45,13:45,891,720.0,1690,728.8,1.012,1059,723.1,1522,727.6,1.006,99,0.0813,56,0.1418,43,0.0025,
MGC,14,0,14:00,891,760.3,1690,754.3,0.992,1059,754.8,1522,757.5,1.004,175,0.2477,59,0.0042,116,0.3716,
MGC,14,15,14:15,891,686.3,1690,659.1,0.960,1059,689.0,1522,654.3,0.950,109,-0.0404,44,-0.0157,65,-0.0571,
MGC,14,30,14:30,891,651.7,1690,746.8,1.146,1059,683.7,1522,735.0,1.075,147,0.1528,72,-0.0891,75,0.3850,
MGC,14,45,14:45,891,662.7,1690,696.4,1.051,1059,668.7,1522,695.9,1.041,111,0.0738,41,-0.0721,70,0.1592,
MGC,15,0,15:00,891,717.8,1690,885.5,1.234,1059,739.0,1522,889.2,1.203,158,0.1898,79,0.0146,79,0.3650,
MGC,15,15,15:15,891,750.4,1690,873.2,1.164,1059,758.4,1522,881.2,1.162,107,0.2285,49,0.0462,58,0.3825,
MGC,15,30,15:30,891,1376.9,1690,1554.3,1.129,1059,1388.1,1522,1566.1,1.128,105,-0.0046,53,-0.1227,52,0.1157,
MGC,15,45,15:45,891,1190.3,1690,1361.1,1.144,1059,1203.0,1522,1371.1,1.140,83,-0.1159,40,0.0982,43,-0.3150,
MGC,16,0,16:00,891,1357.3,1690,2105.9,1.552,1059,1400.8,1522,2158.3,1.541,98,0.1337,58,0.2272,40,-0.0017,
MGC,16,15,16:15,891,1201.3,1690,1996.4,1.662,1059,1247.0,1522,2052.3,1.646,59,-0.1280,42,-0.0454,17,-0.3323,
MGC,16,30,16:30,891,1223.0,1690,1945.4,1.591,1059,1270.4,1522,1992.2,1.568,74,0.2064,47,-0.0308,27,0.6194,
MGC,16,45,16:45,891,1204.3,1690,1929.6,1.602,1059,1247.4,1522,1979.6,1.587,59,-0.1822,38,-0.1676,21,-0.2085,
MGC,17,0,17:00,891,1832.9,1690,2681.3,1.463,1059,1870.7,1522,2748.6,1.469,35,0.3250,35,0.3250,0,,London summer
MGC,17,15,17:15,891,1709.5,1690,2206.0,1.290,1059,1733.8,1522,2243.9,1.294,18,0.0270,18,0.0270,0,,
MGC,17,30,17:30,891,1753.7,1690,2121.9,1.210,1059,1767.5,1522,2152.9,1.218,15,0.2946,15,0.2946,0,,
MGC,17,45,17:45,891,1651.8,1690,1946.4,1.178,1059,1681.9,1522,1957.9,1.164,15,-0.0481,15,-0.0481,0,,
MGC,18,0,18:00,891,2687.7,1690,2196.2,0.817,1059,2664.9,1522,2157.8,0.810,213,0.1393,0,,213,0.1393,1800 (London winter)
MGC,18,15,18:15,891,2196.9,1690,1907.6,0.868,1059,2200.5,1522,1873.1,0.851,66,0.2132,0,,66,0.2132,
MGC,18,30,18:30,891,2141.7,1690,1859.2,0.868,1059,2134.5,1522,1833.0,0.859,56,0.1786,0,,56,0.1786,
MGC,18,45,18:45,891,1914.2,1690,1683.6,0.880,1059,1917.9,1522,1655.6,0.863,40,0.1424,0,,40,0.1424,
MGC,19,0,19:00,891,1979.8,1690,1763.8,0.891,1059,1990.7,1522,1732.4,0.870,182,0.4443,124,0.4261,58,0.4833,
MGC,19,15,19:15,891,1772.3,1690,1658.4,0.936,1059,1787.2,1522,1635.5,0.915,92,0.1126,46,0.4420,46,-0.2168,
MGC,19,30,19:30,891,1692.3,1690,1961.3,1.159,1059,1730.2,1522,1964.6,1.136,91,0.4342,47,0.5801,44,0.2783,
MGC,19,45,19:45,891,1583.5,1690,1514.2,0.956,1059,1620.4,1522,1480.9,0.914,84,-0.1721,41,-0.0239,43,-0.3134,
MGC,20,0,20:00,891,1601.6,1690,1606.3,1.003,1059,1656.2,1522,1568.8,0.947,146,0.2655,51,0.1765,95,0.3134,
MGC,20,15,20:15,891,1468.4,1690,1542.0,1.050,1059,1536.3,1522,1502.8,0.978,90,0.1234,37,0.0450,53,0.1780,
MGC,20,30,20:30,891,1966.6,1690,1630.0,0.829,1059,2030.2,1522,1548.6,0.763,101,0.3134,34,0.2152,67,0.3633,
MGC,20,45,20:45,891,1338.1,1690,1574.4,1.177,1059,1416.9,1522,1545.6,1.091,97,0.1443,38,0.1053,59,0.1695,
MGC,21,0,21:00,891,1515.4,1690,1891.3,1.248,1059,1585.1,1522,1884.3,1.189,358,0.1983,131,0.1088,227,0.2499,
MGC,21,15,21:15,891,1435.4,1690,1816.9,1.266,1059,1517.6,1522,1801.8,1.187,188,0.0937,75,-0.1167,113,0.2334,
MGC,21,30,21:30,891,1525.9,1690,2122.8,1.391,1059,1625.1,1522,2119.6,1.304,178,0.1619,72,0.1455,106,0.1731,
MGC,21,45,21:45,891,1591.3,1690,2207.4,1.387,1059,1684.7,1522,2210.4,1.312,132,0.0555,54,-0.2250,78,0.2496,
MGC,22,0,22:00,891,2001.1,1690,3292.5,1.645,1059,2242.3,1522,3267.2,1.457,158,0.1099,66,-0.1364,92,0.2865,
MGC,22,15,22:15,891,1878.1,1690,5013.2,2.669,1059,2355.2,1522,5027.4,2.135,92,0.0422,40,-0.3022,52,0.3072,
MGC,22,30,22:30,891,1914.9,1690,7988.8,4.172,1059,2722.0,1522,8097.7,2.975,143,0.1735,70,0.1510,73,0.1950,US data summer
