month,0,1,uplift_on_vs_off
2024-02,-0.32524166666666665,,
2024-03,0.15892222222222224,,
2024-04,1.0631212121212121,,
2024-05,0.23937753623188407,,
2024-06,-0.6537518518518518,1.8516333333333332,2.505385185185185
2024-07,0.18156,0.3754291666666667,0.1938691666666667
2024-08,1.1378071428571428,,
2024-09,-0.36177499999999996,,
2024-10,0.36090594059405934,,
2024-11,-0.22503333333333334,,
2024-12,-0.49246666666666666,,
2025-01,1.5599733333333332,,
2025-02,-0.028747619047619043,,
2025-03,0.07199999999999997,,
2025-04,0.013665873015873013,,
2025-05,-0.4228875,0.5335357142857143,0.9564232142857143
2025-06,-0.6896222222222222,,
2025-07,-0.12644791666666666,,
2025-08,0.3064572463768116,,
2025-09,0.21733333333333332,,
2025-10,0.3341875,,
2025-11,0.3603098039215686,,
2025-12,0.3829166666666667,,
2026-01,-0.34972,,
