candidate_id,variant,year,n,avg_r,wr
A1,baseline,2021,84,0.07484166666666667,0.4642857142857143
A1,baseline,2022,114,0.018221052631578943,0.43859649122807015
A1,baseline,2023,97,-0.20623608247422678,0.35051546391752575
A1,baseline,2024,83,0.22972530120481927,0.5421686746987951
A1,baseline,2025,104,0.286523076923077,0.5576923076923077
A1,baseline,2026,11,0.26242727272727273,0.5454545454545454
A1,veto_D,2021,84,0.07484166666666667,0.4642857142857143
A1,veto_D,2022,114,0.018221052631578943,0.43859649122807015
A1,veto_D,2023,97,-0.20623608247422678,0.35051546391752575
A1,veto_D,2024,83,0.22972530120481927,0.5421686746987951
A1,veto_D,2025,103,0.2772194174757281,0.5533980582524272
A1,veto_D,2026,11,0.26242727272727273,0.5454545454545454
A1,bqs_ge3,2021,26,0.06982692307692308,0.46153846153846156
A1,bqs_ge3,2022,24,-0.140625,0.375
A1,bqs_ge3,2023,22,-0.27185000000000004,0.3181818181818182
A1,bqs_ge3,2024,6,0.4603666666666666,0.6666666666666666
A1,bqs_ge3,2025,52,0.4609692307692307,0.6346153846153846
A1,bqs_ge3,2026,6,0.1842,0.5
A1,strict_all4,2021,9,-0.21484444444444445,0.3333333333333333
A1,strict_all4,2022,9,-0.2361666666666667,0.3333333333333333
A1,strict_all4,2023,5,-0.53882,0.2
A1,strict_all4,2025,11,0.2517181818181818,0.5454545454545454
A2,baseline,2021,104,-0.018511538461538447,0.4807692307692308
A2,baseline,2022,159,0.0906496855345912,0.5345911949685535
A2,baseline,2023,133,-0.02262706766917294,0.49624060150375937
A2,baseline,2024,115,0.13027565217391304,0.5565217391304348
A2,baseline,2025,107,0.03764392523364484,0.5233644859813084
A2,baseline,2026,12,-0.22663333333333333,0.4166666666666667
A2,veto_D,2021,103,-0.02425631067961165,0.47572815533980584
A2,veto_D,2022,159,0.0906496855345912,0.5345911949685535
A2,veto_D,2023,126,0.0029801587301587183,0.5079365079365079
A2,veto_D,2024,112,0.14466339285714286,0.5625
A2,veto_D,2025,103,0.03928058252427184,0.5242718446601942
A2,veto_D,2026,10,-0.07196,0.5
A2,bqs_ge3,2021,35,-0.11713428571428572,0.42857142857142855
A2,bqs_ge3,2023,43,-0.1316348837209302,0.4418604651162791
A2,bqs_ge3,2024,10,0.2777299999999999,0.6
A2,bqs_ge3,2025,51,-0.014692156862745106,0.5098039215686274
A2,bqs_ge3,2026,6,-0.3966333333333332,0.3333333333333333
A2,strict_all4,2021,6,-1.0,0.0
A2,strict_all4,2023,6,-0.6892999999999999,0.16666666666666666
A2,strict_all4,2024,1,1.1274,1.0
A2,strict_all4,2025,12,0.09625000000000002,0.5833333333333334
A3,baseline,2021,84,-0.010420238095238087,0.42857142857142855
A3,baseline,2022,113,-0.0556008849557522,0.40707964601769914
A3,baseline,2023,104,-0.0671769230769231,0.41346153846153844
A3,baseline,2024,96,0.138653125,0.5
A3,baseline,2025,91,0.23440439560439558,0.5384615384615384
A3,baseline,2026,8,-0.4211375,0.25
A3,veto_D,2021,81,0.026230864197530852,0.4444444444444444
A3,veto_D,2022,112,-0.04716874999999999,0.4107142857142857
A3,veto_D,2023,104,-0.0671769230769231,0.41346153846153844
A3,veto_D,2024,96,0.138653125,0.5
A3,veto_D,2025,89,0.2108651685393258,0.5280898876404494
A3,veto_D,2026,8,-0.4211375,0.25
A3,bqs_ge3,2022,17,0.06431176470588233,0.47058823529411764
A3,bqs_ge3,2023,13,-0.6495307692307691,0.15384615384615385
A3,bqs_ge3,2024,47,0.26317446808510636,0.5531914893617021
A3,bqs_ge3,2025,50,0.3277979999999999,0.58
A3,bqs_ge3,2026,6,-0.59945,0.16666666666666666
A3,strict_all4,2022,8,-0.13185,0.375
