bucket,n,wr,avg_r,total_r
baseline,1184,0.2939189189189189,0.07356005067567568,87.0951
on,386,0.3471502590673575,0.27670673575129534,106.8088
off,798,0.2681704260651629,-0.02470388471177946,-19.71370000000001
uplift,386,0.07897983300219463,0.3014106204630748,126.52250000000001
