label,n,avg_r,wr,total_r,sharpe,median_mfe,mfe_gte_0.5R,mfe_gte_1.0R,mfe_gte_1.5R,mfe_gte_2.0R,mfe_gte_2.5R,mfe_gte_3.0R,instrument,session,lookback,test,threshold
EXPAND>=1.5x (N=265),265,-0.0889166037735849,0.18867924528301888,-23.5629,-0.061771283737436934,0.4389,0.4716981132075472,0.35094339622641507,0.2792452830188679,0.24150943396226415,0.18867924528301888,0.12830188679245283,MGC,0900,7,expansion_ratio,>=1.5
CONTRACT<1.5x (N=698),698,-0.4874828080229227,0.13896848137535817,-340.26300000000003,-0.4694425908491355,0.32365,0.4169054441260745,0.2507163323782235,0.1833810888252149,0.1332378223495702,0.08882521489971347,0.044412607449856735,MGC,0900,7,expansion_ratio,<1.5
EXPAND>=2.0x (N=150),150,-0.007652666666666675,0.20666666666666667,-1.1479000000000013,-0.005122673919344489,0.50795,0.5,0.36666666666666664,0.2866666666666667,0.25333333333333335,0.21333333333333335,0.15333333333333332,MGC,0900,7,expansion_ratio,>=2.0
CONTRACT<2.0x (N=813),813,-0.4460984009840098,0.14268142681426815,-362.678,-0.4077367788582414,0.3247,0.4194341943419434,0.26199261992619927,0.19557195571955718,0.14637146371463713,0.0984009840098401,0.05166051660516605,MGC,0900,7,expansion_ratio,<2.0
EXPAND>=3.0x (N=60),60,0.23188833333333334,0.25,13.9133,0.14220194452435478,0.58735,0.5333333333333333,0.36666666666666664,0.3,0.3,0.25,0.2,MGC,0900,7,expansion_ratio,>=3.0
CONTRACT<3.0x (N=903),903,-0.4183158361018826,0.1461794019933555,-377.7392,-0.3708514317417197,0.3307,0.42524916943521596,0.2724252491694352,0.20376522702104097,0.1539313399778516,0.10741971207087486,0.058693244739756366,MGC,0900,7,expansion_ratio,<3.0
"r(expansion,pnl)=0.103 p=0.0014 | r(expansion,mfe)=0.100 p=0.0018",963,0.10306091033659456,0.0013619842382121955,,,0.10021202766252994,,,,,,,MGC,0900,7,expansion_ratio_correlation,continuous
POST-NR7 (N=156),156,-0.44815192307692303,0.14743589743589744,-69.9117,-0.42743910378858796,0.27475,0.36538461538461536,0.2692307692307692,0.21153846153846154,0.1282051282051282,0.08333333333333333,0.05128205128205128,MGC,0900,7,post_nr,post_nr=True
NOT-NR7 (N=814),814,-0.3664382063882064,0.15356265356265356,-298.2807,-0.306349539735256,0.37460000000000004,0.44717444717444715,0.2800982800982801,0.20884520884520885,0.1683046683046683,0.12162162162162163,0.07002457002457002,MGC,0900,7,post_nr,post_nr=False
pnl t=-0.87 p=0.3860 | mfe t=-1.10 p=0.2714,156,-0.08171371668871663,,,,,,,,,,,MGC,0900,7,post_nr_significance,t-test
"r(expansion_ratio, abs_size)=0.379 p=0.0000",963,0.37939877073317263,,,,,,,,,,,MGC,0900,7,confound_check,ratio_vs_abs_size
SIZE=small (0.0-0.7pt): expanding=-0.649R(N=160) contracting=-0.691R(N=155) diff=+0.041R p=0.6094,315,0.04143485887096787,0.6093634813936816,,,0.12026969758064521,,,,,,,MGC,0900,7,expansion_within_size_band,small
SIZE=medium (0.7-1.6pt): expanding=-0.387R(N=178) contracting=-0.410R(N=151) diff=+0.024R p=0.8445,329,0.023582394523401995,0.8445437934519495,,,0.10963905052459244,,,,,,,MGC,0900,7,expansion_within_size_band,medium
SIZE=large (1.6-100.6pt): expanding=0.017R(N=161) contracting=-0.157R(N=158) diff=+0.173R p=0.3065,319,0.17329972089000706,0.3065109264072217,,,0.13479329349791658,,,,,,,MGC,0900,7,expansion_within_size_band,large
ALL (N=960),960,-0.3795413541666666,0.15208333333333332,-364.3597,-0.32272326393756245,0.34904999999999997,0.4322916666666667,0.278125,0.209375,0.1625,0.11666666666666667,0.06770833333333333,MGC,0900,10,expansion_ratio,ALL
EXPAND>=1.0x (N=499),499,-0.2666422845691383,0.15831663326653306,-133.05450000000002,-0.20618026536353304,0.4348,0.47695390781563124,0.3226452905811623,0.24649298597194388,0.20240480961923848,0.1523046092184369,0.09418837675350701,MGC,0900,10,expansion_ratio,>=1.0
CONTRACT<1.0x (N=461),461,-0.5017466377440347,0.14533622559652928,-231.3052,-0.4917311620985136,0.2778,0.3839479392624729,0.2299349240780911,0.16919739696312364,0.1193058568329718,0.07809110629067245,0.039045553145336226,MGC,0900,10,expansion_ratio,<1.0
EXPAND>=1.25x (N=340),340,-0.14119382352941176,0.17941176470588235,-48.0059,-0.1014870200000907,0.42710000000000004,0.4647058823529412,0.3323529411764706,0.26176470588235295,0.22941176470588234,0.17647058823529413,0.12058823529411765,MGC,0900,10,expansion_ratio,>=1.25
CONTRACT<1.25x (N=620),620,-0.510248064516129,0.13709677419354838,-316.3538,-0.5022965784261476,0.32365,0.41451612903225804,0.24838709677419354,0.18064516129032257,0.12580645161290321,0.08387096774193549,0.03870967741935484,MGC,0900,10,expansion_ratio,<1.25
EXPAND>=1.5x (N=267),267,-0.0516438202247191,0.19850187265917604,-13.788899999999998,-0.03559198039123083,0.4321,0.4681647940074906,0.352059925093633,0.2808988764044944,0.24344569288389514,0.19101123595505617,0.1348314606741573,MGC,0900,10,expansion_ratio,>=1.5
