symbol,anchor,n_all,n_on,on_rate,avg_r_all,avg_r_on,avg_r_off,uplift_on_vs_all,uplift_on_vs_off,wr_all,wr_on,wr_off,max_dd_all,max_dd_on,dd_delta_on_minus_all
MNQ,0900,1589,90,0.056639395846444306,0.14880824417872876,0.8428666666666665,0.10713695797198132,0.6940584224879378,0.7357297086946852,0.3398363750786658,0.6222222222222222,0.3228819212808539,131.66920000000022,15.456199999999981,-116.21300000000024
MES,0900,6274,128,0.020401657634682817,-0.11989971310168952,0.17390234374999997,-0.12601859746176375,0.2938020568516895,0.2999209412117637,0.28960790564233346,0.4296875,0.2866905304262935,1026.501200000003,36.0,-990.5012000000031
MES,1100,6427,168,0.026139723043410612,-0.2962084642912712,-0.14269940476190476,-0.30032885444959256,0.15350905952936642,0.1576294496876878,0.2973393496187957,0.375,0.29525483304042177,1902.7317999999996,63.5205,-1839.2112999999995
MGC,0900,5184,126,0.024305555555555556,-0.28462833719135805,-0.2707142857142856,-0.2849749505733492,0.013914051477072475,0.014260664859063632,0.2689043209876543,0.23015873015873015,0.26986951364175565,1536.8189000000007,55.07979999999998,-1481.7391000000007
MGC,1000,5220,162,0.03103448275862069,-0.1631627969348659,-0.2601376543209877,-0.1600568406484777,-0.09697485738612177,-0.10008081367250998,0.32490421455938695,0.24691358024691357,0.3274021352313167,980.2907999999964,48.02360000000001,-932.2671999999964
MES,1000,7300,246,0.033698630136986304,-0.18099672602739728,-0.41840934959349596,-0.17271723844627163,-0.23741262356609869,-0.24569211114722433,0.2635616438356164,0.17886178861788618,0.26651545222568757,1726.3521999999966,102.3232999999999,-1624.0288999999966
MNQ,1100,1874,36,0.0192102454642476,0.052748772678762025,-0.36096944444444445,0.060852067464635486,-0.4137182171232065,-0.42182151190907996,0.3847385272145144,0.2777777777777778,0.3868335146898803,203.93730000000016,20.0,-183.93730000000016
MGC,1100,5748,126,0.021920668058455117,-0.192471503131524,-0.9866238095238095,-0.17467299893276414,-0.7941523063922855,-0.8119508105910453,0.33924843423799583,0.007936507936507936,0.34667378157239415,1305.5364000000013,123.3146,-1182.2218000000014
