symbol,n,n_on,avg_on,avg_off,uplift
MNQ,177162.0,172038.0,-0.028958369081249498,-0.19714502341920376,0.16818665433795427
MGC,498062.0,469271.0,-0.26664872962531244,-0.3585400541835991,0.09189132455828664
M6E,401863.0,380048.0,-0.33661938386730095,-0.422299862479945,0.08568047861264405
M2K,457719.0,422824.0,-0.2367536849847691,-0.3061579194727039,0.06940423448793479
MES,605903.0,573631.0,-0.14301890326708291,-0.19964385845314825,0.056624955186065334
