config,layer,group,n,avg_r,wr,t,p,bh_sig
MES_1000_E0 [ANCHOR],baseline,all,1250,0.0015376800000000003,0.3,0.039144929768693416,0.9687810954109847,False
MES_1000_E0 [ANCHOR],vel_x_comp,Expanding×Compressed,114,0.1998640350877193,0.38596491228070173,1.4963116222713226,0.13736030656781748,False
MES_1000_E0 [ANCHOR],vel_x_comp,Expanding×Neutral,114,-0.02842631578947367,0.2807017543859649,-0.20891120666389468,0.8348936849745595,False
MES_1000_E0 [ANCHOR],vel_x_comp,Expanding×Expanded,96,0.19134062500000001,0.3125,1.1992728984228194,0.23340453455126411,False
MES_1000_E0 [ANCHOR],vel_x_comp,Stable×Compressed,241,-0.03936016597510376,0.3278008298755187,-0.4717562747219327,0.6375293656619869,False
MES_1000_E0 [ANCHOR],vel_x_comp,Stable×Neutral,233,-0.045993562231759655,0.27467811158798283,-0.5068530745150601,0.6127393033925401,False
MES_1000_E0 [ANCHOR],vel_x_comp,Stable×Expanded,140,0.07461357142857142,0.2785714285714286,0.6008803189949737,0.5488982700623126,False
MES_1000_E0 [ANCHOR],vel_x_comp,Contracting×Compressed,112,-0.033374107142857136,0.3392857142857143,-0.27693225862532367,0.7823471666240895,False
MES_1000_E0 [ANCHOR],vel_x_comp,Contracting×Neutral,101,-0.368380198019802,0.1782178217821782,-3.137842154334077,0.0022365578489524952,True
MES_1000_E0 [ANCHOR],vel_x_comp,Contracting×Expanded,99,0.1485878787878788,0.31313131313131315,0.9976426851534865,0.3209096319264321,False
MGC_0900_E1,baseline,all,2441,-0.4379900450634986,0.21999180663662432,-24.907267172076935,3.3505196654724515e-122,True
MGC_0900_E1,vel_x_comp,Expanding×Compressed,148,-0.4844256756756756,0.22972972972972974,-7.061212556573251,6.090671347395386e-11,True
MGC_0900_E1,vel_x_comp,Expanding×Neutral,216,-0.3073111111111111,0.25462962962962965,-4.494911787504641,1.1371582437047397e-05,True
MGC_0900_E1,vel_x_comp,Expanding×Expanded,140,-0.11619357142857145,0.2642857142857143,-1.1715487587393552,0.24338253926496325,False
MGC_0900_E1,vel_x_comp,Stable×Compressed,573,-0.5335457242582897,0.2181500872600349,-16.812242946392846,7.680590413259406e-52,True
MGC_0900_E1,vel_x_comp,Stable×Neutral,609,-0.4754395730706075,0.20361247947454844,-14.239596825990203,6.472602131047341e-40,True
MGC_0900_E1,vel_x_comp,Stable×Expanded,250,-0.27436,0.252,-4.429317278095984,1.4165898152031886e-05,True
MGC_0900_E1,vel_x_comp,Contracting×Compressed,188,-0.5933882978723404,0.18617021276595744,-11.917933042040225,9.992560459886103e-25,True
MGC_0900_E1,vel_x_comp,Contracting×Neutral,199,-0.5095346733668342,0.18592964824120603,-9.560570510064052,4.7816053521543635e-18,True
MGC_0900_E1,vel_x_comp,Contracting×Expanded,113,-0.2918902654867257,0.23893805309734514,-3.1415398508472556,0.002150329219488202,True
MGC_0900_E0,baseline,all,1113,-0.3418159928122192,0.26235399820305483,-12.388576262131231,4.121399840954617e-33,True
MGC_0900_E0,vel_x_comp,Expanding×Compressed,69,-0.4866289855072463,0.21739130434782608,-5.467474902137941,7.050825313275115e-07,True
MGC_0900_E0,vel_x_comp,Expanding×Neutral,115,-0.09202869565217392,0.3565217391304348,-0.942376523501671,0.3479926859851816,False
MGC_0900_E0,vel_x_comp,Expanding×Expanded,77,-0.03338311688311687,0.2857142857142857,-0.22929611133772465,0.8192547261545364,False
MGC_0900_E0,vel_x_comp,Stable×Compressed,239,-0.4548861924686193,0.25523012552301255,-9.282639235636235,1.0645194033809621e-17,True
MGC_0900_E0,vel_x_comp,Stable×Neutral,265,-0.3385041509433962,0.2830188679245283,-5.982593326313801,7.120673988898914e-09,True
MGC_0900_E0,vel_x_comp,Stable×Expanded,116,-0.2833094827586206,0.23275862068965517,-3.169586540238019,0.0019564405429451466,True
MGC_0900_E0,vel_x_comp,Contracting×Compressed,82,-0.47595243902439016,0.21951219512195122,-5.468547832151256,4.907833230380767e-07,True
MGC_0900_E0,vel_x_comp,Contracting×Neutral,98,-0.4963602040816328,0.21428571428571427,-6.050307106160588,2.713063483436982e-08,True
MGC_0900_E0,vel_x_comp,Contracting×Expanded,52,-0.2837173076923077,0.23076923076923078,-2.0434052913962124,0.04619490106857106,False
MGC_1000_E0,baseline,all,1210,-0.21662727272727275,0.2975206611570248,-6.633759589474776,4.924523379605344e-11,True
MGC_1000_E0,vel_x_comp,Expanding×Compressed,79,-0.07963164556962024,0.4177215189873418,-0.6406618742985288,0.5236201671857971,False
MGC_1000_E0,vel_x_comp,Expanding×Neutral,121,-0.22182314049586777,0.2727272727272727,-2.0391155020349188,0.043635014410513207,False
MGC_1000_E0,vel_x_comp,Expanding×Expanded,81,-0.004848148148148133,0.2839506172839506,-0.031468824447271414,0.9749740325132593,False
MGC_1000_E0,vel_x_comp,Stable×Compressed,243,-0.2249654320987654,0.36213991769547327,-3.267350411336521,0.0012429884309879357,True
MGC_1000_E0,vel_x_comp,Stable×Neutral,276,-0.2634557971014493,0.27898550724637683,-4.091129905633722,5.644325720075436e-05,True
