variant,n,signals_per_year,avg_r,wr,delta_avg_vs_base,delta_test2025_vs_base
exclude_wed_thu,225,37.5,0.45540977777777786,0.39555555555555555,0.17870304202648252,0.016871153846153814
mon_tue_fri,225,37.5,0.45540977777777786,0.39555555555555555,0.17870304202648252,0.016871153846153814
exclude_wed,311,51.833333333333336,0.3885881028938907,0.3762057877813505,0.11188136714259533,0.1132386269644334
leader_fast30_ex_wed,311,51.833333333333336,0.3885881028938907,0.3762057877813505,0.11188136714259533,0.1132386269644334
nonstretch_ex_wed,248,41.333333333333336,0.33336975806451613,0.3629032258064516,0.05666302231322079,0.20470918414918418
leader_cont,384,64.0,0.28335625000000003,0.3489583333333333,0.006649514248704691,0.01479074259074259
base,386,64.33333333333333,0.27670673575129534,0.3471502590673575,0.0,0.0
leader_fast30,386,64.33333333333333,0.27670673575129534,0.3471502590673575,0.0,0.0
