symbol,session,rr_target,confirm_bars,t80_minutes,n_before,n_after,avg_r_before,avg_r_after,wr_before,wr_after,t_stat,p_val,p_bh,verdict
MES,0900,2.0,1,119.0,3175,498,-0.2206,0.3926,0.3783,0.5422,6.7883,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,0900,2.0,2,144.0,1409,212,-0.1604,0.5693,0.3925,0.6085,6.5048,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,0900,2.0,3,206.0,1200,167,-0.1871,0.5267,0.3667,0.5808,5.2031,1e-06,5e-06,NO-BENEFIT (avg_r_after >= 0)
MES,0900,2.0,4,221.0,1070,170,-0.1773,0.3664,0.3607,0.5235,3.6359,0.000367,0.000987,NO-BENEFIT (avg_r_after >= 0)
MES,0900,2.0,5,219.0,1023,176,-0.1217,0.2611,0.3832,0.4773,2.6064,0.00994,0.017772,NO-BENEFIT (avg_r_after >= 0)
MES,0900,2.5,1,166.0,3230,446,-0.2596,0.5229,0.3096,0.509,7.3264,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,0900,2.5,2,261.0,1420,199,-0.1851,0.5269,0.3261,0.5025,4.8495,2e-06,9e-06,NO-BENEFIT (avg_r_after >= 0)
MES,0900,2.5,3,301.0,1198,163,-0.2121,0.4631,0.3038,0.4785,3.841,0.000176,0.000514,NO-BENEFIT (avg_r_after >= 0)
MES,0900,2.5,4,349.0,1079,158,-0.2173,0.493,0.2929,0.4873,4.0175,9.1e-05,0.00028,NO-BENEFIT (avg_r_after >= 0)
MES,0900,2.5,5,339.0,1033,164,-0.1658,0.3157,0.3098,0.4268,2.6346,0.009237,0.016758,NO-BENEFIT (avg_r_after >= 0)
MES,0900,3.0,1,236.0,3245,429,-0.2547,0.573,0.2737,0.4569,6.8749,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,0900,3.0,2,362.0,1425,191,-0.1778,0.541,0.2884,0.445,4.3081,2.6e-05,9.1e-05,NO-BENEFIT (avg_r_after >= 0)
MES,0900,3.0,3,398.0,1194,165,-0.2232,0.4825,0.263,0.4242,3.5576,0.00049,0.001267,NO-BENEFIT (avg_r_after >= 0)
MES,0900,3.0,4,426.0,1085,147,-0.2208,0.6425,0.2562,0.4694,4.4221,1.9e-05,6.8e-05,NO-BENEFIT (avg_r_after >= 0)
MES,0900,3.0,5,434.0,1053,142,-0.1711,0.5375,0.2697,0.4366,3.636,0.000387,0.001028,NO-BENEFIT (avg_r_after >= 0)
MES,0900,4.0,1,379.0,3255,407,-0.2504,0.6964,0.2194,0.4029,6.7468,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,0900,4.0,2,449.0,1423,185,-0.1723,0.6368,0.2326,0.3838,4.1349,5.4e-05,0.000175,NO-BENEFIT (avg_r_after >= 0)
MES,0900,4.0,3,483.0,1194,156,-0.214,0.5144,0.2127,0.3526,3.1038,0.002271,0.004801,NO-BENEFIT (avg_r_after >= 0)
MES,0900,4.0,4,541.0,1101,125,-0.2427,0.8126,0.1989,0.416,4.2004,5e-05,0.000165,NO-BENEFIT (avg_r_after >= 0)
MES,0900,4.0,5,568.0,1061,129,-0.1934,0.6177,0.2092,0.3721,3.3162,0.001188,0.002704,NO-BENEFIT (avg_r_after >= 0)
MES,1000,1.0,1,39.0,3496,737,-0.0592,0.0252,0.6078,0.6119,0.8303,0.406652,0.471462,NO-BENEFIT (avg_r_after >= 0)
MES,1000,1.0,2,59.0,1208,248,-0.0193,-0.0264,0.6142,0.5685,-0.4857,0.627636,0.675916,DIRECTIONAL (not significant)
MES,1000,1.0,3,68.0,749,198,-0.0476,-0.0564,0.5874,0.5455,-0.9148,0.361413,0.426341,DIRECTIONAL (not significant)
MES,1000,1.0,4,75.0,594,155,-0.0297,-0.0103,0.5892,0.5677,-0.1473,0.883061,0.897577,DIRECTIONAL (not significant)
MES,1000,1.5,1,75.0,3458,741,-0.0536,0.0413,0.4905,0.5007,1.0716,0.284265,0.349213,NO-BENEFIT (avg_r_after >= 0)
MES,1000,1.5,2,106.0,1215,223,-0.0419,0.1606,0.4831,0.5381,2.2132,0.027904,0.043866,NO-BENEFIT (avg_r_after >= 0)
MES,1000,1.5,3,149.0,779,155,-0.0611,0.1421,0.4621,0.529,1.6275,0.105671,0.14574,NO-BENEFIT (avg_r_after >= 0)
MES,1000,1.5,4,166.0,603,131,-0.073,0.1868,0.4494,0.542,1.9427,0.054218,0.081108,NO-BENEFIT (avg_r_after >= 0)
MES,1000,2.0,1,117.0,3542,645,-0.0558,0.1955,0.4091,0.4775,3.9366,9.2e-05,0.000282,NO-BENEFIT (avg_r_after >= 0)
MES,1000,2.0,2,241.0,1247,183,-0.0485,0.3718,0.401,0.5301,3.8618,0.000156,0.000461,NO-BENEFIT (avg_r_after >= 0)
MES,1000,2.0,3,291.0,806,127,-0.0552,0.2148,0.3871,0.4724,1.868,0.064088,0.094152,NO-BENEFIT (avg_r_after >= 0)
MES,1000,2.0,4,302.0,616,118,-0.0644,0.333,0.3782,0.5085,2.7355,0.007199,0.013354,NO-BENEFIT (avg_r_after >= 0)
MES,1000,2.5,1,228.0,3622,564,-0.0804,0.3875,0.3404,0.477,6.2824,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1000,2.5,2,332.0,1245,183,-0.043,0.41,0.3454,0.4699,3.6729,0.000315,0.000869,NO-BENEFIT (avg_r_after >= 0)
MES,1000,2.5,3,369.0,799,133,-0.058,0.3191,0.3329,0.4361,2.4324,0.016337,0.027364,NO-BENEFIT (avg_r_after >= 0)
MES,1000,2.5,4,398.0,627,107,-0.0683,0.3692,0.3222,0.4486,2.4934,0.0142,0.024111,NO-BENEFIT (avg_r_after >= 0)
MES,1000,3.0,1,329.0,3677,507,-0.0989,0.5718,0.2926,0.4714,7.6735,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1000,3.0,2,410.0,1251,175,-0.0327,0.5908,0.3062,0.4686,4.5689,9e-06,3.5e-05,NO-BENEFIT (avg_r_after >= 0)
MES,1000,3.0,3,411.0,790,139,-0.0635,0.2033,0.2899,0.3525,1.457,0.147392,0.194946,NO-BENEFIT (avg_r_after >= 0)
MES,1000,3.0,4,433.0,624,108,-0.1133,0.4286,0.2692,0.4074,2.5639,0.011737,0.020395,NO-BENEFIT (avg_r_after >= 0)
MES,1000,4.0,1,435.0,3759,419,-0.1431,0.8358,0.2227,0.4415,8.2205,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
