symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift,n_test_on,n_test_off
MES,CME_CLOSE,E0,1,1.0,fast_le_15,1503,1305,163.125,0.13929662835249043,-0.0965010101010101,0.23579763845350055,0.664367816091954,0.601010101010101,0,0,,0.25267058353858884,,229,1
MES,1000,E0,2,2.5,size_q75_plus,637,168,21.0,0.13587738095238094,-0.08932963752665246,0.2252070184790334,0.3630952380952381,0.35607675906183367,3,3,1.0,,,0,0
MES,1000,E0,1,4.0,fast_and_q75,1765,354,44.25,0.13564237288135597,-0.0888029057406095,0.22444527862196548,0.2570621468926554,0.24592487597448617,3,5,0.6,0.1328335458204919,0.43395563539025067,84,169
MES,US_EQUITY_OPEN,E0,2,1.5,size_q75_plus,735,185,23.125,0.13304540540540538,0.05670236363636365,0.07634304176904173,0.4756756756756757,0.4763636363636364,1,3,0.3333333333333333,,,0,0
MES,CME_CLOSE,E0,1,2.0,size_q75_plus,1145,296,37.0,0.13262094594594595,0.033483510011778565,0.09913743593416738,0.40878378378378377,0.4287396937573616,3,5,0.6,,,0,0
MES,US_EQUITY_OPEN,E0,2,1.0,fast_and_q75,742,170,21.25,0.13199529411764704,0.05669160839160839,0.07530368572603865,0.5941176470588235,0.5944055944055944,3,3,1.0,,,0,0
MES,US_EQUITY_OPEN,E0,2,1.5,long_only,735,371,46.375,0.13136361185983828,0.01940604395604397,0.1119575679037943,0.5013477088948787,0.45054945054945056,4,7,0.5714285714285714,,,0,0
MES,LONDON_OPEN,E0,2,1.0,fast_and_q75,658,153,19.125,0.13135032679738562,-0.004267326732673249,0.13561765353005886,0.6209150326797386,0.6336633663366337,2,3,0.6666666666666666,,,0,0
MES,1000,E0,1,1.0,fast_and_q75,1770,355,44.375,0.13110816901408454,-0.0663321554770318,0.19744032449111634,0.6366197183098592,0.6247349823321555,5,5,1.0,0.18251762358429585,0.256532326007326,84,169
MES,0030,E0,2,2.5,long_fast,690,273,34.125,0.13052380952380951,0.06168009592326141,0.06884371360054811,0.3663003663003663,0.3501199040767386,3,6,0.5,,,0,0
MES,CME_CLOSE,E0,1,1.5,fast_le_15,1308,1132,141.5,0.13030159010600706,-0.14411477272727272,0.27441636283327975,0.5309187279151943,0.45454545454545453,0,0,,0.29252977136514985,,206,1
MES,1000,E0,1,3.0,fast_and_q75,1767,354,44.25,0.13028361581920905,-0.060398938428874734,0.19068255424808378,0.3192090395480226,0.31634819532908703,2,5,0.4,0.09075752276295135,0.46884883770076075,84,169
MES,US_EQUITY_OPEN,E0,2,2.0,size_q50_plus,724,362,45.25,0.12857430939226516,0.10350773480662985,0.025066574585635312,0.4005524861878453,0.42265193370165743,4,5,0.8,,,0,0
MES,1100,E0,2,1.0,size_q75_plus,652,176,22.0,0.12718863636363634,-0.11031617647058822,0.23750481283422456,0.6477272727272727,0.6407563025210085,3,3,1.0,,,0,0
MES,0030,E0,2,2.0,size_q50_plus,709,369,46.125,0.12687181571815723,0.08186029411764707,0.045011521600510154,0.4065040650406504,0.43823529411764706,4,6,0.6666666666666666,,,0,0
MES,0030,E0,2,1.0,long_fast,727,287,35.875,0.12588571428571427,0.06100522727272727,0.06488048701298699,0.6376306620209059,0.6113636363636363,4,6,0.6666666666666666,,,0,0
MES,0030,E0,2,2.0,size_q75_plus,709,171,21.375,0.12535438596491227,0.09890817843866173,0.026446207526250542,0.39766081871345027,0.42936802973977695,2,4,0.5,,,0,0
