instrument,session,dst_regime,delay_bucket,n,sample_class,win_rate,avg_r,total_r,sharpe,pvalue,pvalue_bh,pct_of_fills
MGC,0030,SUMMER,20-30,11,INVALID,0.181800,-0.587500,-6.460000,-1.209700,0.003343,0.011283,1.900000
MGC,0030,SUMMER,30+,224,CORE,0.308000,-0.245000,-54.890000,-0.255900,0.000172,0.000733,38.400000
MGC,0030,WINTER,0-2,297,CORE,0.202000,-0.544400,-161.680000,-0.909400,0.000000,0.000000,60.500000
MGC,0030,WINTER,2-5,6,INVALID,0.500000,0.282800,1.700000,0.322500,0.503140,0.720263,1.200000
MGC,0030,WINTER,5-10,13,INVALID,0.384600,-0.243400,-3.160000,-0.359100,0.237318,0.427172,2.600000
MGC,0030,WINTER,10-20,9,INVALID,0.111100,-0.585700,-5.270000,-1.334100,0.005438,0.016941,1.800000
MGC,0030,WINTER,20-30,18,INVALID,0.388900,-0.084100,-1.510000,-0.090300,0.714337,0.898837,3.700000
MGC,0030,WINTER,30+,148,PRELIMINARY,0.358100,-0.223000,-33.000000,-0.275800,0.001049,0.003862,30.100000
MGC,0900,SUMMER,0-2,8,INVALID,0.375000,-0.504800,-4.040000,-0.771300,0.080635,0.176525,22.200000
MGC,0900,SUMMER,2-5,1,INVALID,0.000000,-1.000000,-1.000000,,,,2.800000
MGC,0900,SUMMER,5-10,0,INVALID,,,,,,,0.000000
MGC,0900,SUMMER,10-20,1,INVALID,0.000000,-1.000000,-1.000000,,,,2.800000
MGC,0900,SUMMER,20-30,3,INVALID,0.666700,1.000000,3.000000,0.707100,0.422650,0.645937,8.300000
MGC,0900,SUMMER,30+,23,INVALID,0.347800,0.059200,1.360000,0.045300,0.833617,0.900306,63.900000
MGC,0900,WINTER,0-2,21,INVALID,0.285700,-0.283000,-5.940000,-0.278000,0.228090,0.427172,29.600000
MGC,0900,WINTER,2-5,3,INVALID,0.000000,-1.000000,-3.000000,,0.000000,0.000000,4.200000
MGC,0900,WINTER,5-10,0,INVALID,,,,,,,0.000000
MGC,0900,WINTER,10-20,6,INVALID,0.166700,-0.616900,-3.700000,-1.124400,0.053549,0.127573,8.500000
MGC,0900,WINTER,20-30,2,INVALID,0.000000,-1.000000,-2.000000,,0.000000,0.000000,2.800000
MGC,0900,WINTER,30+,39,REGIME,0.128200,-0.762800,-29.750000,-1.159700,0.000000,0.000000,54.900000
MGC,1000,ALL,0-2,66,REGIME,0.136400,-0.594400,-39.230000,-0.625900,0.000004,0.000019,36.700000
MGC,1000,ALL,2-5,6,INVALID,0.333300,0.253000,1.520000,0.198700,0.675460,0.896922,3.300000
MGC,1000,ALL,5-10,11,INVALID,0.363600,-0.030100,-0.330000,-0.027200,0.933089,0.940322,6.100000
MGC,1000,ALL,10-20,10,INVALID,0.500000,0.331600,3.320000,0.266200,0.445131,0.667697,5.600000
MGC,1000,ALL,20-30,13,INVALID,0.461500,0.384600,5.000000,0.257200,0.390511,0.614474,7.200000
MGC,1000,ALL,30+,74,REGIME,0.310800,-0.315400,-23.340000,-0.320400,0.007773,0.023319,41.100000
MGC,1800,SUMMER,0-2,140,PRELIMINARY,0.157100,-0.578300,-80.970000,-0.784600,0.000000,0.000000,51.300000
MGC,1800,SUMMER,2-5,7,INVALID,0.571400,-0.083800,-0.590000,-0.101200,0.812452,0.900306,2.600000
MGC,1800,SUMMER,5-10,3,INVALID,0.000000,-0.493900,-1.480000,-1.249600,0.219241,0.422822,1.100000
MGC,1800,SUMMER,10-20,9,INVALID,0.444400,-0.139200,-1.250000,-0.131000,0.720573,0.898837,3.300000
MGC,1800,SUMMER,20-30,11,INVALID,0.272700,-0.410500,-4.520000,-0.443600,0.190946,0.386666,4.000000
MGC,1800,SUMMER,30+,103,PRELIMINARY,0.291300,-0.256500,-26.420000,-0.250000,0.013106,0.037914,37.700000
MGC,1800,WINTER,0-2,70,REGIME,0.200000,-0.601900,-42.140000,-1.021800,0.000000,0.000000,25.500000
MGC,1800,WINTER,2-5,7,INVALID,0.142900,-0.817100,-5.720000,-1.824400,0.004243,0.013747,2.600000
MGC,1800,WINTER,5-10,9,INVALID,0.222200,-0.630700,-5.680000,-0.909100,0.033063,0.086390,3.300000
MGC,1800,WINTER,10-20,14,INVALID,0.357100,0.040700,0.570000,0.038100,0.892760,0.939137,5.100000
MGC,1800,WINTER,20-30,27,INVALID,0.296300,-0.204800,-5.530000,-0.180100,0.366832,0.594268,9.900000
MGC,1800,WINTER,30+,147,PRELIMINARY,0.265300,-0.288300,-42.380000,-0.296200,0.000468,0.001895,53.600000
MGC,2300,SUMMER,0-2,353,CORE,0.181300,-0.553200,-195.280000,-0.870800,0.000000,0.000000,57.100000
MGC,2300,SUMMER,2-5,14,INVALID,0.357100,-0.290100,-4.060000,-0.328700,0.257225,0.452940,2.300000
MGC,2300,SUMMER,5-10,15,INVALID,0.400000,-0.224800,-3.370000,-0.371100,0.186675,0.386666,2.400000
MGC,2300,SUMMER,10-20,18,INVALID,0.277800,-0.399700,-7.190000,-0.616200,0.021112,0.058968,2.900000
MGC,2300,SUMMER,20-30,15,INVALID,0.333300,-0.139400,-2.090000,-0.179700,0.512208,0.720263,2.400000
MGC,2300,SUMMER,30+,203,CORE,0.275900,-0.400000,-81.210000,-0.517600,0.000000,0.000000,32.800000
MGC,2300,WINTER,0-2,168,PRELIMINARY,0.178600,-0.562100,-94.440000,-1.003700,0.000000,0.000000,56.600000
MGC,2300,WINTER,2-5,18,INVALID,0.277800,-0.378700,-6.820000,-0.505800,0.052400,0.127573,6.100000
MGC,2300,WINTER,5-10,9,INVALID,0.333300,-0.483800,-4.350000,-0.785400,0.057044,0.131413,3.000000
MGC,2300,WINTER,10-20,11,INVALID,0.454500,-0.143700,-1.580000,-0.213100,0.515744,0.720263,3.700000
MGC,2300,WINTER,20-30,4,INVALID,0.250000,-0.452400,-1.810000,-0.476900,0.469322,0.691183,1.300000
MGC,2300,WINTER,30+,87,REGIME,0.287400,-0.358500,-31.190000,-0.463600,0.000045,0.000203,29.300000
