strategy_id,source,instrument,session,filter,combined_n,combined_avgR,combined_sharpe,winter_n,winter_avgR,winter_wr,winter_sharpe,winter_maxdd,summer_n,summer_avgR,summer_wr,summer_sharpe,summer_maxdd,verdict
MGC_0900_E3_RR4.0_CB1_ORB_G4,validated,MGC,0900,ORB_G4,51,0.9222,0.4129,27,1.1602,0.4815,0.5065,4.0,24,0.6545,0.375,0.2997,6.0,WINTER-DOMINANT
MNQ_0900_E1_RR3.0_CB5_ORB_G4,validated,MNQ,0900,ORB_G4,137,0.7231,0.3907,44,0.3831,0.3636,0.2069,8.47,93,0.884,0.5161,0.4808,6.0,SUMMER-DOMINANT
MNQ_0900_E1_RR4.0_CB4_ORB_G8,validated,MNQ,0900,ORB_G8,109,0.5102,0.2312,43,0.2071,0.2558,0.0994,14.31,66,0.7076,0.3636,0.3107,8.0,SUMMER-DOMINANT
MNQ_0900_E1_RR3.0_CB5_NO_FILTER,validated,MNQ,0900,NO_FILTER,144,0.7304,0.3968,44,0.3831,0.3636,0.2069,8.47,100,0.8832,0.52,0.4841,6.0,SUMMER-DOMINANT
MES_0900_E1_RR1.5_CB2_ORB_G6,experimental,MES,0900,ORB_G6,29,0.6948,0.652,21,0.5586,0.6667,0.4942,4.0,8,1.0525,0.875,,1.0,LOW-N
MGC_0900_E1_RR2.0_CB2_ORB_G6,experimental,MGC,0900,ORB_G6,31,0.982,0.7609,21,1.1408,0.7619,0.9284,1.0,10,0.6484,0.6,0.4569,2.0,WINTER-DOMINANT
MNQ_0900_E1_RR3.0_CB3_ORB_G5,validated,MNQ,0900,ORB_G5,124,0.607,0.3298,44,0.2898,0.3409,0.1597,8.19,80,0.7815,0.4875,0.4242,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR3.0_CB3_ORB_G8,validated,MNQ,0900,ORB_G8,105,0.5737,0.308,44,0.2898,0.3409,0.1597,8.19,61,0.7785,0.4754,0.413,4.0,SUMMER-DOMINANT
MES_0900_E1_RR1.5_CB1_ORB_G5,validated,MES,0900,ORB_G5,41,0.627,0.591,28,0.4729,0.6429,0.4226,5.0,13,0.9591,0.8462,1.1,2.0,UNSTABLE
MES_0900_E1_RR2.0_CB4_ORB_G4,validated,MES,0900,ORB_G4,55,0.3428,0.2481,37,0.1861,0.4324,0.135,6.33,18,0.6647,0.6111,0.4856,2.0,SUMMER-DOMINANT
MGC_0900_E1_RR2.5_CB3_ORB_G8,experimental,MGC,0900,ORB_G8,19,0.5716,0.3357,12,0.3983,0.4167,0.2304,3.0,7,0.8687,0.5714,,2.0,LOW-N
MGC_0900_E1_RR2.5_CB2_ORB_G4,validated,MGC,0900,ORB_G4,50,1.1769,0.7786,30,1.3645,0.7333,0.9381,1.0,20,0.8953,0.6,0.5636,2.0,WINTER-DOMINANT
MNQ_0900_E1_RR3.0_CB5_ORB_G6,validated,MNQ,0900,ORB_G6,124,0.6856,0.3672,44,0.3831,0.3636,0.2069,8.47,80,0.8519,0.5,0.4565,6.0,SUMMER-DOMINANT
MGC_1800_E1_RR2.0_CB2_ORB_G8,experimental,MGC,1800,ORB_G8,14,1.6567,2.1594,8,1.854,1.0,,0.0,6,1.3936,0.8333,,1.0,LOW-N
MNQ_0900_E1_RR4.0_CB3_NO_FILTER,validated,MNQ,0900,NO_FILTER,133,0.8129,0.3625,44,0.5051,0.3182,0.2265,7.24,89,0.9651,0.4382,0.4297,6.0,SUMMER-DOMINANT
MNQ_0900_E1_RR3.0_CB5_ORB_G5,validated,MNQ,0900,ORB_G5,132,0.6874,0.3699,44,0.3831,0.3636,0.2069,8.47,88,0.8395,0.5,0.453,6.0,SUMMER-DOMINANT
MES_0900_E1_RR2.0_CB2_ORB_G4,validated,MES,0900,ORB_G4,59,0.6995,0.5281,40,0.5529,0.575,0.4082,7.41,19,1.008,0.7368,0.8149,3.0,SUMMER-DOMINANT
MGC_1800_E1_RR2.0_CB1_ORB_G8,experimental,MGC,1800,ORB_G8,14,1.6495,2.1546,8,1.8438,1.0,,0.0,6,1.3905,0.8333,,1.0,LOW-N
MES_0900_E1_RR1.5_CB4_ORB_G5,validated,MES,0900,ORB_G5,33,0.5495,0.4933,23,0.4125,0.6087,0.3559,4.58,10,0.8645,0.8,0.8779,1.0,UNSTABLE
MES_0900_E1_RR1.5_CB5_ORB_G6,experimental,MES,0900,ORB_G6,31,0.5215,0.4543,22,0.3904,0.5909,0.3295,4.57,9,0.842,0.7778,,1.0,LOW-N
MGC_1800_E3_RR2.0_CB1_ORB_G8,experimental,MGC,1800,ORB_G8,14,1.6331,2.146,8,1.8263,1.0,,0.0,6,1.3755,0.8333,,1.0,LOW-N
MES_0900_E1_RR4.0_CB4_ORB_G6,experimental,MES,0900,ORB_G6,26,0.2414,0.1157,17,0.0864,0.2353,0.0428,7.0,9,0.5341,0.3333,,4.0,LOW-N
MNQ_1800_E3_RR4.0_CB1_NO_FILTER,experimental,MNQ,1800,NO_FILTER,125,2.1941,1.0142,47,2.4731,0.7447,1.2015,3.0,78,2.026,0.6538,0.9125,3.0,WINTER-DOMINANT
MNQ_1800_E3_RR4.0_CB1_ORB_G4,experimental,MNQ,1800,ORB_G4,125,2.1941,1.0142,47,2.4731,0.7447,1.2015,3.0,78,2.026,0.6538,0.9125,3.0,WINTER-DOMINANT
MNQ_1800_E3_RR4.0_CB1_ORB_G5,experimental,MNQ,1800,ORB_G5,125,2.1941,1.0142,47,2.4731,0.7447,1.2015,3.0,78,2.026,0.6538,0.9125,3.0,WINTER-DOMINANT
MGC_1800_E1_RR2.5_CB2_ORB_G5,experimental,MGC,1800,ORB_G5,26,1.3813,0.9347,15,1.1926,0.6667,0.7419,4.0,11,1.6385,0.8182,1.2508,1.0,UNSTABLE
