strategy_id,source,instrument,session,filter,combined_n,combined_avgR,combined_sharpe,winter_n,winter_avgR,winter_wr,winter_sharpe,winter_maxdd,summer_n,summer_avgR,summer_wr,summer_sharpe,summer_maxdd,verdict
MES_0900_E1_RR4.0_CB5_ORB_G5,experimental,MES,0900,ORB_G5,32,0.1444,0.0717,22,0.04,0.2273,0.0204,10.0,10,0.3743,0.3,0.1691,4.0,UNSTABLE
MGC_0900_E3_RR1.5_CB1_ORB_G4,validated,MGC,0900,ORB_G4,53,0.6491,0.648,29,0.7993,0.7931,0.8495,1.0,24,0.4676,0.6667,0.4403,2.52,WINTER-DOMINANT
MNQ_1800_E1_RR2.0_CB3_NO_FILTER,experimental,MNQ,1800,NO_FILTER,134,1.4139,1.3903,51,1.6179,0.9216,2.0924,1.0,83,1.2885,0.8072,1.1429,2.0,WINTER-DOMINANT
MNQ_1800_E1_RR2.0_CB3_ORB_G4,experimental,MNQ,1800,ORB_G4,134,1.4139,1.3903,51,1.6179,0.9216,2.0924,1.0,83,1.2885,0.8072,1.1429,2.0,WINTER-DOMINANT
MNQ_1800_E1_RR2.0_CB3_ORB_G5,experimental,MNQ,1800,ORB_G5,134,1.4139,1.3903,51,1.6179,0.9216,2.0924,1.0,83,1.2885,0.8072,1.1429,2.0,WINTER-DOMINANT
MNQ_0900_E1_RR3.0_CB1_ORB_G8,validated,MNQ,0900,ORB_G8,123,0.7524,0.4035,53,0.5651,0.4151,0.3012,6.0,70,0.8942,0.5143,0.4816,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR2.5_CB3_NO_FILTER,validated,MNQ,0900,NO_FILTER,134,0.6227,0.3867,45,0.4061,0.4222,0.244,5.0,89,0.7322,0.5506,0.4633,3.0,SUMMER-DOMINANT
MNQ_0900_E1_RR4.0_CB3_ORB_G5,validated,MNQ,0900,ORB_G5,124,0.7151,0.3184,44,0.5051,0.3182,0.2265,7.24,80,0.8305,0.4,0.3674,6.0,SUMMER-DOMINANT
MGC_0900_E1_RR1.5_CB5_ORB_G4,experimental,MGC,0900,ORB_G4,46,0.5586,0.5087,23,0.7212,0.7391,0.6878,1.0,23,0.3961,0.6087,0.3459,2.0,WINTER-DOMINANT
MGC_1800_E3_RR2.5_CB1_ORB_G5,validated,MGC,1800,ORB_G5,26,1.7091,1.4418,15,1.5716,0.8,1.1759,1.0,11,1.8966,0.9091,1.9508,1.0,UNSTABLE
MGC_0900_E1_RR2.5_CB2_ORB_G5,validated,MGC,0900,ORB_G5,42,1.3736,0.9578,26,1.4966,0.7692,1.0703,1.0,16,1.1738,0.6875,0.7749,1.0,WINTER-DOMINANT
MNQ_0900_E1_RR2.0_CB5_ORB_G5,validated,MNQ,0900,ORB_G5,134,0.4538,0.3246,46,0.2419,0.4348,0.1689,4.58,88,0.5645,0.5682,0.4107,4.0,SUMMER-DOMINANT
MES_0900_E1_RR2.0_CB5_ORB_G4,experimental,MES,0900,ORB_G4,57,0.1532,0.1121,39,0.0513,0.3846,0.038,5.67,18,0.3739,0.5,0.2642,2.26,SUMMER-DOMINANT
MNQ_0900_E1_RR2.5_CB2_ORB_G5,validated,MNQ,0900,ORB_G5,144,0.7068,0.4354,51,0.4992,0.451,0.2987,6.0,93,0.8206,0.5699,0.5148,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR2.5_CB1_NO_FILTER,validated,MNQ,0900,NO_FILTER,158,0.7704,0.4896,53,0.557,0.4717,0.3347,5.0,105,0.8782,0.6095,0.5767,4.0,SUMMER-DOMINANT
MNQ_1800_E1_RR2.5_CB2_ORB_G8,experimental,MNQ,1800,ORB_G8,132,1.6498,1.2505,51,1.8458,0.8627,1.6071,1.0,81,1.5264,0.7654,1.0832,2.0,WINTER-DOMINANT
MNQ_0900_E1_RR2.5_CB2_NO_FILTER,validated,MNQ,0900,NO_FILTER,155,0.7124,0.4437,51,0.4992,0.451,0.2987,6.0,104,0.817,0.5769,0.5203,4.0,SUMMER-DOMINANT
MGC_1800_E3_RR2.0_CB1_ORB_G4,experimental,MGC,1800,ORB_G4,39,1.3975,1.6783,19,1.5594,0.9474,2.4592,1.0,20,1.2436,0.85,1.2729,1.0,WINTER-DOMINANT
MGC_1800_E1_RR1.5_CB2_ORB_G4,experimental,MGC,1800,ORB_G4,41,1.1067,1.8232,19,1.2757,1.0,11.7529,0.0,22,0.9607,0.8636,1.1975,1.0,WINTER-DOMINANT
MGC_1800_E3_RR3.0_CB1_ORB_G8,experimental,MGC,1800,ORB_G8,14,1.9885,1.2265,8,1.8544,0.75,,2.0,6,2.1673,0.8333,,1.0,LOW-N
MGC_1800_E1_RR3.0_CB5_ORB_G8,experimental,MGC,1800,ORB_G8,11,1.8023,1.0008,8,1.8867,0.75,,2.0,3,1.5773,0.6667,,1.0,LOW-N
MNQ_0900_E1_RR2.5_CB3_ORB_G4,validated,MNQ,0900,ORB_G4,130,0.6074,0.3753,45,0.4061,0.4222,0.244,5.0,85,0.714,0.5412,0.4482,3.0,SUMMER-DOMINANT
MGC_1800_E1_RR1.0_CB2_ORB_G8,experimental,MGC,1800,ORB_G8,14,0.7711,1.5077,8,0.9027,1.0,,0.0,6,0.5957,0.8333,,1.0,LOW-N
MGC_0900_E1_RR2.0_CB4_ORB_G4,experimental,MGC,0900,ORB_G4,45,0.6601,0.4809,23,0.8101,0.6522,0.5981,1.0,22,0.5033,0.5455,0.3581,4.0,WINTER-DOMINANT
MGC_1800_E1_RR1.0_CB3_ORB_G8,experimental,MGC,1800,ORB_G8,14,0.7799,1.5185,8,0.9112,1.0,,0.0,6,0.6049,0.8333,,1.0,LOW-N
MGC_1800_E1_RR1.0_CB5_ORB_G8,experimental,MGC,1800,ORB_G8,14,0.7792,1.5175,8,0.9097,1.0,,0.0,6,0.6052,0.8333,,1.0,LOW-N
MNQ_1800_E1_RR2.0_CB3_ORB_G6,experimental,MNQ,1800,ORB_G6,132,1.4313,1.4276,51,1.6179,0.9216,2.0924,1.0,81,1.3137,0.8148,1.1816,2.0,WINTER-DOMINANT
MNQ_1800_E1_RR2.0_CB3_ORB_G8,experimental,MNQ,1800,ORB_G8,132,1.4313,1.4276,51,1.6179,0.9216,2.0924,1.0,81,1.3137,0.8148,1.1816,2.0,WINTER-DOMINANT
MGC_1800_E1_RR1.0_CB4_ORB_G8,experimental,MGC,1800,ORB_G8,14,0.777,1.5151,8,0.9072,1.0,,0.0,6,0.6034,0.8333,,1.0,LOW-N
MGC_0900_E1_RR1.0_CB1_ORB_G8,experimental,MGC,0900,ORB_G8,22,0.6362,0.9545,16,0.5534,0.8125,0.7174,2.09,6,0.8571,1.0,,0.0,LOW-N
MGC_0900_E1_RR2.5_CB2_ORB_G8,experimental,MGC,0900,ORB_G8,21,1.0538,0.6379,14,1.1538,0.6429,0.6921,2.0,7,0.8539,0.5714,,2.0,LOW-N
MGC_1800_E1_RR3.0_CB4_ORB_G8,experimental,MGC,1800,ORB_G8,11,1.7978,0.9998,8,1.8793,0.75,,2.0,3,1.5804,0.6667,,1.0,LOW-N
MNQ_0900_E1_RR4.0_CB2_ORB_G5,validated,MNQ,0900,ORB_G5,143,0.7684,0.3418,51,0.5798,0.3333,0.2569,8.39,92,0.8729,0.413,0.3882,4.0,SUMMER-DOMINANT
MGC_1800_E1_RR2.0_CB3_ORB_G5,experimental,MGC,1800,ORB_G5,28,1.2011,1.0226,15,1.0657,0.7333,0.8245,2.0,13,1.3573,0.8462,1.2908,1.0,UNSTABLE
MNQ_0900_E1_RR2.5_CB1_ORB_G6,validated,MNQ,0900,ORB_G6,136,0.7348,0.4535,53,0.557,0.4717,0.3347,5.0,83,0.8483,0.5783,0.5331,4.0,SUMMER-DOMINANT
MGC_0900_E1_RR1.5_CB4_ORB_G4,validated,MGC,0900,ORB_G4,46,0.6025,0.561,24,0.7404,0.75,0.719,1.0,22,0.452,0.6364,0.4019,1.0,WINTER-DOMINANT
MGC_1800_E1_RR2.5_CB4_ORB_G8,experimental,MGC,1800,ORB_G8,14,1.6422,1.146,8,1.5193,0.75,,2.0,6,1.806,0.8333,,1.0,LOW-N
MGC_1800_E1_RR3.0_CB2_ORB_G8,experimental,MGC,1800,ORB_G8,13,2.2397,1.5559,8,2.3499,0.875,,1.0,5,2.0636,0.8,,1.0,LOW-N
MNQ_0900_E1_RR2.0_CB5_ORB_G6,validated,MNQ,0900,ORB_G6,126,0.4231,0.3005,46,0.2419,0.4348,0.1689,4.58,80,0.5273,0.55,0.3788,4.0,SUMMER-DOMINANT
MGC_0900_E3_RR2.5_CB1_ORB_G8,experimental,MGC,0900,ORB_G8,22,1.0901,0.6734,15,0.9997,0.6,0.5911,2.0,7,1.2836,0.7143,,1.0,LOW-N
MES_0900_E1_RR1.0_CB1_ORB_G6,experimental,MES,0900,ORB_G6,31,0.682,1.2157,21,0.5906,0.8571,0.8866,1.0,10,0.874,1.0,16.62,0.0,UNSTABLE
MES_0900_E1_RR1.0_CB1_ORB_G5,validated,MES,0900,ORB_G5,41,0.6642,1.1946,28,0.5747,0.8571,0.8761,1.0,13,0.8569,1.0,14.9593,0.0,UNSTABLE
MNQ_0900_E1_RR2.5_CB1_ORB_G4,validated,MNQ,0900,ORB_G4,152,0.74,0.4634,53,0.557,0.4717,0.3347,5.0,99,0.8379,0.5859,0.5373,4.0,SUMMER-DOMINANT
MGC_0900_E1_RR1.0_CB5_ORB_G4,experimental,MGC,0900,ORB_G4,47,0.496,0.672,24,0.6328,0.875,0.9984,1.09,23,0.3534,0.7391,0.4292,2.2,WINTER-DOMINANT
MNQ_0900_E1_RR2.5_CB3_ORB_G6,validated,MNQ,0900,ORB_G6,116,0.5757,0.351,45,0.4061,0.4222,0.244,5.0,71,0.6832,0.5211,0.4198,3.0,SUMMER-DOMINANT
MGC_0900_E1_RR3.0_CB5_ORB_G6,experimental,MGC,0900,ORB_G6,26,0.8678,0.4552,15,0.751,0.4667,0.3871,3.0,11,1.0271,0.5455,0.5291,2.0,UNSTABLE
MGC_1800_E1_RR3.0_CB1_ORB_G8,experimental,MGC,1800,ORB_G8,13,2.2307,1.5533,8,2.3368,0.875,,1.0,5,2.061,0.8,,1.0,LOW-N
MES_0900_E1_RR1.0_CB4_ORB_G6,experimental,MES,0900,ORB_G6,28,0.2716,0.3045,19,0.1834,0.6316,0.1973,3.0,9,0.458,0.7778,,1.0,LOW-N
MGC_1800_E3_RR2.5_CB1_ORB_G8,experimental,MGC,1800,ORB_G8,14,1.615,1.1384,8,1.4976,0.75,,2.0,6,1.7714,0.8333,,1.0,LOW-N
MNQ_0900_E1_RR4.0_CB5_NO_FILTER,validated,MNQ,0900,NO_FILTER,144,0.8098,0.36,44,0.6199,0.3409,0.272,8.0,100,0.8933,0.42,0.3983,8.42,SUMMER-DOMINANT
MNQ_0900_E1_RR2.5_CB3_ORB_G5,validated,MNQ,0900,ORB_G5,125,0.5802,0.3563,45,0.4061,0.4222,0.244,5.0,80,0.6781,0.525,0.4211,3.0,SUMMER-DOMINANT
MNQ_1800_E1_RR1.5_CB3_NO_FILTER,experimental,MNQ,1800,NO_FILTER,135,1.1564,1.7047,52,1.3233,0.9808,3.989,1.0,83,1.0518,0.8675,1.2998,2.0,WINTER-DOMINANT
MNQ_1800_E1_RR1.5_CB3_ORB_G4,experimental,MNQ,1800,ORB_G4,135,1.1564,1.7047,52,1.3233,0.9808,3.989,1.0,83,1.0518,0.8675,1.2998,2.0,WINTER-DOMINANT
MNQ_1800_E1_RR1.5_CB3_ORB_G5,experimental,MNQ,1800,ORB_G5,135,1.1564,1.7047,52,1.3233,0.9808,3.989,1.0,83,1.0518,0.8675,1.2998,2.0,WINTER-DOMINANT
MGC_0900_E3_RR2.0_CB1_ORB_G6,experimental,MGC,0900,ORB_G6,32,0.8208,0.6122,22,0.9049,0.6818,0.6781,1.0,10,0.6359,0.6,0.4515,2.0,WINTER-DOMINANT
MGC_1800_E1_RR4.0_CB2_ORB_G8,experimental,MGC,1800,ORB_G8,10,2.337,1.0145,7,2.4169,0.7143,,2.0,3,2.1505,0.6667,,1.0,LOW-N
MNQ_0900_E1_RR2.5_CB5_ORB_G8,validated,MNQ,0900,ORB_G8,114,0.5341,0.3229,46,0.3761,0.413,0.2266,6.3,68,0.641,0.5,0.3875,6.0,SUMMER-DOMINANT
MGC_0900_E1_RR2.5_CB4_ORB_G6,experimental,MGC,0900,ORB_G6,28,0.7497,0.4516,16,0.6362,0.5,0.376,3.0,12,0.9009,0.5833,0.5368,3.0,UNSTABLE
MES_0900_E1_RR1.0_CB3_ORB_G6,experimental,MES,0900,ORB_G6,33,0.4728,0.6083,24,0.4007,0.75,0.4845,2.0,9,0.6649,0.8889,,1.0,LOW-N
MGC_1800_E3_RR1.5_CB1_ORB_G4,experimental,MGC,1800,ORB_G4,39,1.1149,2.1785,19,1.2487,1.0,11.1213,0.0,20,0.9877,0.9,1.4302,1.0,WINTER-DOMINANT
MNQ_0900_E1_RR4.0_CB2_ORB_G8,validated,MNQ,0900,ORB_G8,119,0.7287,0.3213,51,0.5798,0.3333,0.2569,8.39,68,0.8404,0.3971,0.3675,6.0,SUMMER-DOMINANT
MES_0900_E1_RR1.5_CB3_ORB_G5,validated,MES,0900,ORB_G5,39,0.661,0.6257,29,0.5943,0.6897,0.5452,2.58,10,0.8542,0.8,0.8723,1.0,UNSTABLE
MNQ_0900_E1_RR2.5_CB1_ORB_G5,validated,MNQ,0900,ORB_G5,147,0.7228,0.4495,53,0.557,0.4717,0.3347,5.0,94,0.8162,0.5745,0.5178,4.0,SUMMER-DOMINANT
MGC_0900_E1_RR2.0_CB2_ORB_G8,experimental,MGC,0900,ORB_G8,21,0.7604,0.537,14,0.8461,0.6429,0.5922,2.0,7,0.589,0.5714,,2.0,LOW-N
MGC_0900_E1_RR3.0_CB2_ORB_G5,validated,MGC,0900,ORB_G5,40,1.1958,0.6578,24,1.2985,0.625,0.7129,2.0,16,1.0417,0.5625,0.5599,2.0,WINTER-DOMINANT
MNQ_0900_E1_RR2.5_CB4_ORB_G8,validated,MNQ,0900,ORB_G8,110,0.4383,0.2668,44,0.2846,0.3864,0.1737,6.72,66,0.5408,0.4697,0.3276,5.0,SUMMER-DOMINANT
MES_0900_E1_RR2.0_CB1_ORB_G4,validated,MES,0900,ORB_G4,62,0.7366,0.5662,42,0.6553,0.619,0.498,6.67,20,0.9073,0.7,0.706,3.0,SUMMER-DOMINANT
MGC_1800_E1_RR2.5_CB2_ORB_G8,experimental,MGC,1800,ORB_G8,13,1.8348,1.4566,8,1.9311,0.875,,1.0,5,1.6806,0.8,,1.0,LOW-N
MNQ_1800_E1_RR1.5_CB3_ORB_G6,experimental,MNQ,1800,ORB_G6,133,1.1729,1.7854,52,1.3233,0.9808,3.989,1.0,81,1.0763,0.8765,1.3694,2.0,WINTER-DOMINANT
MNQ_1800_E1_RR1.5_CB3_ORB_G8,experimental,MNQ,1800,ORB_G8,133,1.1729,1.7854,52,1.3233,0.9808,3.989,1.0,81,1.0763,0.8765,1.3694,2.0,WINTER-DOMINANT
MGC_0900_E1_RR2.0_CB1_ORB_G6,experimental,MGC,0900,ORB_G6,32,1.0024,0.7862,23,1.0715,0.7391,0.8498,2.0,9,0.8256,0.6667,,2.0,LOW-N
MNQ_1800_E1_RR2.0_CB2_ORB_G4,experimental,MNQ,1800,ORB_G4,134,1.5115,1.6837,51,1.6637,0.9412,2.4633,1.0,83,1.4179,0.8554,1.414,2.0,WINTER-DOMINANT
MNQ_1800_E1_RR2.0_CB2_ORB_G5,experimental,MNQ,1800,ORB_G5,134,1.5115,1.6837,51,1.6637,0.9412,2.4633,1.0,83,1.4179,0.8554,1.414,2.0,WINTER-DOMINANT
MGC_0900_E1_RR2.0_CB3_ORB_G4,validated,MGC,0900,ORB_G4,49,0.9086,0.7079,26,1.0236,0.7308,0.8145,1.0,23,0.7786,0.6522,0.5858,2.0,WINTER-DOMINANT
MGC_1800_E1_RR2.0_CB2_ORB_G6,experimental,MGC,1800,ORB_G6,21,1.2873,1.1296,13,1.3806,0.8462,1.3026,1.0,8,1.1357,0.75,,1.0,LOW-N
MNQ_0900_E1_RR2.5_CB1_ORB_G8,validated,MNQ,0900,ORB_G8,123,0.696,0.4252,53,0.557,0.4717,0.3347,5.0,70,0.8013,0.5571,0.4946,4.0,SUMMER-DOMINANT
MGC_0900_E1_RR2.5_CB3_ORB_G4,validated,MGC,0900,ORB_G4,48,0.9317,0.5889,25,1.0483,0.64,0.6672,2.0,23,0.8051,0.5652,0.4971,3.0,WINTER-DOMINANT
MGC_1800_E1_RR2.5_CB1_ORB_G8,experimental,MGC,1800,ORB_G8,13,1.8269,1.4539,8,1.9197,0.875,,1.0,5,1.6784,0.8,,1.0,LOW-N
MNQ_0900_E1_RR2.0_CB4_ORB_G4,validated,MNQ,0900,ORB_G4,136,0.5206,0.3772,44,0.3575,0.4773,0.2487,6.16,92,0.5985,0.587,0.4425,4.14,SUMMER-DOMINANT
MNQ_0900_E1_RR4.0_CB5_ORB_G4,validated,MNQ,0900,ORB_G4,137,0.7827,0.3468,44,0.6199,0.3409,0.272,8.0,93,0.8597,0.4086,0.3813,8.42,SUMMER-DOMINANT
MGC_1800_E1_RR2.5_CB3_ORB_G8,experimental,MGC,1800,ORB_G8,13,1.8469,1.4602,8,1.9383,0.875,,1.0,5,1.7006,0.8,,1.0,LOW-N
MGC_1800_E1_RR1.5_CB2_ORB_G6,experimental,MGC,1800,ORB_G6,22,1.2325,2.445,13,1.3295,1.0,16.4832,0.0,9,1.0924,0.8889,,1.0,LOW-N
MNQ_0900_E1_RR2.0_CB1_NO_FILTER,validated,MNQ,0900,NO_FILTER,158,0.706,0.5378,53,0.5504,0.5472,0.3864,3.09,105,0.7846,0.6762,0.6265,3.0,SUMMER-DOMINANT
MNQ_1800_E3_RR3.0_CB1_NO_FILTER,experimental,MNQ,1800,NO_FILTER,125,2.035,1.4023,47,2.1787,0.8511,1.6171,2.0,78,1.9485,0.7949,1.2885,2.0,WINTER-DOMINANT
MNQ_1800_E3_RR3.0_CB1_ORB_G4,experimental,MNQ,1800,ORB_G4,125,2.035,1.4023,47,2.1787,0.8511,1.6171,2.0,78,1.9485,0.7949,1.2885,2.0,WINTER-DOMINANT
MNQ_1800_E3_RR3.0_CB1_ORB_G5,experimental,MNQ,1800,ORB_G5,125,2.035,1.4023,47,2.1787,0.8511,1.6171,2.0,78,1.9485,0.7949,1.2885,2.0,WINTER-DOMINANT
MES_0900_E1_RR1.5_CB2_ORB_G4,validated,MES,0900,ORB_G4,61,0.6328,0.6166,42,0.5616,0.6905,0.5293,4.48,19,0.7903,0.7895,0.8288,1.0,SUMMER-DOMINANT
MGC_1800_E1_RR2.5_CB1_ORB_G5,experimental,MGC,1800,ORB_G5,26,1.4861,1.0659,15,1.3902,0.7333,0.9294,3.0,11,1.6168,0.8182,1.2419,1.0,UNSTABLE
MGC_0900_E1_RR3.0_CB3_ORB_G4,validated,MGC,0900,ORB_G4,47,0.8682,0.4691,24,0.9785,0.5417,0.5253,3.0,23,0.7532,0.4783,0.4021,3.0,WINTER-DOMINANT
MGC_0900_E3_RR1.5_CB1_ORB_G8,experimental,MGC,0900,ORB_G8,22,0.8099,0.805,15,0.7385,0.7333,0.6799,2.0,7,0.963,0.8571,,1.0,LOW-N
MNQ_0900_E1_RR2.0_CB4_NO_FILTER,validated,MNQ,0900,NO_FILTER,143,0.5115,0.3732,44,0.3575,0.4773,0.2487,6.16,99,0.5799,0.5859,0.4323,4.14,SUMMER-DOMINANT
MES_0900_E1_RR1.0_CB4_ORB_G4,validated,MES,0900,ORB_G4,56,0.3671,0.4599,38,0.2957,0.7105,0.3522,3.0,18,0.518,0.8333,0.7384,1.22,SUMMER-DOMINANT
MGC_0900_E1_RR4.0_CB3_ORB_G6,experimental,MGC,0900,ORB_G6,28,0.6724,0.2941,16,0.7668,0.375,0.3252,3.0,12,0.5466,0.3333,0.2392,5.0,WINTER-DOMINANT
MGC_1800_E1_RR2.0_CB5_ORB_G8,experimental,MGC,1800,ORB_G8,13,1.4341,1.3262,8,1.5176,0.875,,1.0,5,1.3004,0.8,,1.0,LOW-N
MNQ_1800_E1_RR2.0_CB2_ORB_G6,experimental,MNQ,1800,ORB_G6,132,1.5307,1.7447,51,1.6637,0.9412,2.4633,1.0,81,1.4469,0.8642,1.4792,2.0,WINTER-DOMINANT
MNQ_1800_E1_RR2.0_CB2_ORB_G8,experimental,MNQ,1800,ORB_G8,132,1.5307,1.7447,51,1.6637,0.9412,2.4633,1.0,81,1.4469,0.8642,1.4792,2.0,WINTER-DOMINANT
MES_0900_E3_RR1.5_CB1_ORB_G8,experimental,MES,0900,ORB_G8,23,0.4202,0.3608,17,0.3639,0.5882,0.3093,3.71,6,0.5798,0.6667,,1.0,LOW-N
MGC_0900_E1_RR1.5_CB2_ORB_G8,experimental,MGC,0900,ORB_G8,21,0.467,0.3957,14,0.5384,0.6429,0.4522,2.0,7,0.3242,0.5714,,2.0,LOW-N
MGC_0900_E3_RR4.0_CB1_ORB_G5,validated,MGC,0900,ORB_G5,43,0.9911,0.4371,24,1.0851,0.4583,0.4678,3.0,19,0.8724,0.4211,0.3865,5.0,WINTER-DOMINANT
MGC_0900_E1_RR2.0_CB2_ORB_G5,validated,MGC,0900,ORB_G5,42,1.1609,1.0137,26,1.2417,0.8077,1.1094,1.0,16,1.0296,0.75,0.85,1.0,WINTER-DOMINANT
MES_0900_E1_RR1.0_CB3_ORB_G5,validated,MES,0900,ORB_G5,39,0.5211,0.7212,29,0.4671,0.7931,0.6112,2.0,10,0.6778,0.9,1.1444,1.0,UNSTABLE
MNQ_0900_E1_RR2.0_CB1_ORB_G4,validated,MNQ,0900,ORB_G4,152,0.6874,0.5149,53,0.5504,0.5472,0.3864,3.09,99,0.7607,0.6566,0.5915,3.0,SUMMER-DOMINANT
MNQ_1800_E1_RR2.0_CB1_NO_FILTER,experimental,MNQ,1800,NO_FILTER,134,1.5862,2.0336,51,1.7142,0.9608,3.0712,1.0,83,1.5075,0.8916,1.7066,1.0,WINTER-DOMINANT
MNQ_1800_E1_RR2.0_CB1_ORB_G4,experimental,MNQ,1800,ORB_G4,134,1.5862,2.0336,51,1.7142,0.9608,3.0712,1.0,83,1.5075,0.8916,1.7066,1.0,WINTER-DOMINANT
MNQ_1800_E1_RR2.0_CB1_ORB_G5,experimental,MNQ,1800,ORB_G5,134,1.5862,2.0336,51,1.7142,0.9608,3.0712,1.0,83,1.5075,0.8916,1.7066,1.0,WINTER-DOMINANT
MNQ_0900_E1_RR2.5_CB3_ORB_G8,validated,MNQ,0900,ORB_G8,106,0.5244,0.3172,45,0.4061,0.4222,0.244,5.0,61,0.6116,0.4918,0.37,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR2.0_CB5_ORB_G8,validated,MNQ,0900,ORB_G8,114,0.3641,0.2564,46,0.2419,0.4348,0.1689,4.58,68,0.4468,0.5147,0.3155,6.0,SUMMER-DOMINANT
MGC_0900_E1_RR1.0_CB1_ORB_G6,experimental,MGC,0900,ORB_G6,32,0.6881,1.2414,23,0.6306,0.8696,0.9728,2.0,9,0.8352,1.0,,0.0,LOW-N
MNQ_1800_E3_RR2.5_CB1_NO_FILTER,validated,MNQ,1800,NO_FILTER,126,1.7905,1.5595,47,1.9182,0.8936,1.8779,2.0,79,1.7145,0.8354,1.4087,2.0,WINTER-DOMINANT
MNQ_1800_E3_RR2.5_CB1_ORB_G4,validated,MNQ,1800,ORB_G4,126,1.7905,1.5595,47,1.9182,0.8936,1.8779,2.0,79,1.7145,0.8354,1.4087,2.0,WINTER-DOMINANT
MNQ_1800_E3_RR2.5_CB1_ORB_G5,experimental,MNQ,1800,ORB_G5,126,1.7905,1.5595,47,1.9182,0.8936,1.8779,2.0,79,1.7145,0.8354,1.4087,2.0,WINTER-DOMINANT
MGC_1800_E1_RR1.5_CB1_ORB_G6,experimental,MGC,1800,ORB_G6,22,1.2321,2.4453,13,1.1488,0.9231,1.7665,1.0,9,1.3523,1.0,,0.0,LOW-N
MNQ_0900_E1_RR2.0_CB1_ORB_G5,validated,MNQ,0900,ORB_G5,147,0.6793,0.505,53,0.5504,0.5472,0.3864,3.09,94,0.7519,0.6489,0.5782,3.0,SUMMER-DOMINANT
MGC_0900_E3_RR1.0_CB1_ORB_G8,experimental,MGC,0900,ORB_G8,22,0.7038,1.2722,15,0.6416,0.8667,0.9608,1.03,7,0.8373,1.0,,0.0,LOW-N
MGC_0900_E3_RR3.0_CB1_ORB_G4,validated,MGC,0900,ORB_G4,53,1.1618,0.6554,29,1.2503,0.6207,0.696,3.0,24,1.0549,0.5833,0.5939,3.0,WINTER-DOMINANT
MGC_0900_E1_RR3.0_CB4_ORB_G6,experimental,MGC,0900,ORB_G6,27,0.6633,0.3498,15,0.75,0.4667,0.3868,3.0,12,0.5549,0.4167,0.2887,5.0,WINTER-DOMINANT
MNQ_1800_E3_RR3.0_CB1_ORB_G6,experimental,MNQ,1800,ORB_G6,123,2.0581,1.4325,47,2.1787,0.8511,1.6171,2.0,76,1.9836,0.8026,1.3284,2.0,WINTER-DOMINANT
MNQ_1800_E3_RR3.0_CB1_ORB_G8,experimental,MNQ,1800,ORB_G8,123,2.0581,1.4325,47,2.1787,0.8511,1.6171,2.0,76,1.9836,0.8026,1.3284,2.0,WINTER-DOMINANT
MNQ_1800_E1_RR2.5_CB3_ORB_G8,experimental,MNQ,1800,ORB_G8,132,1.6094,1.1827,51,1.7291,0.8235,1.3538,1.0,81,1.5341,0.7654,1.0853,2.0,WINTER-DOMINANT
MGC_0900_E3_RR2.0_CB1_ORB_G5,validated,MGC,0900,ORB_G5,45,0.9289,0.7449,26,1.0112,0.7308,0.8095,1.0,19,0.8163,0.6842,0.6431,1.0,WINTER-DOMINANT
MNQ_0900_E1_RR2.0_CB1_ORB_G6,validated,MNQ,0900,ORB_G6,136,0.6691,0.4911,53,0.5504,0.5472,0.3864,3.09,83,0.7448,0.6386,0.5625,3.49,SUMMER-DOMINANT
MES_0900_E1_RR4.0_CB5_ORB_G6,experimental,MES,0900,ORB_G6,27,0.0295,0.015,19,-0.0275,0.2105,-0.0142,9.0,8,0.1648,0.25,,4.0,LOW-N
MGC_1800_E1_RR1.0_CB3_ORB_G6,experimental,MGC,1800,ORB_G6,22,0.7973,1.9663,13,0.8758,1.0,14.4209,0.0,9,0.684,0.8889,,1.0,LOW-N
MNQ_0900_E1_RR1.0_CB3_ORB_G5,validated,MNQ,0900,ORB_G5,127,0.4534,0.582,46,0.5755,0.8261,0.7864,3.0,81,0.3841,0.7531,0.4796,2.44,WINTER-DOMINANT
MGC_1800_E1_RR1.0_CB4_ORB_G6,experimental,MGC,1800,ORB_G6,22,0.7976,1.9699,13,0.8758,1.0,15.7355,0.0,9,0.6847,0.8889,,1.0,LOW-N
MES_0900_E1_RR1.0_CB5_ORB_G6,experimental,MES,0900,ORB_G6,31,0.3386,0.3887,22,0.2834,0.6818,0.3156,2.16,9,0.4736,0.7778,,1.0,LOW-N
MGC_1800_E1_RR1.0_CB5_ORB_G6,experimental,MGC,1800,ORB_G6,22,0.7994,1.9724,13,0.8771,1.0,15.595,0.0,9,0.6871,0.8889,,1.0,LOW-N
MGC_1800_E1_RR1.0_CB2_ORB_G6,experimental,MGC,1800,ORB_G6,22,0.786,1.9491,13,0.8636,1.0,13.3806,0.0,9,0.6739,0.8889,,1.0,LOW-N
MNQ_0900_E1_RR2.0_CB4_ORB_G5,validated,MNQ,0900,ORB_G5,131,0.4833,0.3471,44,0.3575,0.4773,0.2487,6.16,87,0.547,0.5632,0.3983,4.14,SUMMER-DOMINANT
