symbol,session,rr_target,confirm_bars,checkpoint_min,n_hit,n_total,pct_hit
M2K,BRISBANE_1025,1.5,2,10,139,504,27.6
M2K,BRISBANE_1025,1.5,2,15,193,504,38.3
M2K,BRISBANE_1025,1.5,2,20,241,504,47.8
M2K,BRISBANE_1025,1.5,2,30,313,504,62.1
M2K,BRISBANE_1025,1.5,2,45,384,504,76.2
M2K,BRISBANE_1025,1.5,2,60,423,504,83.9
M2K,BRISBANE_1025,1.5,2,90,457,504,90.7
M2K,BRISBANE_1025,1.5,2,120,467,504,92.7
M2K,BRISBANE_1025,1.5,2,150,471,504,93.5
M2K,BRISBANE_1025,1.5,2,180,474,504,94.0
M2K,BRISBANE_1025,1.5,2,240,481,504,95.4
M2K,BRISBANE_1025,1.5,2,300,491,504,97.4
M2K,BRISBANE_1025,1.5,2,360,495,504,98.2
M2K,BRISBANE_1025,1.5,2,420,498,504,98.8
M2K,BRISBANE_1025,1.5,2,480,502,504,99.6
M2K,BRISBANE_1025,1.5,3,5,49,491,10.0
M2K,BRISBANE_1025,1.5,3,10,106,491,21.6
M2K,BRISBANE_1025,1.5,3,15,150,491,30.5
M2K,BRISBANE_1025,1.5,3,20,197,491,40.1
M2K,BRISBANE_1025,1.5,3,30,268,491,54.6
M2K,BRISBANE_1025,1.5,3,45,336,491,68.4
M2K,BRISBANE_1025,1.5,3,60,374,491,76.2
M2K,BRISBANE_1025,1.5,3,90,418,491,85.1
M2K,BRISBANE_1025,1.5,3,120,441,491,89.8
M2K,BRISBANE_1025,1.5,3,150,450,491,91.6
M2K,BRISBANE_1025,1.5,3,180,454,491,92.5
M2K,BRISBANE_1025,1.5,3,240,462,491,94.1
M2K,BRISBANE_1025,1.5,3,300,476,491,96.9
M2K,BRISBANE_1025,1.5,3,360,480,491,97.8
M2K,BRISBANE_1025,1.5,3,420,482,491,98.2
M2K,BRISBANE_1025,1.5,3,480,489,491,99.6
M2K,BRISBANE_1025,1.5,4,5,46,491,9.4
M2K,BRISBANE_1025,1.5,4,10,102,491,20.8
M2K,BRISBANE_1025,1.5,4,15,145,491,29.5
M2K,BRISBANE_1025,1.5,4,20,181,491,36.9
M2K,BRISBANE_1025,1.5,4,30,248,491,50.5
M2K,BRISBANE_1025,1.5,4,45,318,491,64.8
M2K,BRISBANE_1025,1.5,4,60,364,491,74.1
M2K,BRISBANE_1025,1.5,4,90,415,491,84.5
M2K,BRISBANE_1025,1.5,4,120,441,491,89.8
M2K,BRISBANE_1025,1.5,4,150,445,491,90.6
M2K,BRISBANE_1025,1.5,4,180,447,491,91.0
M2K,BRISBANE_1025,1.5,4,240,457,491,93.1
M2K,BRISBANE_1025,1.5,4,300,464,491,94.5
