instrument,session,filter,event,on_n,off_n,on_avgR,off_avgR,delta,p_raw,survives_bh,delta_rr15,p_raw_rr15,delta_rr25,p_raw_rr25,sensitivity_consistent
MNQ,2300,G4+,NFP,60,1219,0.1142,0.0829,0.0313,0.8810,False,-0.0357,0.7950,0.0239,0.8790,False
MNQ,2300,G4+,OPEX,58,1221,0.0862,0.0842,0.0020,1.0000,False,-0.0231,0.8650,-0.1971,0.3370,False
MNQ,2300,G6+,FOMC,79,1156,0.0633,0.0725,-0.0092,1.0000,False,-0.0690,0.6370,0.1309,0.5080,False
MNQ,2300,G6+,NFP,60,1175,0.1142,0.0698,0.0444,0.8040,False,-0.0243,0.8790,0.0426,0.7890,False
MNQ,2300,G6+,OPEX,56,1179,0.0714,0.0720,-0.0005,0.9570,False,-0.0197,0.9410,-0.2101,0.2840,True
MES,0900,G4+,FOMC,33,451,-0.2796,0.0373,-0.3168,0.1670,False,-0.4106,0.0440,-0.3669,0.1720,True
MES,0900,G4+,NFP,24,460,-0.2301,0.0285,-0.2586,0.3610,False,-0.3485,0.1530,-0.1981,0.5380,True
MES,0900,G4+,OPEX,19,465,-0.1171,0.0211,-0.1382,0.6870,False,-0.2160,0.4220,-0.1027,0.7700,True
MES,0900,G6+,FOMC,18,243,-0.0428,0.1070,-0.1498,0.6340,False,-0.2776,0.3160,-0.0648,0.8490,True
MES,0900,G6+,NFP,11,250,-0.1544,0.1077,-0.2621,0.5290,False,-0.3362,0.3190,-0.2296,0.6250,True
MES,0900,G6+,OPEX,10,251,-0.2226,0.1094,-0.3320,0.4090,False,-0.3398,0.3430,-0.3905,0.3960,True
MES,1000,G4+,FOMC,38,489,0.2081,0.1342,0.0740,0.7840,False,0.1514,0.4770,0.0938,0.7140,True
MES,1000,G4+,NFP,25,502,0.3200,0.1305,0.1895,0.4960,False,-0.0351,0.9260,0.2190,0.5070,False
MES,1000,G4+,OPEX,22,505,0.0909,0.1416,-0.0507,0.8810,False,-0.1155,0.7660,-0.0476,0.8920,True
MES,1000,G6+,FOMC,17,202,0.4118,0.1575,0.2543,0.5220,False,0.2662,0.4360,0.4772,0.2560,True
MES,1000,G6+,NFP,12,207,0.5000,0.1585,0.3415,0.4700,False,0.0264,0.9560,0.5265,0.2610,True
MES,1000,G6+,OPEX,9,210,0.0000,0.1848,-0.1848,0.6500,False,-0.4085,0.4140,-0.0195,0.9610,True
MES,1100,G4+,FOMC,19,325,-0.0526,0.1604,-0.2130,0.6100,False,-0.0755,0.7350,-0.1795,0.6910,True
MES,1100,G4+,NFP,17,327,0.4777,0.1315,0.3462,0.3320,False,0.5193,0.1010,0.1188,0.7860,True
MES,1100,G4+,OPEX,16,328,0.0617,0.1528,-0.0912,0.8250,False,-0.0653,0.8030,-0.0959,0.8020,True
MES,1100,G6+,FOMC,9,136,0.3333,0.1688,0.1645,0.8810,False,0.2176,0.6300,0.4736,0.4360,True
MES,1100,G6+,NFP,8,137,0.2650,0.1740,0.0910,0.7760,False,0.3997,0.4270,-0.3216,0.5310,False
MES,1100,G6+,OPEX,7,138,0.1410,0.1810,-0.0400,0.9610,False,0.1791,0.7400,0.1812,0.7270,False
MES,1800,G4+,FOMC,41,665,0.0976,0.0030,0.0945,0.7380,False,0.0835,0.7430,0.1801,0.5660,True
MES,1800,G4+,NFP,35,671,-0.3143,0.0253,-0.3396,0.2150,False,-0.3957,0.0700,-0.3425,0.2470,True
MES,1800,G4+,OPEX,30,676,-0.2000,0.0178,-0.2178,0.4200,False,-0.1938,0.4630,-0.3399,0.3100,True
MES,1800,G6+,FOMC,20,294,-0.1000,-0.1560,0.0560,0.9880,False,-0.1114,0.7990,0.2530,0.5730,False
MES,1800,G6+,NFP,16,298,0.1250,-0.1673,0.2923,0.5570,False,-0.0440,1.0000,0.5262,0.1990,False
MES,1800,G6+,OPEX,12,302,-0.2500,-0.1486,-0.1014,0.9920,False,-0.1518,0.7890,-0.5422,0.2860,True
MES,2300,G4+,FOMC,34,526,0.3235,0.0294,0.2941,0.2650,False,0.1499,0.5800,0.4004,0.1730,True
MES,2300,G4+,NFP,40,520,0.0500,0.0470,0.0030,1.0000,False,-0.0385,0.8600,0.1722,0.5930,False
MES,2300,G4+,OPEX,26,534,0.1538,0.0421,0.1118,0.8200,False,0.3256,0.2260,0.1536,0.6470,True
MES,2300,G6+,FOMC,17,236,0.4118,-0.0023,0.4141,0.2800,False,0.3172,0.3200,0.4414,0.4060,True
MES,2300,G6+,NFP,26,227,0.2692,-0.0024,0.2716,0.3850,False,0.1406,0.6640,0.5030,0.1810,True
MES,2300,G6+,OPEX,14,239,0.0714,0.0228,0.0486,0.9110,False,0.2354,0.5660,-0.0312,0.9980,False
