trading_day,year,instrument,session,dst_regime,day_of_week,pnl_r,outcome,break_dir,orb_size,entry_price,stop_price,risk_dollars,eb_open,eb_close,c1_break_distance_r,c2_wick_ratio,c3_break_speed_min,c4_entry_bar_engulf,c5_entry_bar_continues,c6_reversal_1bar,c6_reversal_2bar,c6_reversal_3bar,c6_reversal_4bar,c6_reversal_5bar,c6_reversal_6bar,c6_reversal_7bar,c6_reversal_8bar,c6_reversal_10bar,c6_exit_close_1bar,c6_exit_close_2bar,c6_exit_close_3bar,c6_exit_close_4bar,c6_exit_close_5bar,c6_exit_close_6bar,c6_exit_close_7bar,c6_exit_close_8bar,c6_exit_close_10bar
2025-10-17,2025,MGC,1000,clean,4,-1.0000,loss,short,6.1000,4369.7000,4379.6000,,4369.7000,4370.2000,0.6721,0.4865,1.0000,False,False,False,False,False,True,True,True,True,True,True,,,,4374.9000,4374.9000,4374.9000,4374.9000,4374.9000,4374.9000
2025-10-20,2025,MGC,1000,clean,0,-1.1151,early_exit,short,7.9000,4239.2000,4254.0000,,4239.2000,4238.3000,0.9494,0.0682,7.0000,False,True,False,False,False,False,False,False,True,True,True,,,,,,,4246.9000,4246.9000,4246.9000
2025-10-21,2025,MGC,1000,clean,1,-1.0000,loss,long,6.8000,4379.6000,4372.4000,,4379.6000,4378.1000,0.0588,0.2917,1.0000,True,False,True,True,True,True,True,True,True,True,True,4377.6000,4377.6000,4377.6000,4377.6000,4377.6000,4377.6000,4377.6000,4377.6000,4377.6000
2025-10-22,2025,MGC,1000,clean,2,-0.6067,early_exit,short,40.6000,4055.3000,4107.6000,,4055.3000,4061.8000,0.2734,0.3571,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-10-23,2025,MGC,1000,clean,3,-0.1879,early_exit,short,15.0000,4096.3000,4114.3000,,4096.3000,4083.2000,0.1667,0.0400,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-10-24,2025,MGC,1000,clean,4,-1.0000,loss,long,7.6000,4142.0000,4133.4000,,4142.0000,4144.6000,0.1579,0.3684,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-10-27,2025,MGC,1000,clean,0,1.8179,win,long,10.2000,4084.8000,4071.8000,,4084.8000,4085.5000,0.3235,0.0000,1.0000,False,True,False,False,False,False,False,False,False,False,True,,,,,,,,,4081.1000
2025-10-28,2025,MGC,1000,clean,1,1.7117,win,short,4.9000,4005.1000,4013.0000,,4005.1000,4005.7000,0.5510,0.2549,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-10-29,2025,MGC,1000,clean,2,-1.0000,loss,short,8.2000,3974.1000,3983.8000,,3974.1000,3977.9000,0.1463,0.6000,6.0000,True,False,True,True,True,True,True,True,True,True,True,3979.2000,3979.2000,3979.2000,3979.2000,3979.2000,3979.2000,3979.2000,3979.2000,3979.2000
2025-10-30,2025,MGC,1000,clean,3,-1.0000,loss,short,12.9000,3962.3000,3976.2000,,3962.3000,3962.2000,0.0543,0.2500,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-10-31,2025,MGC,1000,clean,4,-1.0000,loss,short,6.3000,4042.6000,4049.0000,,4042.6000,4042.6000,0.0476,0.3333,1.0000,False,False,True,True,True,True,True,True,True,True,True,4043.2000,4043.2000,4043.2000,4043.2000,4043.2000,4043.2000,4043.2000,4043.2000,4043.2000
2025-11-03,2025,MGC,1000,clean,0,-0.2479,early_exit,short,10.0000,3978.0000,3998.3000,,3978.0000,3978.0000,1.0100,0.1170,5.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-11-04,2025,MGC,1000,clean,1,-0.3227,early_exit,short,8.4000,3997.6000,4009.9000,,3997.6000,3994.8000,0.4524,0.0000,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-11-05,2025,MGC,1000,clean,2,1.7974,win,long,8.7000,3952.4000,3940.8000,,3952.4000,3949.9000,0.3448,0.1944,49.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
