sess,om,em,rr,filt,N,ExpR,clt,clp,posyrs,nyrs,oosN,oos
CME_REOPEN,5,E1,1.0,NO_FILTER,3534,-0.23990987549518958,-11.44126281786754,3.859923223835875e-28,0,4,374,0.027203475935828874
CME_REOPEN,5,E1,1.0,ORB_G4,761,-0.033556504599211556,-0.6879477954184158,0.492451641957579,1,4,369,0.04112222222222222
CME_REOPEN,5,E1,1.0,ORB_G6,437,0.01562585812356979,0.23014338113794894,0.8184858243095257,2,4,333,0.04904504504504504
CME_REOPEN,5,E1,1.0,ORB_G8,258,-0.0046430232558139625,-0.05646393015865683,0.9551768576691327,2,4,303,0.07626468646864686
CME_REOPEN,5,E1,1.5,NO_FILTER,3534,-0.24898859649122806,-10.092339805790656,1.3361603615087295e-22,0,4,374,0.09067620320855616
CME_REOPEN,5,E1,1.5,ORB_G4,761,-0.017918265440210246,-0.29775367658263113,0.7662657468051753,2,4,369,0.1054550135501355
CME_REOPEN,5,E1,1.5,ORB_G6,437,0.06652219679633867,0.7817474422795867,0.436348740206281,2,4,333,0.1166066066066066
CME_REOPEN,5,E1,1.5,ORB_G8,258,0.00812558139534884,0.08235978023614526,0.9346596245538586,2,4,303,0.1428161716171617
CME_REOPEN,5,E1,2.0,NO_FILTER,3534,-0.254303480475382,-9.21391962584676,2.8260515394278747e-19,0,4,374,0.1659991978609626
CME_REOPEN,5,E1,2.0,ORB_G4,761,-0.015702496714848885,-0.23346190226636826,0.8156921375167985,2,4,369,0.18179864498644988
CME_REOPEN,5,E1,2.0,ORB_G6,437,0.06594027459954233,0.6886718695983538,0.4927442118729848,2,4,333,0.19433303303303304
CME_REOPEN,5,E1,2.0,ORB_G8,258,-0.01915155038759689,-0.17642742831737854,0.8606062018081786,2,4,303,0.22053894389438944
CME_REOPEN,5,E2,1.0,NO_FILTER,787,-0.18050216010165185,-7.968589955700489,5.634873309211357e-15,0,4,81,0.10283209876543209
CME_REOPEN,5,E2,1.0,ORB_G4,168,0.11097678571428572,2.1627143915196223,0.03198555111703582,3,4,80,0.09513999999999997
CME_REOPEN,5,E2,1.0,ORB_G6,95,0.16246842105263157,2.3134593289148486,0.02287741774885641,3,4,72,0.1015902777777778
CME_REOPEN,5,E2,1.0,ORB_G8,56,0.12469821428571426,1.3874021762168105,0.1709154273998842,3,4,66,0.12507575757575756
CME_REOPEN,5,E2,1.5,NO_FILTER,787,-0.21906569250317662,-8.352605734554901,3.005898432202886e-16,0,4,81,0.2045876543209876
CME_REOPEN,5,E2,1.5,ORB_G4,168,0.12291428571428571,1.9134608447995536,0.05739976930764631,2,4,80,0.1927975
CME_REOPEN,5,E2,1.5,ORB_G6,95,0.2448663157894737,2.7337326006958786,0.0074831306600885005,2,4,72,0.21124444444444446
CME_REOPEN,5,E2,1.5,ORB_G8,56,0.1578,1.4200171762680283,0.16124650399436638,3,4,66,0.23766060606060604
CME_REOPEN,5,E2,2.0,NO_FILTER,787,-0.21773850063532404,-7.514239183203694,1.5597059040964022e-13,0,4,81,0.2799271604938272
CME_REOPEN,5,E2,2.0,ORB_G4,168,0.1441375,1.9693877756843905,0.05056283647445356,3,4,80,0.29592625000000006
CME_REOPEN,5,E2,2.0,ORB_G6,95,0.23019578947368421,2.266046280104757,0.025742774685572622,2,4,72,0.3195541666666667
CME_REOPEN,5,E2,2.0,ORB_G8,56,0.13623749999999998,1.1290750832424048,0.2637668007960524,3,4,66,0.34878030303030305
CME_REOPEN,15,E1,1.0,NO_FILTER,2762,-0.2373187907313541,-10.122166427392782,1.8665016040636205e-22,0,4,292,0.0920599315068493
CME_REOPEN,15,E1,1.0,ORB_G4,713,-0.048051051893408143,-1.0070012751201842,0.31540863170033645,1,4,287,0.11108536585365851
CME_REOPEN,15,E1,1.0,ORB_G6,443,0.005225507900677196,0.0827842785659062,0.9341902225055506,2,4,277,0.12634007220216606
CME_REOPEN,15,E1,1.0,ORB_G8,323,0.010408668730650161,0.146979007372454,0.8835537584190022,3,4,257,0.15560233463035017
CME_REOPEN,15,E1,1.5,NO_FILTER,2762,-0.25575836350470676,-9.170452938295076,6.201466030167704e-19,0,4,292,0.19127260273972604
CME_REOPEN,15,E1,1.5,ORB_G4,713,-0.08058401122019637,-1.374347318266149,0.17119770998435108,1,4,287,0.2120264808362369
CME_REOPEN,15,E1,1.5,ORB_G6,443,-0.016636794582392783,-0.21155314909033957,0.832890561036478,2,4,277,0.23092527075812275
CME_REOPEN,15,E1,1.5,ORB_G8,323,-0.038460681114551094,-0.4396749162678293,0.6614714868235722,2,4,257,0.25920856031128403
CME_REOPEN,15,E1,2.0,NO_FILTER,2762,-0.2503642288196959,-7.892438958642891,1.2697962364721768e-14,0,4,292,0.23886027397260276
CME_REOPEN,15,E1,2.0,ORB_G4,713,-0.07253884992987376,-1.0939773995663569,0.27555937427781313,2,4,287,0.2604432055749129
CME_REOPEN,15,E1,2.0,ORB_G6,443,-0.016828216704288943,-0.18848218787844492,0.8508845039397442,2,4,277,0.2810898916967509
CME_REOPEN,15,E1,2.0,ORB_G8,323,-0.06893219814241487,-0.7210684977030988,0.4731703740742804,1,4,257,0.30415953307392996
CME_REOPEN,15,E2,1.0,NO_FILTER,651,-0.1881093701996928,-8.124474864097428,2.266528849668368e-15,0,4,63,0.13726190476190475
CME_REOPEN,15,E2,1.0,ORB_G4,168,0.014833928571428573,0.3111260210941186,0.7560928406294805,3,4,62,0.12789193548387096
CME_REOPEN,15,E2,1.0,ORB_G6,101,0.0968811881188119,1.4884839283060627,0.13977018313192582,4,4,60,0.14119333333333334
CME_REOPEN,15,E2,1.0,ORB_G8,74,0.07492567567567568,0.9842289954122895,0.32825384243996947,3,4,56,0.16768392857142858
CME_REOPEN,15,E2,1.5,NO_FILTER,651,-0.23456021505376345,-8.720055803511551,2.3149566406041274e-17,0,4,63,0.2623984126984127
CME_REOPEN,15,E2,1.5,ORB_G4,168,-0.027733333333333336,-0.480313907950339,0.6316327624842898,1,4,62,0.24811774193548383
CME_REOPEN,15,E2,1.5,ORB_G6,101,0.06995148514851487,0.8709183775494516,0.38588470597898006,3,4,60,0.26542666666666664
CME_REOPEN,15,E2,1.5,ORB_G8,74,0.0006716216216216136,0.007491674441039678,0.9940430003253481,2,4,56,0.2925053571428572
CME_REOPEN,15,E2,2.0,NO_FILTER,651,-0.2317136712749616,-7.694613474724361,5.285471033250125e-14,0,4,63,0.33141746031746033
CME_REOPEN,15,E2,2.0,ORB_G4,168,-0.01200059523809525,-0.18469682109598265,0.8536909427987691,2,4,62,0.352891935483871
CME_REOPEN,15,E2,2.0,ORB_G6,101,0.07086633663366337,0.7845085160879094,0.43459627583037647,2,4,60,0.3736933333333334
CME_REOPEN,15,E2,2.0,ORB_G8,74,0.024108108108108095,0.24387414285355002,0.8080123787008241,4,4,56,0.4002196428571429
CME_REOPEN,30,E1,1.0,NO_FILTER,1810,-0.221143591160221,-7.360047352532202,9.419860257541436e-13,0,4,224,0.23027500000000004
CME_REOPEN,30,E1,1.0,ORB_G4,484,-0.05863780991735536,-0.9130500291559238,0.36316018439103587,1,4,224,0.23027500000000004
CME_REOPEN,30,E1,1.0,ORB_G6,302,-0.03761523178807948,-0.4459664532229776,0.6569978826695485,2,4,224,0.23027500000000004
