entry_model,confirm_bars,rr_target,variant,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test2025_uplift,n_test_on
E0,1,3.0,same_short_fast15,177,29.5,0.3290389830508475,0.028654617676266134,0.30038436537458135,0.3615819209039548,0.282025819265144,3,5,0.6,0.16921000000000005,0.7567002777777778,36
E0,1,2.0,same_short_fast15,184,30.666666666666668,0.3272342391304348,0.05894796978281398,0.26828626934762084,0.483695652173913,0.3862134088762984,4,5,0.8,0.2507752915513046,0.3004525567473185,38
E0,1,3.0,same_short_only,200,33.333333333333336,0.3225285,0.022956707317073173,0.29957179268292683,0.36,0.2804878048780488,4,5,0.8,0.15270153468586392,0.844944110373552,39
E0,1,3.0,same_fast15,340,56.666666666666664,0.31906,-0.025338033175355452,0.34439803317535544,0.3588235294117647,0.2677725118483412,4,5,0.8,0.3915664293713006,0.19373252801120447,68
E0,1,2.5,same_short_fast15,182,30.333333333333332,0.31890494505494515,0.047111810261374634,0.27179313479357053,0.41208791208791207,0.3281703775411423,4,5,0.8,0.17126119360091965,0.5959629417747268,38
E0,1,2.0,same_short_only,209,34.833333333333336,0.31280430622009564,0.05537804642166345,0.2574262597984322,0.4784688995215311,0.3849129593810445,3,5,0.6,0.22559763173652697,0.3521046435272045,41
E0,1,2.5,same_short_only,206,34.333333333333336,0.3052728155339806,0.04343012884043607,0.26184268669354455,0.4077669902912621,0.3270564915758176,4,5,0.8,0.1475342617428732,0.6601074844571975,41
E0,1,3.0,same_fast30,375,62.5,0.28434746666666666,-0.024147342398022246,0.3084948090646889,0.34933333333333333,0.26823238566131025,4,5,0.8,0.36532179138321996,0.11763839337474116,75
E0,1,3.0,same_dir,386,64.33333333333333,0.27670673575129534,-0.024703884711779443,0.30141062046307476,0.3471502590673575,0.2681704260651629,4,5,0.8,0.33540375737313943,0.20180363518338196,78
E0,1,4.0,same_short_fast15,166,27.666666666666668,0.27267590361445787,-0.1291094319399786,0.40178533555443646,0.27710843373493976,0.19185423365487675,4,5,0.8,0.17408448647431568,1.1069951461988303,36
E0,1,2.5,same_fast15,349,58.166666666666664,0.26933008595988545,0.01467782909930716,0.2546522568605783,0.3954154727793696,0.3187066974595843,4,5,0.8,0.3034488337842555,0.08924793589120929,71
E0,1,4.0,same_short_only,187,31.166666666666668,0.252127807486631,-0.13414780701754386,0.38627561450417486,0.2727272727272727,0.19078947368421054,4,5,0.8,0.13316966854827036,1.2330338269573564,39
E0,1,2.5,same_fast30,386,64.33333333333333,0.24752487046632124,0.013465138721351022,0.23405973174497022,0.38860103626943004,0.31845597104945716,4,5,0.8,0.27224398671096345,0.10778991917035231,79
E0,1,2.5,same_dir,398,66.33333333333333,0.24262261306532668,0.01241542227662178,0.23020719078870489,0.3869346733668342,0.3182374541003672,4,5,0.8,0.251371240616758,0.169671068382463,82
E0,2,3.0,same_dir,190,31.666666666666668,0.19763578947368418,-0.010247138047138029,0.2078829275208222,0.3263157894736842,0.2727272727272727,4,5,0.8,0.2655507589941527,0.011994879089615954,37
E3,1,2.5,same_short_fast15,222,37.0,0.15165990990990996,-0.10925363941769317,0.26091354932760313,0.36036036036036034,0.2788353863381859,5,5,1.0,0.21792113701682436,0.45757097268673363,39
E3,1,2.5,same_short_only,243,40.5,0.1450971193415638,-0.11370825688073395,0.25880537622229777,0.35802469135802467,0.2775229357798165,4,5,0.8,0.19505961303830457,0.5456034464614575,42
E3,1,2.0,same_short_fast15,224,37.333333333333336,0.13629419642857146,-0.09208744541484713,0.22838164184341858,0.41517857142857145,0.3307860262008734,5,5,1.0,0.2374733066454412,0.22779207583196948,39
E3,1,2.0,same_short_only,246,41.0,0.13550040650406506,-0.09748914988814317,0.23298955639220822,0.4146341463414634,0.3288590604026846,4,5,0.8,0.2260116923076923,0.30016333333333334,42
