instrument,session,dst_regime,atr_regime,atr_threshold,delay_bucket,n,sample_class,avg_r,win_rate,pvalue,pvalue_bh
MES,1800,SUMMER,CONTRACTION,68.087500,0-2,9,INVALID,-0.666700,0.111100,0.080516,0.197182
MES,1800,SUMMER,CONTRACTION,68.087500,2-5,0,INVALID,,,,
MES,1800,SUMMER,CONTRACTION,68.087500,5-10,0,INVALID,,,,
MES,1800,SUMMER,CONTRACTION,68.087500,10-20,0,INVALID,,,,
MES,1800,SUMMER,CONTRACTION,68.087500,20-30,2,INVALID,0.500000,0.500000,0.795167,0.917500
MES,1800,SUMMER,CONTRACTION,68.087500,30+,7,INVALID,0.044700,0.571400,0.914490,0.987136
MES,1800,WINTER,EXPANSION,85.062500,0-2,2,INVALID,0.500000,0.500000,0.795167,0.917500
MES,1800,WINTER,EXPANSION,85.062500,2-5,1,INVALID,2.000000,1.000000,,
MES,1800,WINTER,EXPANSION,85.062500,5-10,0,INVALID,,,,
MES,1800,WINTER,EXPANSION,85.062500,10-20,0,INVALID,,,,
MES,1800,WINTER,EXPANSION,85.062500,20-30,0,INVALID,,,,
MES,1800,WINTER,EXPANSION,85.062500,30+,16,INVALID,-0.135000,0.375000,0.672913,0.907298
MES,1800,WINTER,CONTRACTION,85.062500,0-2,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,1800,WINTER,CONTRACTION,85.062500,2-5,1,INVALID,0.500000,1.000000,,
MES,1800,WINTER,CONTRACTION,85.062500,5-10,0,INVALID,,,,
MES,1800,WINTER,CONTRACTION,85.062500,10-20,0,INVALID,,,,
MES,1800,WINTER,CONTRACTION,85.062500,20-30,0,INVALID,,,,
MES,1800,WINTER,CONTRACTION,85.062500,30+,17,INVALID,0.175100,0.411800,0.584325,0.834750
MES,2300,SUMMER,EXPANSION,62.137500,0-2,8,INVALID,-0.495000,0.250000,0.232742,0.457853
MES,2300,SUMMER,EXPANSION,62.137500,2-5,0,INVALID,,,,
MES,2300,SUMMER,EXPANSION,62.137500,5-10,0,INVALID,,,,
MES,2300,SUMMER,EXPANSION,62.137500,10-20,1,INVALID,-1.000000,0.000000,,
MES,2300,SUMMER,EXPANSION,62.137500,20-30,0,INVALID,,,,
MES,2300,SUMMER,EXPANSION,62.137500,30+,7,INVALID,0.398500,0.428600,0.514880,0.792123
MES,2300,SUMMER,CONTRACTION,62.137500,0-2,9,INVALID,-0.415600,0.333300,0.108454,0.260290
MES,2300,SUMMER,CONTRACTION,62.137500,2-5,0,INVALID,,,,
MES,2300,SUMMER,CONTRACTION,62.137500,5-10,0,INVALID,,,,
MES,2300,SUMMER,CONTRACTION,62.137500,10-20,0,INVALID,,,,
MES,2300,SUMMER,CONTRACTION,62.137500,20-30,2,INVALID,0.125000,0.500000,0.929553,0.987136
MES,2300,SUMMER,CONTRACTION,62.137500,30+,6,INVALID,0.210200,0.500000,0.640370,0.883269
MES,2300,WINTER,EXPANSION,84.762500,0-2,5,INVALID,-0.771400,0.200000,0.027914,0.083742
MES,2300,WINTER,EXPANSION,84.762500,2-5,0,INVALID,,,,
MES,2300,WINTER,EXPANSION,84.762500,5-10,0,INVALID,,,,
MES,2300,WINTER,EXPANSION,84.762500,10-20,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,EXPANSION,84.762500,20-30,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,EXPANSION,84.762500,30+,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,CONTRACTION,84.762500,0-2,3,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,2300,WINTER,CONTRACTION,84.762500,2-5,0,INVALID,,,,
MES,2300,WINTER,CONTRACTION,84.762500,5-10,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,CONTRACTION,84.762500,10-20,0,INVALID,,,,
MES,2300,WINTER,CONTRACTION,84.762500,20-30,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,CONTRACTION,84.762500,30+,3,INVALID,0.000000,0.333300,1.000000,1.000000
MGC,0030,SUMMER,EXPANSION,30.365000,0-2,56,REGIME,-0.512900,0.232100,0.000079,0.000351
MGC,0030,SUMMER,EXPANSION,30.365000,2-5,2,INVALID,0.500000,0.500000,0.795167,0.917500
MGC,0030,SUMMER,EXPANSION,30.365000,5-10,2,INVALID,0.500000,0.500000,0.795167,0.917500
MGC,0030,SUMMER,EXPANSION,30.365000,10-20,9,INVALID,0.455700,0.555600,0.295927,0.563670
MGC,0030,SUMMER,EXPANSION,30.365000,20-30,3,INVALID,-0.827700,0.000000,0.040698,0.116280
MGC,0030,SUMMER,EXPANSION,30.365000,30+,60,REGIME,-0.529900,0.166700,0.000072,0.000332
MGC,0030,SUMMER,CONTRACTION,30.365000,0-2,78,REGIME,-0.318200,0.294900,0.001921,0.007684
MGC,0030,SUMMER,CONTRACTION,30.365000,2-5,3,INVALID,-0.725500,0.000000,0.118298,0.272995
MGC,0030,SUMMER,CONTRACTION,30.365000,5-10,3,INVALID,0.103500,0.666700,0.874269,0.965505
MGC,0030,SUMMER,CONTRACTION,30.365000,10-20,3,INVALID,-0.798500,0.000000,0.058155,0.148481
MGC,0030,SUMMER,CONTRACTION,30.365000,20-30,0,INVALID,,,,
MGC,0030,SUMMER,CONTRACTION,30.365000,30+,45,REGIME,0.019900,0.444400,0.899119,0.980857
MGC,0030,WINTER,EXPANSION,28.200000,0-2,69,REGIME,-0.598600,0.173900,0.000000,0.000000
MGC,0030,WINTER,EXPANSION,28.200000,2-5,0,INVALID,,,,
MGC,0030,WINTER,EXPANSION,28.200000,5-10,2,INVALID,0.000000,0.500000,1.000000,1.000000
MGC,0030,WINTER,EXPANSION,28.200000,10-20,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,0030,WINTER,EXPANSION,28.200000,20-30,6,INVALID,-0.142700,0.333300,0.778660,0.917500
MGC,0030,WINTER,EXPANSION,28.200000,30+,42,REGIME,-0.166500,0.333300,0.319053,0.589021
MGC,0030,WINTER,CONTRACTION,28.200000,0-2,71,REGIME,-0.557100,0.225400,0.000000,0.000000
MGC,0030,WINTER,CONTRACTION,28.200000,2-5,3,INVALID,-0.297500,0.333300,0.403856,0.702358
MGC,0030,WINTER,CONTRACTION,28.200000,5-10,5,INVALID,-0.445500,0.200000,0.134301,0.293020
MGC,0030,WINTER,CONTRACTION,28.200000,10-20,3,INVALID,-0.573200,0.000000,0.155292,0.326931
MGC,0030,WINTER,CONTRACTION,28.200000,20-30,2,INVALID,-0.533300,0.000000,0.457621,0.766262
MGC,0030,WINTER,CONTRACTION,28.200000,30+,40,REGIME,-0.180000,0.350000,0.197760,0.395520
MGC,0900,SUMMER,EXPANSION,63.165000,0-2,2,INVALID,-0.495200,0.500000,0.506092,0.788715
MGC,0900,SUMMER,EXPANSION,63.165000,2-5,0,INVALID,,,,
MGC,0900,SUMMER,EXPANSION,63.165000,5-10,0,INVALID,,,,
MGC,0900,SUMMER,EXPANSION,63.165000,10-20,0,INVALID,,,,
MGC,0900,SUMMER,EXPANSION,63.165000,20-30,0,INVALID,,,,
MGC,0900,SUMMER,EXPANSION,63.165000,30+,5,INVALID,-0.266700,0.200000,0.670180,0.907298
MGC,0900,SUMMER,CONTRACTION,63.165000,0-2,3,INVALID,-0.533300,0.333300,0.371461,0.655519
MGC,0900,SUMMER,CONTRACTION,63.165000,2-5,0,INVALID,,,,
MGC,0900,SUMMER,CONTRACTION,63.165000,5-10,0,INVALID,,,,
MGC,0900,SUMMER,CONTRACTION,63.165000,10-20,0,INVALID,,,,
MGC,0900,SUMMER,CONTRACTION,63.165000,20-30,1,INVALID,2.000000,1.000000,,
MGC,0900,SUMMER,CONTRACTION,63.165000,30+,6,INVALID,0.500000,0.500000,0.489590,0.787339
MGC,0900,WINTER,EXPANSION,80.780000,0-2,5,INVALID,-0.183200,0.200000,0.759619,0.917500
MGC,0900,WINTER,EXPANSION,80.780000,2-5,0,INVALID,,,,
MGC,0900,WINTER,EXPANSION,80.780000,5-10,0,INVALID,,,,
MGC,0900,WINTER,EXPANSION,80.780000,10-20,1,INVALID,-1.000000,0.000000,,
MGC,0900,WINTER,EXPANSION,80.780000,20-30,1,INVALID,-1.000000,0.000000,,
MGC,0900,WINTER,EXPANSION,80.780000,30+,14,INVALID,-0.680300,0.142900,0.011503,0.038343
MGC,0900,WINTER,CONTRACTION,80.780000,0-2,7,INVALID,-0.591700,0.142900,0.022175,0.068231
MGC,0900,WINTER,CONTRACTION,80.780000,2-5,0,INVALID,,,,
MGC,0900,WINTER,CONTRACTION,80.780000,5-10,0,INVALID,,,,
MGC,0900,WINTER,CONTRACTION,80.780000,10-20,4,INVALID,-0.750000,0.000000,0.057669,0.148481
MGC,0900,WINTER,CONTRACTION,80.780000,20-30,0,INVALID,,,,
MGC,0900,WINTER,CONTRACTION,80.780000,30+,11,INVALID,-0.816900,0.090900,0.001212,0.005015
MGC,1000,ALL,EXPANSION,52.755000,0-2,19,INVALID,-0.684200,0.105300,0.005502,0.020007
MGC,1000,ALL,EXPANSION,52.755000,2-5,2,INVALID,0.500000,0.500000,0.795167,0.917500
MGC,1000,ALL,EXPANSION,52.755000,5-10,1,INVALID,2.000000,1.000000,,
MGC,1000,ALL,EXPANSION,52.755000,10-20,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,1000,ALL,EXPANSION,52.755000,20-30,6,INVALID,1.000000,0.666700,0.174688,0.361423
MGC,1000,ALL,EXPANSION,52.755000,30+,17,INVALID,-0.052800,0.294100,0.877000,0.965505
MGC,1000,ALL,CONTRACTION,52.755000,0-2,13,INVALID,-0.671200,0.076900,0.013584,0.044056
MGC,1000,ALL,CONTRACTION,52.755000,2-5,1,INVALID,2.000000,1.000000,,
MGC,1000,ALL,CONTRACTION,52.755000,5-10,5,INVALID,0.013100,0.400000,0.982046,1.000000
MGC,1000,ALL,CONTRACTION,52.755000,10-20,3,INVALID,0.605200,0.666700,0.318596,0.589021
MGC,1000,ALL,CONTRACTION,52.755000,20-30,1,INVALID,2.000000,1.000000,,
MGC,1000,ALL,CONTRACTION,52.755000,30+,27,INVALID,-0.285700,0.333300,0.153906,0.326931
MGC,1800,SUMMER,EXPANSION,35.640000,0-2,20,INVALID,-0.386300,0.200000,0.133515,0.293020
MGC,1800,SUMMER,EXPANSION,35.640000,2-5,3,INVALID,0.016600,0.666700,0.979216,1.000000
MGC,1800,SUMMER,EXPANSION,35.640000,5-10,0,INVALID,,,,
MGC,1800,SUMMER,EXPANSION,35.640000,10-20,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,1800,SUMMER,EXPANSION,35.640000,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,1800,SUMMER,EXPANSION,35.640000,30+,21,INVALID,-0.232200,0.238100,0.419118,0.718488
MGC,1800,SUMMER,CONTRACTION,35.640000,0-2,25,INVALID,-0.620400,0.160000,0.000019,0.000095
MGC,1800,SUMMER,CONTRACTION,35.640000,2-5,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,1800,SUMMER,CONTRACTION,35.640000,5-10,0,INVALID,,,,
MGC,1800,SUMMER,CONTRACTION,35.640000,10-20,1,INVALID,-1.000000,0.000000,,
MGC,1800,SUMMER,CONTRACTION,35.640000,20-30,1,INVALID,-1.000000,0.000000,,
MGC,1800,SUMMER,CONTRACTION,35.640000,30+,20,INVALID,-0.147500,0.300000,0.549247,0.803776
MGC,1800,WINTER,EXPANSION,36.100000,0-2,4,INVALID,-0.631800,0.250000,0.184658,0.375576
MGC,1800,WINTER,EXPANSION,36.100000,2-5,1,INVALID,-1.000000,0.000000,,
MGC,1800,WINTER,EXPANSION,36.100000,5-10,1,INVALID,-1.000000,0.000000,,
MGC,1800,WINTER,EXPANSION,36.100000,10-20,0,INVALID,,,,
MGC,1800,WINTER,EXPANSION,36.100000,20-30,1,INVALID,-1.000000,0.000000,,
MGC,1800,WINTER,EXPANSION,36.100000,30+,44,REGIME,-0.294400,0.250000,0.116825,0.272995
MGC,1800,WINTER,CONTRACTION,36.100000,0-2,9,INVALID,-0.514900,0.222200,0.062483,0.156207
MGC,1800,WINTER,CONTRACTION,36.100000,2-5,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,1800,WINTER,CONTRACTION,36.100000,5-10,1,INVALID,-1.000000,0.000000,,
MGC,1800,WINTER,CONTRACTION,36.100000,10-20,2,INVALID,-0.514600,0.000000,0.044928,0.125380
MGC,1800,WINTER,CONTRACTION,36.100000,20-30,3,INVALID,0.288900,0.333300,0.776624,0.917500
MGC,1800,WINTER,CONTRACTION,36.100000,30+,35,REGIME,-0.290700,0.285700,0.051706,0.137883
MGC,2300,SUMMER,EXPANSION,32.975000,0-2,58,REGIME,-0.483100,0.206900,0.000350,0.001500
MGC,2300,SUMMER,EXPANSION,32.975000,2-5,4,INVALID,-0.187700,0.250000,0.814132,0.930437
MGC,2300,SUMMER,EXPANSION,32.975000,5-10,4,INVALID,0.029900,0.500000,0.945951,0.995738
MGC,2300,SUMMER,EXPANSION,32.975000,10-20,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,2300,SUMMER,EXPANSION,32.975000,20-30,5,INVALID,0.055800,0.400000,0.925282,0.987136
MGC,2300,SUMMER,EXPANSION,32.975000,30+,46,REGIME,-0.420600,0.217400,0.008578,0.030275
MGC,2300,SUMMER,CONTRACTION,32.975000,0-2,69,REGIME,-0.589800,0.144900,0.000000,0.000000
MGC,2300,SUMMER,CONTRACTION,32.975000,2-5,4,INVALID,-0.473000,0.250000,0.132288,0.293020
MGC,2300,SUMMER,CONTRACTION,32.975000,5-10,7,INVALID,-0.057500,0.571400,0.750221,0.917500
MGC,2300,SUMMER,CONTRACTION,32.975000,10-20,3,INVALID,-0.456400,0.333300,0.489491,0.787339
MGC,2300,SUMMER,CONTRACTION,32.975000,20-30,5,INVALID,-0.194000,0.200000,0.283366,0.548450
MGC,2300,SUMMER,CONTRACTION,32.975000,30+,34,REGIME,-0.249800,0.323500,0.034874,0.102070
MGC,2300,WINTER,EXPANSION,41.125000,0-2,27,INVALID,-0.783600,0.148100,0.000000,0.000000
MGC,2300,WINTER,EXPANSION,41.125000,2-5,5,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,2300,WINTER,EXPANSION,41.125000,5-10,1,INVALID,0.210500,1.000000,,
MGC,2300,WINTER,EXPANSION,41.125000,10-20,1,INVALID,0.779700,1.000000,,
MGC,2300,WINTER,EXPANSION,41.125000,20-30,1,INVALID,-1.000000,0.000000,,
MGC,2300,WINTER,EXPANSION,41.125000,30+,14,INVALID,-0.556000,0.214300,0.009621,0.032986
MGC,2300,WINTER,CONTRACTION,41.125000,0-2,15,INVALID,-0.483000,0.266700,0.019311,0.060982
MGC,2300,WINTER,CONTRACTION,41.125000,2-5,3,INVALID,-0.295900,0.333300,0.498707,0.787432
MGC,2300,WINTER,CONTRACTION,41.125000,5-10,3,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,2300,WINTER,CONTRACTION,41.125000,10-20,5,INVALID,-0.162100,0.600000,0.525922,0.798869
MGC,2300,WINTER,CONTRACTION,41.125000,20-30,0,INVALID,,,,
MGC,2300,WINTER,CONTRACTION,41.125000,30+,25,INVALID,-0.076600,0.440000,0.712819,0.917500
