session,rr,cb,em,tier,n,avg_r,win_rate,t_stat,p_val,p_bh,bh_sig
0030,3.0,1,E1,NESTED_15,138,-0.5087,0.188,-5.763,0.0,0.0,True
0030,3.0,1,E1,NESTED_30,35,-0.6484,0.143,-4.383,0.0001,0.0001,True
0030,3.0,1,E1,SOLO_5,777,-0.4108,0.237,-10.567,0.0,0.0,True
0030,3.0,1,E3,NESTED_15,94,-0.3843,0.255,-3.471,0.0008,0.001,True
0030,3.0,1,E3,SOLO_5,837,-0.4089,0.257,-11.39,0.0,0.0,True
0030,3.0,2,E1,NESTED_15,162,-0.5533,0.173,-7.076,0.0,0.0,True
0030,3.0,2,E1,NESTED_30,64,-0.6778,0.125,-6.251,0.0,0.0,True
0030,3.0,2,E1,SOLO_5,643,-0.37,0.246,-8.32,0.0,0.0,True
0030,3.0,3,E1,NESTED_15,171,-0.4877,0.199,-6.093,0.0,0.0,True
0030,3.0,3,E1,NESTED_30,86,-0.5509,0.163,-4.912,0.0,0.0,True
0030,3.0,3,E1,SOLO_5,556,-0.3817,0.234,-7.868,0.0,0.0,True
0030,3.0,4,E1,NESTED_15,169,-0.4521,0.201,-5.314,0.0,0.0,True
0030,3.0,4,E1,NESTED_30,110,-0.6642,0.118,-7.424,0.0,0.0,True
0030,3.0,4,E1,SOLO_5,503,-0.358,0.243,-6.925,0.0,0.0,True
0030,3.0,5,E1,NESTED_15,165,-0.4474,0.2,-5.124,0.0,0.0,True
0030,3.0,5,E1,NESTED_30,128,-0.6944,0.109,-8.822,0.0,0.0,True
0030,3.0,5,E1,SOLO_5,446,-0.3743,0.235,-6.878,0.0,0.0,True
0030,4.0,1,E1,NESTED_15,130,-0.6121,0.123,-6.621,0.0,0.0,True
0030,4.0,1,E1,NESTED_30,33,-0.8159,0.061,-6.368,0.0,0.0,True
0030,4.0,1,E1,SOLO_5,741,-0.4381,0.182,-9.788,0.0,0.0,True
0030,4.0,1,E3,NESTED_15,87,-0.56,0.149,-4.847,0.0,0.0,True
0030,4.0,1,E3,SOLO_5,800,-0.4533,0.19,-11.012,0.0,0.0,True
0030,4.0,2,E1,NESTED_15,149,-0.7506,0.081,-10.684,0.0,0.0,True
0030,4.0,2,E1,NESTED_30,60,-0.8542,0.05,-10.288,0.0,0.0,True
0030,4.0,2,E1,SOLO_5,604,-0.4351,0.18,-8.706,0.0,0.0,True
0030,4.0,3,E1,NESTED_15,161,-0.6267,0.112,-7.469,0.0,0.0,True
0030,4.0,3,E1,NESTED_30,78,-0.7771,0.064,-7.866,0.0,0.0,True
0030,4.0,3,E1,SOLO_5,519,-0.4839,0.164,-9.267,0.0,0.0,True
0030,4.0,4,E1,NESTED_15,159,-0.5375,0.138,-5.814,0.0,0.0,True
0030,4.0,4,E1,NESTED_30,107,-0.6778,0.093,-6.808,0.0,0.0,True
0030,4.0,4,E1,SOLO_5,458,-0.5085,0.153,-9.228,0.0,0.0,True
0030,4.0,5,E1,NESTED_15,157,-0.5391,0.134,-5.687,0.0,0.0,True
0030,4.0,5,E1,NESTED_30,122,-0.7849,0.066,-10.541,0.0,0.0,True
0030,4.0,5,E1,SOLO_5,410,-0.5075,0.151,-8.659,0.0,0.0,True
0900,1.0,1,E0,NESTED_15,335,-0.3576,0.284,-12.663,0.0,0.0,True
0900,1.0,1,E0,NESTED_30,151,-0.291,0.351,-6.324,0.0,0.0,True
0900,1.0,1,E0,SOLO_5,1753,-0.4101,0.233,-32.944,0.0,0.0,True
0900,1.0,1,E1,NESTED_15,496,-0.4833,0.204,-21.944,0.0,0.0,True
0900,1.0,1,E1,NESTED_30,344,-0.539,0.198,-20.065,0.0,0.0,True
0900,1.0,1,E1,SOLO_5,1632,-0.4391,0.236,-32.868,0.0,0.0,True
0900,1.0,1,E3,NESTED_15,345,-0.4205,0.232,-15.904,0.0,0.0,True
0900,1.0,1,E3,NESTED_30,148,-0.3593,0.297,-7.975,0.0,0.0,True
0900,1.0,1,E3,SOLO_5,1784,-0.4837,0.186,-40.713,0.0,0.0,True
0900,1.0,2,E0,NESTED_15,120,-0.3534,0.283,-7.76,0.0,0.0,True
0900,1.0,2,E0,NESTED_30,52,-0.2016,0.404,-2.636,0.0111,0.0124,True
0900,1.0,2,E0,SOLO_5,578,-0.3815,0.244,-17.785,0.0,0.0,True
0900,1.0,2,E1,NESTED_15,583,-0.4435,0.228,-20.592,0.0,0.0,True
0900,1.0,2,E1,NESTED_30,482,-0.414,0.274,-16.593,0.0,0.0,True
0900,1.0,2,E1,SOLO_5,1380,-0.4422,0.226,-30.762,0.0,0.0,True
0900,1.0,3,E0,NESTED_15,68,-0.4034,0.25,-6.723,0.0,0.0,True
0900,1.0,3,E0,SOLO_5,342,-0.3808,0.249,-13.139,0.0,0.0,True
0900,1.0,3,E1,NESTED_15,618,-0.4568,0.209,-22.235,0.0,0.0,True
0900,1.0,3,E1,NESTED_30,610,-0.3841,0.295,-16.948,0.0,0.0,True
0900,1.0,3,E1,SOLO_5,1205,-0.4408,0.225,-28.459,0.0,0.0,True
0900,1.0,4,E0,NESTED_15,33,-0.4999,0.182,-5.594,0.0,0.0,True
0900,1.0,4,E0,SOLO_5,233,-0.4019,0.245,-11.562,0.0,0.0,True
0900,1.0,4,E1,NESTED_15,644,-0.4466,0.211,-22.408,0.0,0.0,True
0900,1.0,4,E1,NESTED_30,698,-0.3463,0.318,-15.993,0.0,0.0,True
0900,1.0,4,E1,SOLO_5,1071,-0.4235,0.238,-25.709,0.0,0.0,True
0900,1.0,5,E0,SOLO_5,155,-0.4432,0.2,-10.493,0.0,0.0,True
0900,1.0,5,E1,NESTED_15,634,-0.4168,0.232,-20.12,0.0,0.0,True
0900,1.0,5,E1,NESTED_30,805,-0.3414,0.306,-17.206,0.0,0.0,True
0900,1.0,5,E1,SOLO_5,969,-0.4288,0.238,-24.655,0.0,0.0,True
0900,1.5,1,E0,NESTED_15,335,-0.4061,0.281,-11.448,0.0,0.0,True
0900,1.5,1,E0,NESTED_30,151,-0.2898,0.358,-5.059,0.0,0.0,True
0900,1.5,1,E0,SOLO_5,1753,-0.4218,0.264,-27.175,0.0,0.0,True
0900,1.5,1,E1,NESTED_15,496,-0.539,0.185,-21.096,0.0,0.0,True
0900,1.5,1,E1,NESTED_30,344,-0.5311,0.198,-16.468,0.0,0.0,True
0900,1.5,1,E1,SOLO_5,1631,-0.4584,0.242,-28.412,0.0,0.0,True
0900,1.5,1,E3,NESTED_15,345,-0.4666,0.226,-14.559,0.0,0.0,True
0900,1.5,1,E3,NESTED_30,148,-0.3305,0.324,-5.88,0.0,0.0,True
0900,1.5,1,E3,SOLO_5,1784,-0.4932,0.22,-33.697,0.0,0.0,True
0900,1.5,2,E0,NESTED_15,120,-0.3834,0.275,-6.514,0.0,0.0,True
0900,1.5,2,E0,NESTED_30,52,-0.1859,0.423,-1.897,0.0635,0.0681,True
0900,1.5,2,E0,SOLO_5,578,-0.394,0.272,-14.444,0.0,0.0,True
0900,1.5,2,E1,NESTED_15,583,-0.4918,0.223,-19.504,0.0,0.0,True
0900,1.5,2,E1,NESTED_30,481,-0.4074,0.272,-13.243,0.0,0.0,True
0900,1.5,2,E1,SOLO_5,1379,-0.4418,0.248,-25.178,0.0,0.0,True
