variant,n_on,signals_per_year,avg_on,avg_off,uplift_on_off
base,386,64.33333333333333,0.27670673575129534,,
exclude_wed,311,51.833333333333336,0.3885881028938907,-0.18722799999999998,0.5758161028938906
exclude_wed_thu,225,37.5,0.45540977777777775,0.026966459627329197,0.42844331815044856
mon_tue_only,152,25.333333333333332,0.5215605263157894,0.11765641025641027,0.40390411605937915
