symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift,n_test_on
MES,CME_CLOSE,E0,1,1.5,F7_delay30_size_vol,1308,151,18.875,0.35103046357615897,0.059750734658599834,0.29127972891755916,0.609271523178808,0.5090751944684528,0,0,,0.3156378428270042,,23
MES,US_EQUITY_OPEN,E0,2,3.0,F4_cont_delay30_vol,671,202,25.25,0.30552871287128713,-0.12346481876332623,0.42899353163461335,0.3564356435643564,0.24307036247334754,0,0,,0.4391609528294483,,41
MES,US_EQUITY_OPEN,E0,2,2.5,F4_cont_delay30_vol,697,209,26.125,0.287588995215311,-0.022896516393442617,0.3104855116087536,0.4019138755980861,0.3114754098360656,0,0,,0.34794477164778953,,42
MES,US_EQUITY_OPEN,E0,1,2.5,F7_delay30_size_vol,1688,233,29.125,0.2840510729613734,0.037579793814432993,0.2464712791469404,0.3905579399141631,0.33127147766323023,1,1,1.0,0.2539976179369829,,43
MES,CME_CLOSE,E0,1,2.0,F4_cont_delay30_vol,1145,432,54.0,0.2832854166666667,-0.07671248246844319,0.3599978991351099,0.5138888888888888,0.3688639551192146,5,5,1.0,0.30232041339716814,0.6461392528544507,97
MES,US_EQUITY_OPEN,E0,1,2.5,F6_lowatr_cont_delay30,1688,305,38.125,0.2810255737704918,0.025415545914678258,0.25561002785581355,0.4131147540983607,0.3232104121475054,3,3,1.0,0.2591606725137593,,0
MES,CME_CLOSE,E0,1,1.5,F4_cont_delay30_vol,1308,486,60.75,0.26853765432098764,-0.01018503649635036,0.278722690817338,0.6049382716049383,0.4708029197080292,5,5,1.0,0.23542825385815855,0.5681021121495328,107
MES,US_EQUITY_OPEN,E0,2,2.0,F8_delay15_size,724,235,29.375,0.26648255319148934,0.04374294478527608,0.22273960840621326,0.451063829787234,0.39263803680981596,0,1,0.0,0.1619104418720438,,32
MES,US_EQUITY_OPEN,E0,2,2.0,F3_cont_delay30_size,724,257,32.125,0.256192607003891,0.038912633832976454,0.21727997317091458,0.4474708171206226,0.39186295503211993,1,1,1.0,0.17203397721879446,,34
MES,US_EQUITY_OPEN,E0,2,2.5,F8_delay15_size,697,224,28.0,0.25411517857142857,-0.016890486257928113,0.2710056648293567,0.38392857142857145,0.3171247357293869,1,1,1.0,0.2556240297713982,,29
MES,US_EQUITY_OPEN,E0,2,2.0,F4_cont_delay30_vol,724,215,26.875,0.25185348837209304,0.058674263261296676,0.19317922511079635,0.4558139534883721,0.3929273084479371,0,0,,0.19885377140340255,,43
MES,US_EQUITY_OPEN,E0,2,2.5,F3_cont_delay30_size,697,243,30.375,0.24971563786008233,-0.025877312775330414,0.2755929506354127,0.38271604938271603,0.31497797356828194,1,1,1.0,0.2759628847845207,,31
MES,US_EQUITY_OPEN,E0,1,3.0,F7_delay30_size_vol,1636,225,28.125,0.23462622222222226,-0.006778738483345144,0.2414049607055674,0.3288888888888889,0.27710843373493976,1,1,1.0,0.24407685186922023,,41
MES,0030,E0,1,2.5,F7_delay30_size_vol,1716,187,23.375,0.22531122994652403,0.020586200130804443,0.20472502981571958,0.37967914438502676,0.3368214519293656,0,0,,0.21398572067850863,,39
MES,0030,E0,1,2.0,F7_delay30_size_vol,1751,195,24.375,0.2213153846153846,0.020992994858611835,0.20032238975677277,0.441025641025641,0.39203084832904883,0,0,,0.18479965190754666,,41
MES,US_EQUITY_OPEN,E0,1,3.0,F6_lowatr_cont_delay30,1636,292,36.5,0.217927397260274,-0.015185044642857162,0.23311244190313116,0.3424657534246575,0.27157738095238093,2,2,1.0,0.243302397260274,,0
MES,US_EQUITY_OPEN,E0,2,1.5,F3_cont_delay30_size,735,262,32.75,0.21417862595419848,-0.0006661733615221934,0.21484479931572067,0.5190839694656488,0.452431289640592,1,1,1.0,0.1629287900690668,,35
M2K,US_EQUITY_OPEN,E0,1,2.0,F6_lowatr_cont_delay30,1093,321,53.5,0.21372461059190034,-0.048627849740932656,0.262352460332833,0.4423676012461059,0.344559585492228,3,3,1.0,0.2844095614035088,,45
MES,0030,E0,1,1.5,F7_delay30_size_vol,1774,198,24.75,0.21194242424242427,0.004054631979695439,0.20788779226272883,0.5252525252525253,0.4606598984771574,0,0,,0.2056837948459308,,41
MES,US_EQUITY_OPEN,E0,2,1.5,F8_delay15_size,735,239,29.875,0.20422761506276152,0.01409133064516129,0.19013628441760022,0.5146443514644351,0.4576612903225806,0,1,0.0,0.11885899447940017,,33
MES,US_EQUITY_OPEN,E0,2,3.0,F8_delay15_size,671,214,26.75,0.20375140186915885,-0.08707002188183807,0.29082142375099695,0.32242990654205606,0.25601750547045954,1,1,1.0,0.2937766225798627,,26
MES,US_EQUITY_OPEN,E0,1,2.0,F7_delay30_size_vol,1735,239,29.875,0.20365899581589955,0.07335106951871659,0.13030792629718296,0.42677824267782427,0.39906417112299464,1,1,1.0,0.12193211456967014,,44
MES,1000,E0,2,2.5,F8_delay15_size,637,170,21.25,0.20288941176470587,-0.1146882226980728,0.31757763446277865,0.4,0.3426124197002141,0,0,,0.20975000861326443,,33
MES,1100,E0,1,2.5,F7_delay30_size_vol,1746,187,23.375,0.2005754010695187,-0.15793245670301476,0.35850785777253347,0.42245989304812837,0.33803720333547144,1,1,1.0,0.3674334316489554,,24
