candidate_id,candidate,variant,n,signals_per_year,wr,avg_r,total_r,delta_avg_r_vs_base,delta_test2025_vs_base
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY | E1/CB5/RR1.5,baseline,493,82.16666666666667,0.47058823529411764,0.08136166328600407,40.11130000000001,0.0,0.0
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY | E1/CB5/RR1.5,bqs_ge3,136,22.666666666666668,0.5,0.14924705882352937,20.297599999999996,0.0678853955375253,0.1744461538461537
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY | E1/CB5/RR1.5,strict_all4,34,8.5,0.38235294117647056,-0.11718529411764707,-3.9843,-0.19854695740365114,
A1,M6E_US_EQUITY_OPEN -> M2K_US_POST_EQUITY | E1/CB5/RR1.5,veto_D,492,82.0,0.4695121951219512,0.0789969512195122,38.8665,-0.0023647120664918725,-0.0093036594473489
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN | E0/CB1/RR1.5,baseline,630,105.0,0.5174603174603175,0.040902698412698425,25.768700000000006,0.0,0.0
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN | E0/CB1/RR1.5,bqs_ge3,145,29.0,0.4689655172413793,-0.06973655172413795,-10.111800000000002,-0.11063925013683637,-0.052336082096389944
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN | E0/CB1/RR1.5,strict_all4,25,6.25,0.36,-0.31413599999999997,-7.8534,-0.3550386984126984,
A2,MES_US_DATA_OPEN -> M2K_US_DATA_OPEN | E0/CB1/RR1.5,veto_D,613,102.16666666666667,0.5220228384991843,0.05190701468189233,31.819,0.011004316269193903,0.0016366572906270013
A3,MES_1000 -> M2K_US_POST_EQUITY | E1/CB5/RR1.5,baseline,496,82.66666666666667,0.45161290322580644,0.03453185483870968,17.1278,0.0,0.0
A3,MES_1000 -> M2K_US_POST_EQUITY | E1/CB5/RR1.5,bqs_ge3,133,26.6,0.49624060150375937,0.13392330827067672,17.811800000000005,0.09939145343196704,0.09339360439560435
A3,MES_1000 -> M2K_US_POST_EQUITY | E1/CB5/RR1.5,strict_all4,24,6.0,0.375,-0.14014583333333333,-3.3634999999999997,-0.17467768817204302,
A3,MES_1000 -> M2K_US_POST_EQUITY | E1/CB5/RR1.5,veto_D,490,81.66666666666667,0.4530612244897959,0.03788571428571427,18.563999999999993,0.0033538594470045938,-0.02353922706506978
B1,M2K_1000 -> MES_1000 | E0/CB1/RR2.5,baseline,830,138.33333333333334,0.37710843373493974,0.028291807228915663,23.4822,0.0,0.0
B1,M2K_1000 -> MES_1000 | E0/CB1/RR2.5,bqs_ge3,129,25.8,0.4108527131782946,0.11533565891472869,14.878300000000001,0.08704385168581302,0.02942993441929334
B1,M2K_1000 -> MES_1000 | E0/CB1/RR2.5,strict_all4,27,5.4,0.3333333333333333,-0.028377777777777762,-0.7661999999999995,-0.056669585006693425,
B1,M2K_1000 -> MES_1000 | E0/CB1/RR2.5,veto_D,801,133.5,0.38202247191011235,0.04155967540574283,33.28930000000001,0.01326786817682717,0.02840341088860593
B2,MES_1000 fast<=15 | E0/CB1/RR2.5,baseline,1311,187.28571428571428,0.3707093821510298,0.011141952707856584,14.607099999999981,0.0,0.0
B2,MES_1000 fast<=15 | E0/CB1/RR2.5,bqs_ge3,501,71.57142857142857,0.36127744510978044,-0.038833333333333324,-19.455499999999994,-0.049975286041189906,
B2,MES_1000 fast<=15 | E0/CB1/RR2.5,strict_all4,97,16.166666666666668,0.3402061855670103,-0.08314845360824742,-8.0654,-0.09429040631610401,
B2,MES_1000 fast<=15 | E0/CB1/RR2.5,veto_D,1287,183.85714285714286,0.372960372960373,0.01793512043512043,23.082499999999996,0.006793167727263847,0.005399986329460038
