filter,symbol,session,n_base,n_on,on_rate,avg_r_base,avg_r_on,uplift_avg_r,wr_base,wr_on,wr_uplift,dd_base,dd_on
one_way_proxy,MGC,0900,2438,378,0.15504511894995898,-0.44809712879409347,-0.06401931216931216,0.3840778166247813,0.2575881870385562,0.3306878306878307,0.07309964364927451,1107.4898999999966,45.867
one_way_proxy,MNQ,1100,512,104,0.203125,-0.015373437500000003,0.22992884615384618,0.24530228365384618,0.30859375,0.36538461538461536,0.05679086538461536,45.911,12.2161
one_way_proxy,MGC,1000,2547,481,0.18884962701217117,-0.36728653317628585,-0.17122016632016632,0.19606636685611953,0.28857479387514723,0.29313929313929316,0.004564499264145927,936.6956999999968,95.45179999999998
one_way_proxy,MES,1000,1796,353,0.1965478841870824,-0.1877968262806236,-0.009130594900849864,0.17866623137977375,0.28229398663697103,0.311614730878187,0.029320744241215946,341.60629999999986,28.7313
one_way_proxy,MGC,1100,2525,451,0.1786138613861386,-0.2886754851485148,-0.11132727272727273,0.1773482124212421,0.2883168316831683,0.29046563192904656,0.0021488002458782685,737.2266999999996,63.070699999999995
one_way_proxy,MES,0900,1701,350,0.205761316872428,-0.2740553203997649,-0.12105542857142855,0.15299989182833634,0.26631393298059963,0.27714285714285714,0.010828924162257503,471.32100000000025,49.54979999999999
one_way_proxy,MES,1100,1787,363,0.20313374370453274,-0.2753017347509793,-0.13460220385674934,0.14069953089422996,0.26357022943480696,0.27548209366391185,0.011911864229104896,491.3084000000002,56.22210000000002
one_way_proxy,MNQ,1000,512,107,0.208984375,0.0006003906250000024,0.13653084112149527,0.13593045049649527,0.30859375,0.3364485981308411,0.027854848130841103,35.560500000000005,8.936399999999999
continue_only,MGC,0900,2438,1375,0.5639868744872847,-0.44809712879409347,-0.3433832,0.10471392879409347,0.2575881870385562,0.2850909090909091,0.027502722052352935,1107.4898999999966,492.7216999999998
fast_break_only,MGC,0900,2438,1199,0.4917965545529122,-0.44809712879409347,-0.37755938281901585,0.07053774597507761,0.2575881870385562,0.27522935779816515,0.01764117075960897,1107.4898999999966,468.585
one_way_proxy,MNQ,0900,479,101,0.21085594989561587,-0.06384217118997912,0.004789108910891078,0.06863128010087019,0.29227557411273486,0.297029702970297,0.0047541288575621565,52.1661,13.6034
fast_break_only,MGC,1000,2547,1347,0.5288574793875147,-0.36728653317628585,-0.3055598366740906,0.061726696502195255,0.28857479387514723,0.2962138084632517,0.0076390145881044536,936.6956999999968,423.6840000000005
continue_only,MGC,1000,2547,1489,0.5846093443266588,-0.36728653317628585,-0.30645768972464743,0.060828843451638415,0.28857479387514723,0.29147078576225655,0.002895991887109317,936.6956999999968,471.51410000000027
continue_only,MGC,1100,2525,1524,0.6035643564356435,-0.2886754851485148,-0.24917545931758528,0.03950002583092954,0.2883168316831683,0.28083989501312334,-0.0074769366700449535,737.2266999999996,389.06450000000024
fast_break_only,MGC,1100,2525,1327,0.5255445544554456,-0.2886754851485148,-0.25739133383571966,0.03128415131279516,0.2883168316831683,0.27957799547852297,-0.008738836204645328,737.2266999999996,350.4248000000002
continue_only,MES,0900,1701,1432,0.8418577307466196,-0.2740553203997649,-0.25193561452513963,0.02211970587462525,0.26631393298059963,0.2681564245810056,0.0018424916004059488,471.32100000000025,368.1963000000002
fast_break_only,MES,1100,1787,1386,0.7756015668718522,-0.2753017347509793,-0.26103795093795096,0.014263783813028341,0.26357022943480696,0.2662337662337662,0.002663536798959254,491.3084000000002,369.2851000000001
fast_break_only,MES,1000,1796,1326,0.7383073496659243,-0.1877968262806236,-0.174065987933635,0.0137308383469886,0.28229398663697103,0.28431372549019607,0.0020197388532250393,341.60629999999986,231.33659999999983
continue_only,MES,1000,1796,1528,0.8507795100222717,-0.1877968262806236,-0.17575929319371728,0.012037533086906332,0.28229398663697103,0.28272251308900526,0.000428526452034228,341.60629999999986,269.0852999999997
fast_break_only,MNQ,1000,512,447,0.873046875,0.0006003906250000024,0.005740715883668901,0.005140325258668898,0.30859375,0.31096196868008946,0.0023682186800894622,35.560500000000005,38.352999999999994
continue_only,MES,1100,1787,1519,0.8500279798545047,-0.2753017347509793,-0.2704476629361422,0.004854071814837102,0.26357022943480696,0.260697827518104,-0.00287240191670296,491.3084000000002,420.1813000000001
continue_only,MNQ,0900,479,474,0.9895615866388309,-0.06384217118997912,-0.06017742616033756,0.003664745029641557,0.29227557411273486,0.29324894514767935,0.0009733710349444924,52.1661,50.1661
fast_break_only,MES,0900,1701,1229,0.7225161669606114,-0.2740553203997649,-0.2742160292921074,-0.0001607088923425426,0.26631393298059963,0.2628152969894223,-0.0034986359911773346,471.32100000000025,338.80120000000016
continue_only,MNQ,1000,512,509,0.994140625,0.0006003906250000024,-3.339882121792702e-06,-0.0006037305071217951,0.30859375,0.30844793713163066,-0.00014581286836934382,35.560500000000005,36.869600000000005
continue_only,MNQ,1100,512,508,0.9921875,-0.015373437500000003,-0.02509606299212599,-0.009722625492125988,0.30859375,0.3051181102362205,-0.0034756397637795144,45.911,46.760400000000004
fast_break_only,MNQ,0900,479,397,0.8288100208768268,-0.06384217118997912,-0.08132191435768263,-0.01747974316770351,0.29227557411273486,0.2871536523929471,-0.005121921719787759,52.1661,44.8792
fast_break_only,MNQ,1100,512,458,0.89453125,-0.015373437500000003,-0.05382379912663755,-0.03845036162663755,0.30859375,0.29694323144104806,-0.011650518558951939,45.911,44.5529
