variant,n_on,on_rate,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,train_uplift,test2025_uplift
same_short_fast15,177,0.14949324324324326,0.32903898305084744,0.028654617676266134,0.3003843653745813,0.3615819209039548,0.282025819265144,3,5,0.16921000000000003,0.7567002777777777
same_short_only,200,0.16891891891891891,0.3225285,0.022956707317073163,0.29957179268292683,0.36,0.2804878048780488,4,5,0.1527015346858639,0.844944110373552
same_fast15,340,0.28716216216216217,0.31906,-0.025338033175355462,0.34439803317535544,0.3588235294117647,0.2677725118483412,4,5,0.3915664293713006,0.1937325280112045
same_long_fast15,163,0.13766891891891891,0.30822392638036816,0.03609657198824681,0.2721273543921213,0.3558282208588957,0.2840352595494613,4,5,0.4969029657477026,-0.49556397058823526
same_fast30,375,0.31672297297297297,0.28434746666666666,-0.024147342398022263,0.3084948090646889,0.34933333333333333,0.26823238566131025,4,5,0.36532179138321996,0.1176383933747412
same_cont,385,0.3251689189189189,0.28002285714285713,-0.025924530663329164,0.3059473878061863,0.34805194805194806,0.26783479349186484,4,5,0.34133189368770767,0.20180363518338199
base_same_dir,386,0.3260135135135135,0.27670673575129534,-0.024703884711779454,0.3014106204630748,0.3471502590673575,0.2681704260651629,4,5,0.3354037573731394,0.20180363518338199
same_long_only,186,0.1570945945945946,0.22743602150537634,0.04488176352705411,0.18255425797832223,0.3333333333333333,0.2865731462925852,4,5,0.39927729368538595,-0.521238786932188
same_fast15_size60,153,0.12922297297297297,0.19900522875816995,0.05494403491755577,0.14406119384061417,0.3202614379084967,0.29000969932104753,3,5,0.20718121370967746,
