instrument,session,dst_regime,orb_filter,delay_bucket,n,sample_class,avg_r,win_rate,pvalue,pvalue_bh
MES,0900,SUMMER,G8,5-10,0,INVALID,,,,
MES,0900,SUMMER,G8,10-20,0,INVALID,,,,
MES,0900,SUMMER,G8,20-30,0,INVALID,,,,
MES,0900,SUMMER,G8,30+,1,INVALID,-1.000000,0.000000,,
MES,0900,WINTER,G4,0-2,5,INVALID,0.200000,0.400000,0.798966,0.878863
MES,0900,WINTER,G4,2-5,0,INVALID,,,,
MES,0900,WINTER,G4,5-10,0,INVALID,,,,
MES,0900,WINTER,G4,10-20,0,INVALID,,,,
MES,0900,WINTER,G4,20-30,1,INVALID,2.000000,1.000000,,
MES,0900,WINTER,G4,30+,15,INVALID,-0.400000,0.200000,0.232779,0.432529
MES,0900,WINTER,G5,0-2,2,INVALID,0.500000,0.500000,0.795167,0.878863
MES,0900,WINTER,G5,2-5,0,INVALID,,,,
MES,0900,WINTER,G5,5-10,0,INVALID,,,,
MES,0900,WINTER,G5,10-20,0,INVALID,,,,
MES,0900,WINTER,G5,20-30,0,INVALID,,,,
MES,0900,WINTER,G5,30+,13,INVALID,-0.538500,0.153800,0.110482,0.249037
MES,0900,WINTER,G6,0-2,2,INVALID,0.500000,0.500000,0.795167,0.878863
MES,0900,WINTER,G6,2-5,0,INVALID,,,,
MES,0900,WINTER,G6,5-10,0,INVALID,,,,
MES,0900,WINTER,G6,10-20,0,INVALID,,,,
MES,0900,WINTER,G6,20-30,0,INVALID,,,,
MES,0900,WINTER,G6,30+,10,INVALID,-0.700000,0.100000,0.044504,0.119986
MES,0900,WINTER,G8,0-2,1,INVALID,-1.000000,0.000000,,
MES,0900,WINTER,G8,2-5,0,INVALID,,,,
MES,0900,WINTER,G8,5-10,0,INVALID,,,,
MES,0900,WINTER,G8,10-20,0,INVALID,,,,
MES,0900,WINTER,G8,20-30,0,INVALID,,,,
MES,0900,WINTER,G8,30+,6,INVALID,-0.500000,0.166700,0.363217,0.585144
MES,1000,ALL,G4,0-2,6,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,1000,ALL,G4,2-5,4,INVALID,-0.250000,0.250000,0.760820,0.875421
MES,1000,ALL,G4,5-10,2,INVALID,0.500000,0.500000,0.795167,0.878863
MES,1000,ALL,G4,10-20,1,INVALID,-1.000000,0.000000,,
MES,1000,ALL,G4,20-30,0,INVALID,,,,
MES,1000,ALL,G4,30+,31,REGIME,0.019200,0.354800,0.940322,0.964883
MES,1000,ALL,G5,0-2,6,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,1000,ALL,G5,2-5,3,INVALID,0.000000,0.333300,1.000000,1.000000
MES,1000,ALL,G5,5-10,2,INVALID,0.500000,0.500000,0.795167,0.878863
MES,1000,ALL,G5,10-20,1,INVALID,-1.000000,0.000000,,
MES,1000,ALL,G5,20-30,0,INVALID,,,,
MES,1000,ALL,G5,30+,22,INVALID,0.163500,0.409100,0.605003,0.770258
MES,1000,ALL,G6,0-2,4,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,1000,ALL,G6,2-5,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,1000,ALL,G6,5-10,1,INVALID,2.000000,1.000000,,
MES,1000,ALL,G6,10-20,0,INVALID,,,,
MES,1000,ALL,G6,20-30,0,INVALID,,,,
MES,1000,ALL,G6,30+,17,INVALID,0.152700,0.411800,0.671361,0.839201
MES,1000,ALL,G8,0-2,0,INVALID,,,,
MES,1000,ALL,G8,2-5,0,INVALID,,,,
MES,1000,ALL,G8,5-10,1,INVALID,2.000000,1.000000,,
MES,1000,ALL,G8,10-20,0,INVALID,,,,
MES,1000,ALL,G8,20-30,0,INVALID,,,,
MES,1000,ALL,G8,30+,9,INVALID,0.177400,0.444400,0.725139,0.865086
MES,1800,SUMMER,G4,0-2,15,INVALID,-0.800000,0.066700,0.001316,0.004581
MES,1800,SUMMER,G4,2-5,2,INVALID,2.000000,1.000000,0.000000,0.000000
MES,1800,SUMMER,G4,5-10,0,INVALID,,,,
MES,1800,SUMMER,G4,10-20,1,INVALID,-1.000000,0.000000,,
MES,1800,SUMMER,G4,20-30,2,INVALID,0.500000,0.500000,0.795167,0.878863
MES,1800,SUMMER,G4,30+,15,INVALID,0.101400,0.533300,0.742870,0.875421
MES,1800,SUMMER,G5,0-2,11,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,1800,SUMMER,G5,2-5,1,INVALID,2.000000,1.000000,,
MES,1800,SUMMER,G5,5-10,0,INVALID,,,,
MES,1800,SUMMER,G5,10-20,1,INVALID,-1.000000,0.000000,,
MES,1800,SUMMER,G5,20-30,1,INVALID,2.000000,1.000000,,
MES,1800,SUMMER,G5,30+,10,INVALID,0.285100,0.600000,0.490040,0.694125
MES,1800,SUMMER,G6,0-2,8,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,1800,SUMMER,G6,2-5,1,INVALID,2.000000,1.000000,,
MES,1800,SUMMER,G6,5-10,0,INVALID,,,,
MES,1800,SUMMER,G6,10-20,1,INVALID,-1.000000,0.000000,,
MES,1800,SUMMER,G6,20-30,1,INVALID,2.000000,1.000000,,
MES,1800,SUMMER,G6,30+,7,INVALID,0.612200,0.714300,0.256159,0.465374
MES,1800,SUMMER,G8,0-2,6,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,1800,SUMMER,G8,2-5,0,INVALID,,,,
MES,1800,SUMMER,G8,5-10,0,INVALID,,,,
MES,1800,SUMMER,G8,10-20,0,INVALID,,,,
MES,1800,SUMMER,G8,20-30,0,INVALID,,,,
MES,1800,SUMMER,G8,30+,4,INVALID,0.321400,0.750000,0.578142,0.760713
MES,1800,WINTER,G4,0-2,4,INVALID,-0.250000,0.250000,0.760820,0.875421
MES,1800,WINTER,G4,2-5,2,INVALID,1.250000,1.000000,0.344042,0.566594
MES,1800,WINTER,G4,5-10,0,INVALID,,,,
MES,1800,WINTER,G4,10-20,0,INVALID,,,,
MES,1800,WINTER,G4,20-30,0,INVALID,,,,
MES,1800,WINTER,G4,30+,33,REGIME,0.024700,0.393900,0.911177,0.950392
MES,1800,WINTER,G5,0-2,4,INVALID,-0.250000,0.250000,0.760820,0.875421
MES,1800,WINTER,G5,2-5,1,INVALID,2.000000,1.000000,,
MES,1800,WINTER,G5,5-10,0,INVALID,,,,
MES,1800,WINTER,G5,10-20,0,INVALID,,,,
MES,1800,WINTER,G5,20-30,0,INVALID,,,,
MES,1800,WINTER,G5,30+,21,INVALID,-0.045100,0.428600,0.865680,0.922721
MES,1800,WINTER,G6,0-2,4,INVALID,-0.250000,0.250000,0.760820,0.875421
MES,1800,WINTER,G6,2-5,1,INVALID,2.000000,1.000000,,
MES,1800,WINTER,G6,5-10,0,INVALID,,,,
MES,1800,WINTER,G6,10-20,0,INVALID,,,,
MES,1800,WINTER,G6,20-30,0,INVALID,,,,
MES,1800,WINTER,G6,30+,17,INVALID,0.110100,0.470600,0.726059,0.865086
MES,1800,WINTER,G8,0-2,1,INVALID,2.000000,1.000000,,
MES,1800,WINTER,G8,2-5,1,INVALID,2.000000,1.000000,,
MES,1800,WINTER,G8,5-10,0,INVALID,,,,
MES,1800,WINTER,G8,10-20,0,INVALID,,,,
MES,1800,WINTER,G8,20-30,0,INVALID,,,,
MES,1800,WINTER,G8,30+,5,INVALID,0.341800,0.600000,0.602226,0.770258
MES,2300,SUMMER,G4,0-2,17,INVALID,-0.453000,0.294100,0.045622,0.121806
MES,2300,SUMMER,G4,2-5,0,INVALID,,,,
MES,2300,SUMMER,G4,5-10,0,INVALID,,,,
MES,2300,SUMMER,G4,10-20,1,INVALID,-1.000000,0.000000,,
MES,2300,SUMMER,G4,20-30,2,INVALID,0.125000,0.500000,0.929553,0.963421
MES,2300,SUMMER,G4,30+,13,INVALID,0.311600,0.461500,0.394477,0.612888
MES,2300,SUMMER,G5,0-2,12,INVALID,-0.359300,0.333300,0.228554,0.427567
MES,2300,SUMMER,G5,2-5,0,INVALID,,,,
MES,2300,SUMMER,G5,5-10,0,INVALID,,,,
MES,2300,SUMMER,G5,10-20,1,INVALID,-1.000000,0.000000,,
MES,2300,SUMMER,G5,20-30,0,INVALID,,,,
MES,2300,SUMMER,G5,30+,8,INVALID,0.756400,0.625000,0.087123,0.203041
MES,2300,SUMMER,G6,0-2,10,INVALID,-0.231200,0.400000,0.494722,0.694125
MES,2300,SUMMER,G6,2-5,0,INVALID,,,,
MES,2300,SUMMER,G6,5-10,0,INVALID,,,,
MES,2300,SUMMER,G6,10-20,1,INVALID,-1.000000,0.000000,,
MES,2300,SUMMER,G6,20-30,0,INVALID,,,,
MES,2300,SUMMER,G6,30+,7,INVALID,0.776000,0.571400,0.127329,0.280124
MES,2300,SUMMER,G8,0-2,3,INVALID,0.404000,0.666700,0.688430,0.848961
MES,2300,SUMMER,G8,2-5,0,INVALID,,,,
MES,2300,SUMMER,G8,5-10,0,INVALID,,,,
MES,2300,SUMMER,G8,10-20,1,INVALID,-1.000000,0.000000,,
MES,2300,SUMMER,G8,20-30,0,INVALID,,,,
MES,2300,SUMMER,G8,30+,3,INVALID,-0.061200,0.333300,0.726672,0.865086
MES,2300,WINTER,G4,0-2,8,INVALID,-0.857100,0.125000,0.000542,0.002014
MES,2300,WINTER,G4,2-5,0,INVALID,,,,
MES,2300,WINTER,G4,5-10,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,G4,10-20,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,G4,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,2300,WINTER,G4,30+,4,INVALID,-0.250000,0.250000,0.760820,0.875421
MES,2300,WINTER,G5,0-2,5,INVALID,-0.771400,0.200000,0.027914,0.079962
MES,2300,WINTER,G5,2-5,0,INVALID,,,,
MES,2300,WINTER,G5,5-10,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,G5,10-20,0,INVALID,,,,
MES,2300,WINTER,G5,20-30,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,G5,30+,3,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,2300,WINTER,G6,0-2,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,2300,WINTER,G6,2-5,0,INVALID,,,,
MES,2300,WINTER,G6,5-10,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,G6,10-20,0,INVALID,,,,
MES,2300,WINTER,G6,20-30,0,INVALID,,,,
MES,2300,WINTER,G6,30+,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,2300,WINTER,G8,0-2,1,INVALID,-1.000000,0.000000,,
MES,2300,WINTER,G8,2-5,0,INVALID,,,,
MES,2300,WINTER,G8,5-10,0,INVALID,,,,
MES,2300,WINTER,G8,10-20,0,INVALID,,,,
MES,2300,WINTER,G8,20-30,0,INVALID,,,,
MES,2300,WINTER,G8,30+,1,INVALID,-1.000000,0.000000,,
MGC,0030,SUMMER,G4,0-2,297,CORE,-0.405000,0.266000,0.000000,0.000000
MGC,0030,SUMMER,G4,2-5,14,INVALID,-0.377400,0.285700,0.149013,0.317663
MGC,0030,SUMMER,G4,5-10,9,INVALID,0.095800,0.555600,0.784179,0.878863
MGC,0030,SUMMER,G4,10-20,28,INVALID,-0.050500,0.357100,0.798793,0.878863
MGC,0030,SUMMER,G4,20-30,11,INVALID,-0.587500,0.181800,0.003343,0.010944
MGC,0030,SUMMER,G4,30+,224,CORE,-0.245000,0.308000,0.000172,0.000666
MGC,0030,SUMMER,G5,0-2,229,CORE,-0.437800,0.248900,0.000000,0.000000
MGC,0030,SUMMER,G5,2-5,12,INVALID,-0.273700,0.333300,0.344077,0.566594
MGC,0030,SUMMER,G5,5-10,7,INVALID,0.408900,0.714300,0.287286,0.500023
MGC,0030,SUMMER,G5,10-20,20,INVALID,0.082800,0.400000,0.725068,0.865086
MGC,0030,SUMMER,G5,20-30,9,INVALID,-0.627300,0.111100,0.004230,0.013412
MGC,0030,SUMMER,G5,30+,149,PRELIMINARY,-0.262800,0.281900,0.000622,0.002281
MGC,0030,SUMMER,G6,0-2,177,PRELIMINARY,-0.479500,0.220300,0.000000,0.000000
MGC,0030,SUMMER,G6,2-5,9,INVALID,-0.123100,0.444400,0.734576,0.870726
MGC,0030,SUMMER,G6,5-10,6,INVALID,0.409800,0.666700,0.368109,0.585144
MGC,0030,SUMMER,G6,10-20,14,INVALID,0.208700,0.428600,0.513217,0.698668
MGC,0030,SUMMER,G6,20-30,9,INVALID,-0.627300,0.111100,0.004230,0.013412
MGC,0030,SUMMER,G6,30+,106,PRELIMINARY,-0.364100,0.217000,0.000010,0.000042
MGC,0030,SUMMER,G8,0-2,102,PRELIMINARY,-0.498300,0.205900,0.000000,0.000000
MGC,0030,SUMMER,G8,2-5,0,INVALID,,,,
MGC,0030,SUMMER,G8,5-10,2,INVALID,0.096900,0.500000,0.775713,0.878863
MGC,0030,SUMMER,G8,10-20,8,INVALID,0.238500,0.375000,0.604838,0.770258
MGC,0030,SUMMER,G8,20-30,6,INVALID,-0.441000,0.166700,0.077700,0.187434
MGC,0030,SUMMER,G8,30+,55,REGIME,-0.409500,0.145500,0.000008,0.000034
MGC,0030,WINTER,G4,0-2,297,CORE,-0.544400,0.202000,0.000000,0.000000
MGC,0030,WINTER,G4,2-5,6,INVALID,0.282800,0.500000,0.503140,0.698668
MGC,0030,WINTER,G4,5-10,13,INVALID,-0.243400,0.384600,0.237318,0.438003
MGC,0030,WINTER,G4,10-20,9,INVALID,-0.585700,0.111100,0.005438,0.016994
MGC,0030,WINTER,G4,20-30,18,INVALID,-0.084100,0.388900,0.714337,0.865086
MGC,0030,WINTER,G4,30+,148,PRELIMINARY,-0.223000,0.358100,0.001049,0.003796
MGC,0030,WINTER,G5,0-2,243,CORE,-0.550700,0.205800,0.000000,0.000000
MGC,0030,WINTER,G5,2-5,6,INVALID,0.282800,0.500000,0.503140,0.698668
MGC,0030,WINTER,G5,5-10,10,INVALID,-0.216400,0.400000,0.285933,0.500023
MGC,0030,WINTER,G5,10-20,7,INVALID,-0.467400,0.142900,0.037362,0.101728
MGC,0030,WINTER,G5,20-30,18,INVALID,-0.084100,0.388900,0.714337,0.865086
MGC,0030,WINTER,G5,30+,103,PRELIMINARY,-0.270100,0.339800,0.000511,0.001925
MGC,0030,WINTER,G6,0-2,195,PRELIMINARY,-0.549200,0.205100,0.000000,0.000000
MGC,0030,WINTER,G6,2-5,4,INVALID,0.469200,0.500000,0.435277,0.650550
MGC,0030,WINTER,G6,5-10,8,INVALID,-0.201000,0.500000,0.432816,0.650550
MGC,0030,WINTER,G6,10-20,5,INVALID,-0.407400,0.200000,0.175782,0.366212
MGC,0030,WINTER,G6,20-30,14,INVALID,-0.119100,0.357100,0.611421,0.774842
MGC,0030,WINTER,G6,30+,82,REGIME,-0.256100,0.353700,0.001826,0.006199
MGC,0030,WINTER,G8,0-2,123,PRELIMINARY,-0.565300,0.203300,0.000000,0.000000
MGC,0030,WINTER,G8,2-5,2,INVALID,1.105100,1.000000,0.433353,0.650550
MGC,0030,WINTER,G8,5-10,5,INVALID,-0.231200,0.400000,0.521563,0.703087
MGC,0030,WINTER,G8,10-20,4,INVALID,-0.259300,0.250000,0.387013,0.608163
MGC,0030,WINTER,G8,20-30,7,INVALID,0.036500,0.571400,0.935394,0.963421
MGC,0030,WINTER,G8,30+,47,REGIME,-0.277800,0.340400,0.013885,0.041058
MGC,0900,SUMMER,G4,0-2,8,INVALID,-0.504800,0.375000,0.080635,0.191161
MGC,0900,SUMMER,G4,2-5,1,INVALID,-1.000000,0.000000,,
MGC,0900,SUMMER,G4,5-10,0,INVALID,,,,
MGC,0900,SUMMER,G4,10-20,1,INVALID,-1.000000,0.000000,,
MGC,0900,SUMMER,G4,20-30,3,INVALID,1.000000,0.666700,0.422650,0.645715
MGC,0900,SUMMER,G4,30+,23,INVALID,0.059200,0.347800,0.833617,0.893344
MGC,0900,SUMMER,G5,0-2,5,INVALID,-0.487700,0.400000,0.208188,0.400362
MGC,0900,SUMMER,G5,2-5,0,INVALID,,,,
MGC,0900,SUMMER,G5,5-10,0,INVALID,,,,
MGC,0900,SUMMER,G5,10-20,0,INVALID,,,,
MGC,0900,SUMMER,G5,20-30,2,INVALID,2.000000,1.000000,0.000000,0.000000
MGC,0900,SUMMER,G5,30+,16,INVALID,-0.206600,0.250000,0.494329,0.694125
MGC,0900,SUMMER,G6,0-2,4,INVALID,-0.359600,0.500000,0.420289,0.645695
MGC,0900,SUMMER,G6,2-5,0,INVALID,,,,
MGC,0900,SUMMER,G6,5-10,0,INVALID,,,,
MGC,0900,SUMMER,G6,10-20,0,INVALID,,,,
MGC,0900,SUMMER,G6,20-30,2,INVALID,2.000000,1.000000,0.000000,0.000000
MGC,0900,SUMMER,G6,30+,12,INVALID,-0.442100,0.166700,0.122284,0.273399
MGC,0900,SUMMER,G8,0-2,2,INVALID,0.280900,1.000000,0.488968,0.694125
MGC,0900,SUMMER,G8,2-5,0,INVALID,,,,
MGC,0900,SUMMER,G8,5-10,0,INVALID,,,,
MGC,0900,SUMMER,G8,10-20,0,INVALID,,,,
MGC,0900,SUMMER,G8,20-30,2,INVALID,2.000000,1.000000,0.000000,0.000000
MGC,0900,SUMMER,G8,30+,11,INVALID,-0.391400,0.181800,0.198094,0.394753
MGC,0900,WINTER,G4,0-2,21,INVALID,-0.283000,0.285700,0.228090,0.427567
MGC,0900,WINTER,G4,2-5,3,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,0900,WINTER,G4,5-10,0,INVALID,,,,
MGC,0900,WINTER,G4,10-20,6,INVALID,-0.616900,0.166700,0.053549,0.138924
MGC,0900,WINTER,G4,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,0900,WINTER,G4,30+,39,REGIME,-0.762800,0.128200,0.000000,0.000000
MGC,0900,WINTER,G5,0-2,16,INVALID,-0.377200,0.187500,0.154246,0.326290
MGC,0900,WINTER,G5,2-5,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,0900,WINTER,G5,5-10,0,INVALID,,,,
MGC,0900,WINTER,G5,10-20,3,INVALID,-0.567100,0.333300,0.320440,0.543957
MGC,0900,WINTER,G5,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,0900,WINTER,G5,30+,30,REGIME,-0.734500,0.133300,0.000006,0.000026
MGC,0900,WINTER,G6,0-2,14,INVALID,-0.716800,0.071400,0.000022,0.000089
MGC,0900,WINTER,G6,2-5,0,INVALID,,,,
MGC,0900,WINTER,G6,5-10,0,INVALID,,,,
MGC,0900,WINTER,G6,10-20,3,INVALID,-0.567100,0.333300,0.320440,0.543957
MGC,0900,WINTER,G6,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,0900,WINTER,G6,30+,21,INVALID,-0.620700,0.190500,0.003167,0.010493
MGC,0900,WINTER,G8,0-2,10,INVALID,-0.891600,0.000000,0.000001,0.000005
MGC,0900,WINTER,G8,2-5,0,INVALID,,,,
MGC,0900,WINTER,G8,5-10,0,INVALID,,,,
MGC,0900,WINTER,G8,10-20,1,INVALID,-1.000000,0.000000,,
MGC,0900,WINTER,G8,20-30,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,0900,WINTER,G8,30+,14,INVALID,-0.574800,0.214300,0.034786,0.095661
MGC,1000,ALL,G4,0-2,66,REGIME,-0.594400,0.136400,0.000004,0.000017
MGC,1000,ALL,G4,2-5,6,INVALID,0.253000,0.333300,0.675460,0.840505
MGC,1000,ALL,G4,5-10,11,INVALID,-0.030100,0.363600,0.933089,0.963421
MGC,1000,ALL,G4,10-20,10,INVALID,0.331600,0.500000,0.445131,0.661681
MGC,1000,ALL,G4,20-30,13,INVALID,0.384600,0.461500,0.390511,0.610173
MGC,1000,ALL,G4,30+,74,REGIME,-0.315400,0.310800,0.007773,0.024018
MGC,1000,ALL,G5,0-2,55,REGIME,-0.715500,0.090900,0.000000,0.000000
MGC,1000,ALL,G5,2-5,3,INVALID,-0.494000,0.000000,0.190506,0.384275
MGC,1000,ALL,G5,5-10,2,INVALID,1.057200,1.000000,0.463616,0.678162
MGC,1000,ALL,G5,10-20,5,INVALID,-0.131900,0.400000,0.834871,0.893344
MGC,1000,ALL,G5,20-30,8,INVALID,0.125000,0.375000,0.826380,0.893344
MGC,1000,ALL,G5,30+,60,REGIME,-0.216900,0.366700,0.101409,0.232396
MGC,1000,ALL,G6,0-2,41,REGIME,-0.764700,0.073200,0.000000,0.000000
MGC,1000,ALL,G6,2-5,2,INVALID,-0.609400,0.000000,0.362899,0.585144
MGC,1000,ALL,G6,5-10,1,INVALID,0.114400,1.000000,,
MGC,1000,ALL,G6,10-20,5,INVALID,-0.131900,0.400000,0.834871,0.893344
MGC,1000,ALL,G6,20-30,7,INVALID,0.285700,0.428600,0.654005,0.821239
MGC,1000,ALL,G6,30+,44,REGIME,-0.188900,0.386400,0.191439,0.384275
MGC,1000,ALL,G8,0-2,26,INVALID,-0.744300,0.076900,0.000003,0.000013
MGC,1000,ALL,G8,2-5,0,INVALID,,,,
MGC,1000,ALL,G8,5-10,1,INVALID,0.114400,1.000000,,
MGC,1000,ALL,G8,10-20,4,INVALID,0.085200,0.500000,0.912376,0.950392
MGC,1000,ALL,G8,20-30,4,INVALID,0.500000,0.500000,0.604181,0.770258
MGC,1000,ALL,G8,30+,20,INVALID,-0.379400,0.250000,0.060407,0.148321
MGC,1800,SUMMER,G4,0-2,140,PRELIMINARY,-0.578300,0.157100,0.000000,0.000000
MGC,1800,SUMMER,G4,2-5,7,INVALID,-0.083800,0.571400,0.812452,0.886604
MGC,1800,SUMMER,G4,5-10,3,INVALID,-0.493900,0.000000,0.219241,0.415802
MGC,1800,SUMMER,G4,10-20,9,INVALID,-0.139200,0.444400,0.720573,0.865086
MGC,1800,SUMMER,G4,20-30,11,INVALID,-0.410500,0.272700,0.190946,0.384275
MGC,1800,SUMMER,G4,30+,103,PRELIMINARY,-0.256500,0.291300,0.013106,0.039176
MGC,1800,SUMMER,G5,0-2,89,REGIME,-0.577700,0.168500,0.000000,0.000000
MGC,1800,SUMMER,G5,2-5,3,INVALID,-0.084000,0.666700,0.878364,0.925479
