variant,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test2025_uplift,n_test_on,result
V3_same_fast_size60,94,11.75,0.07323829787234042,-0.05832912621359222,0.13156742408593264,0.3829787234042553,0.34757281553398056,1,2,0.5,0.10162546333127082,,11,WATCH
V2_same_fast_cont,228,28.5,0.04369824561403509,-0.08692467191601051,0.1306229175300456,0.37719298245614036,0.33858267716535434,3,6,0.5,0.10135934027777777,0.27767638680659673,46,WATCH
V1_same_fast,239,29.875,0.03923723849372387,-0.08792648648648647,0.12716372498021034,0.37656903765690375,0.33783783783783783,4,6,0.6666666666666666,0.08546577249575552,0.33629051885031724,47,WATCH
