entry_model,confirm_bars,rr_target,condition,n,n_on,signals_per_year,avg_on,avg_off,uplift,perm_p,test2025_uplift
E0,1,2.0,same_dir,700,407,67.83333333333333,0.23243808353808354,0.05687986348122866,0.1755582200568549,0.05647840531561462,0.15050500176740902
E0,1,2.0,same_short,700,209,34.833333333333336,0.31280430622009564,0.09346639511201629,0.21933791110807935,0.046511627906976744,0.4672119512195122
E0,1,2.0,same_fast15,700,356,59.333333333333336,0.2540412921348315,0.060550581395348836,0.19349071073948268,0.0664451827242525,0.0797830281690141
E0,1,2.0,same_short_fast15,700,184,30.666666666666668,0.3272342391304348,0.09894767441860466,0.22828656471183015,0.036544850498338874,0.40198854215183977
E0,1,2.0,same_cont,700,406,67.66666666666667,0.22871625615763547,0.06261666666666665,0.1660995894909688,0.06312292358803986,0.15050500176740902
E0,1,2.5,same_dir,682,398,66.33333333333333,0.24262261306532665,0.020137323943661956,0.22248528912166468,0.026578073089700997,0.36800839097196936
E0,1,2.5,same_short,682,206,34.333333333333336,0.3052728155339806,0.08276596638655462,0.222506849147426,0.036544850498338874,0.830864837398374
E0,1,2.5,same_fast15,682,349,58.166666666666664,0.2693300859598854,0.024884684684684678,0.2444454012752007,0.016611295681063124,0.2215540808956301
E0,1,2.5,same_short_fast15,682,182,30.333333333333332,0.31890494505494504,0.0884842,0.23042074505494503,0.026578073089700997,0.7465100758653391
E0,1,2.5,same_cont,682,397,66.16666666666667,0.24575264483627204,0.016557894736842098,0.22919475009942994,0.023255813953488372,0.36800839097196936
E0,1,3.0,same_dir,659,386,64.33333333333333,0.27670673575129534,0.001600000000000006,0.27510673575129535,0.04318936877076412,0.3855590544871794
E0,1,3.0,same_short,659,200,33.333333333333336,0.3225285,0.09311525054466233,0.22941324945533767,0.08305647840531562,1.0256822504356484
E0,1,3.0,same_fast15,659,340,56.666666666666664,0.31906,-0.0038708463949843367,0.32293084639498437,0.03322259136212625,0.33883994435612086
E0,1,3.0,same_short_fast15,659,177,29.5,0.3290389830508475,0.1016715767634855,0.22736740628736202,0.09302325581395349,0.9108612683438154
E0,1,3.0,same_cont,659,385,64.16666666666667,0.28002285714285713,-0.0020554744525547388,0.28207833159541185,0.04318936877076412,0.3855590544871794
E0,1,4.0,same_dir,601,347,57.833333333333336,0.03418414985590776,-0.088494094488189,0.12267824434409676,0.21926910299003322,0.43522970757642887
E0,1,4.0,same_short,601,187,31.166666666666668,0.252127807486631,-0.13952536231884058,0.3916531698054716,0.009966777408637873,1.4469249198717948
E0,1,4.0,same_fast15,601,307,51.166666666666664,0.09439153094462541,-0.13467278911564626,0.22906432006027166,0.0664451827242525,0.4212687912087911
E0,1,4.0,same_short_fast15,601,166,27.666666666666668,0.27267590361445787,-0.1284593103448276,0.4011352139592855,0.009966777408637873,1.2809050505050503
E0,1,4.0,same_cont,601,346,57.666666666666664,0.037173121387283216,-0.09206862745098042,0.12924174883826364,0.19933554817275748,0.43522970757642887
E0,2,2.0,same_dir,376,205,34.166666666666664,0.1905653658536585,0.1411479532163743,0.04941741263728419,0.42857142857142855,-0.2182675
E0,2,2.0,same_short,376,110,18.333333333333332,0.26095727272727276,0.1296875939849624,0.13126967874231035,0.33554817275747506,
E0,2,2.0,same_fast15,376,182,30.333333333333332,0.1739368131868132,0.16260670103092786,0.011330112155885336,0.5116279069767442,-0.2612849848024316
E0,2,2.0,same_short_fast15,376,100,16.666666666666668,0.220058,0.14926231884057972,0.07079568115942028,0.4418604651162791,
E0,2,2.0,same_cont,376,204,34.0,0.18295294117647057,0.1504639534883721,0.032488987688098464,0.46511627906976744,-0.2182675
E0,2,2.5,same_dir,362,199,33.166666666666664,0.20319447236180904,0.058004907975460096,0.14518956438634895,0.19269102990033224,0.07719641025641025
E0,2,2.5,same_short,362,106,17.666666666666668,0.22330283018867922,0.1024234375,0.12087939268867921,0.34219269102990035,
E0,2,2.5,same_fast15,362,177,29.5,0.1881638418079096,0.08965135135135135,0.09851249045655824,0.25249169435215946,-0.011099155844155856
E0,2,2.5,same_short_fast15,362,97,16.166666666666668,0.16999690721649482,0.12604075471698112,0.043956152499513707,0.44518272425249167,
E0,2,2.5,same_cont,362,198,33.0,0.2092712121212121,0.051553658536585334,0.15771755358462677,0.15614617940199335,0.07719641025641025
E0,2,3.0,same_dir,346,190,31.666666666666668,0.19763578947368418,-0.0190775641025641,0.21671335357624827,0.08970099667774087,0.027748648648648677
E0,2,3.0,same_short,346,102,17.0,0.21881960784313725,0.05022581967213115,0.16859378817100612,0.24584717607973422,
E0,2,3.0,same_fast15,346,171,28.5,0.2001614035087719,0.0019834285714285826,0.19817797493734332,0.10631229235880399,0.017970805617147104
E0,2,3.0,same_short_fast15,346,94,15.666666666666666,0.16519574468085105,0.07558055555555557,0.08961518912529548,0.38870431893687707,
E0,2,3.0,same_cont,346,189,31.5,0.20397248677248675,-0.025325477707006373,0.22929796447949313,0.07308970099667775,0.027748648648648677
E0,2,4.0,same_dir,313,170,28.333333333333332,-0.08075882352941176,-0.2386195804195804,0.15786075689016865,0.17940199335548174,-0.05763415915915915
E0,2,4.0,same_short,313,94,15.666666666666666,0.12132446808510637,-0.270575799086758,0.3919002671718644,0.03986710963455149,
E0,2,4.0,same_fast15,313,155,25.833333333333332,-0.05212451612903228,-0.25172341772151896,0.19959890159248667,0.1362126245847176,-0.11039214939024387
E0,2,4.0,same_short_fast15,313,88,14.666666666666666,0.09152500000000002,-0.24847022222222223,0.3399952222222222,0.04318936877076412,
E0,2,4.0,same_cont,313,169,28.166666666666668,-0.07531952662721893,-0.24390694444444444,0.16858741781722553,0.17275747508305647,-0.05763415915915915
