instrument,existing_session,candidate_session,dst_regime,n_shared_breaks,orb_size_r,orb_size_p,mean_abs_size_diff,size_direction_concordance
MNQ,1000,1015,ALL,514,0.6076,0.0000,15.8152,0.7626
MNQ,1130,1245,ALL,512,0.5300,0.0000,13.2393,0.6738
MNQ,1800,1545,WINTER,31,0.3636,0.0444,14.8065,0.6129
MNQ,1800,1545,SUMMER,229,0.3995,0.0000,13.4214,0.6332
MNQ,1800,1815,WINTER,35,0.6447,0.0000,15.8071,0.6286
MNQ,1800,1815,SUMMER,282,0.8329,0.0000,22.1862,0.7553
MES,1000,1015,ALL,313,0.5351,0.0000,4.4880,0.6741
MES,0030,1900,WINTER,15,0.3535,0.1962,11.3333,0.6667
MES,0030,1900,SUMMER,13,0.3959,0.1805,4.4231,0.4615
MGC,0900,0930,WINTER,92,0.6862,0.0000,3.8663,0.5870
MGC,0900,0930,SUMMER,204,0.4131,0.0000,2.3853,0.6078
MGC,1800,1815,WINTER,10,0.2682,0.4537,9.0300,0.6000
MGC,1800,1815,SUMMER,41,0.4318,0.0048,8.6317,0.7073
